panel,source,call,celltype,module,zone,n_donors,n,sections,lam_naive,beta_naive,lam_naive_railed,lam_full_profiled,beta_full_profiled,lam_n2n5n6_profiled,beta_n2n5n6_profiled,beta_full_fixedlam,beta_n2n5n6_fixedlam,max_smd_after,sf_n5n6,sf_n2n5n6,lam_naive_donor_lo,lam_naive_donor_hi,lam_naive_donor_med,beta_naive_donor_lo,beta_naive_donor_hi,beta_naive_donor_med,lam_full_donor_lo,lam_full_donor_hi,lam_full_donor_med,beta_full_donor_lo,beta_full_donor_hi,beta_full_donor_med,beta_n2n5n6_donor_lo,beta_n2n5n6_donor_hi,beta_n2n5n6_donor_med,sf_n2n5n6_donor_lo,sf_n2n5n6_donor_hi,sf_n2n5n6_donor_med,section,arm,design,family,lam,p_pow,beta,rss,aic,aic0,d_aic_vs_cov,d_half,d_05,railed,k_params,lam_blk_lo,lam_blk_hi,best_family,d_aic_vs_best,sd_y,lam_prox_ctrl,lam_down_ctrl,log_ratio,log_ratio_lo,log_ratio_hi,ratio,ratio_lo,ratio_hi,frac_prox_gt_down,lam_prox_lo,lam_prox_hi,lam_down_lo,lam_down_hi,grid_lo,grid_hi,prox_lam_naive,prox_beta_naive,prox_lam_ctrl,prox_beta_ctrl,prox_lam_n2,prox_beta_n2,prox_beta_ctrl_fixed,prox_beta_n2_fixed,prox_railed_ctrl,prox_sf_ctrl,prox_sf_n2ctrl,down_lam_naive,down_beta_naive,down_lam_ctrl,down_beta_ctrl,down_lam_n2,down_beta_n2,down_beta_ctrl_fixed,down_beta_n2_fixed,down_railed_ctrl,down_sf_ctrl,down_sf_n2ctrl,week,n_senders,lam_near,beta_near,rss_near,aic_near,railed_near,lam_sup,beta_sup,rss_sup,aic_sup,railed_sup,rss0,d_aic,d_aic_near_vs_cov,d_aic_sup_vs_cov,boot_win_sup,d_aic_per1k,d_aic_per1k_lo,d_aic_per1k_hi,r_regressors,beta_sup_sd,beta_near_sd,null,draw,true_family,true_superposition,regime,rep,true_d_half,fit_family,fit_mode
3b,kernel_families.csv,tierA_p95,vSMCs,interferon_response,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,exponential,24.6860647223019,,0.0169290053105776,7.901450161648594,-20321.85131597571,-20305.60162617313,-16.24968980257836,17.2,74.0,0.0,3.0,6.999999999999999,49.99999999999999,step,1.9800709980154352,0.0486471576111162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,interferon_response,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,gaussian,17.345738419684505,,0.0114923732581869,7.899974513447304,-20322.47869007956,-20305.60162617313,-16.877063906427793,20.6,42.6,0.0,3.0,7.35289016673801,49.99999999999999,step,1.3526968941660016,0.0486471576111162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,interferon_response,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,powerlaw,49.99999999999999,2.0,0.0200375667752725,7.90172113189378,-20319.73612529192,-20305.60162617313,-14.1344991187907,20.6,161.0,1.0,4.0,6.999999999999999,49.99999999999999,step,4.095261681803095,0.0486471576111162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,interferon_response,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,step,17.345738419684505,,0.0083900174894742,7.896793769311379,-20323.831386973725,-20305.60162617313,-18.229760800593795,17.400000000000002,17.400000000000002,0.0,3.0,8.553434570067243,40.92177052096715,step,0.0,0.0486471576111162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,interferon_response,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,naive,spline,,,,7.896737010398374,-20313.85553017406,-20305.60162617313,-8.253904000928742,,,0.0,8.0,,,step,9.975856799665053,0.0486471576111162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,interferon_response,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,exponential,49.99999999999999,,0.0038988746873411,5.288094742123576,-21624.786377268538,-21627.772756984003,2.986379715464864,34.800000000000004,149.8,1.0,26.0,6.999999999999999,49.99999999999999,gaussian,0.7047664963174611,0.0486471576111162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,interferon_response,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,gaussian,49.99999999999999,,0.0051447456138184,5.286985340201788,-21625.49114376485,-21627.772756984003,2.2816132191474026,59.0,122.4,1.0,26.0,6.999999999999999,49.99999999999999,gaussian,0.0,0.0486471576111162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,interferon_response,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,powerlaw,49.99999999999999,0.5,0.0087128907927562,5.287979538606497,-21622.85955538805,-21627.772756984003,4.913201595947612,71.4,439.0,1.0,27.0,6.999999999999999,49.99999999999999,gaussian,2.631588376800209,0.0486471576111162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,interferon_response,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,step,19.185852382096297,,0.0018647302147973,5.287234124641016,-21625.33308634335,-21627.772756984003,2.439670640651457,19.200000000000003,19.200000000000003,0.0,26.0,6.999999999999999,49.99999999999999,gaussian,0.1580574215040542,0.0486471576111162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,kernel_families.csv,tierA_p95,vSMCs,interferon_response,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435_liver_sham_Male_10-U1,sham,ctrl,spline,,,,5.283365333489821,-21617.7918437882,-21627.772756984003,9.980913195802714,,,0.0,31.0,,,gaussian,7.699299976655311,0.0486471576111162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
