,contact_amplitude_sd
ALL RECEIVERS,0.26600088809815814
Biliary/ductular,-0.027647280714561708
DC,0.06344111102844441
Endothelial,-0.08796860451471421
Hepatocytes,0.3445535058744482
Macrophages,0.17932587389706073
Mesenchymal,0.11728966284568018
Proliferating,0.31836786823102914
T/NK cells,0.12182129834674384
vSMCs,-0.13422138882182286
