arm,panel,row,col,n_frozen,n_preC6
M1 mouse liver,frozenAxB,A_sender_for_emt_ecm (sensitivity),B1,3,
M1 mouse liver,frozenAxB,A_sender_for_emt_ecm (sensitivity),B2,0,
M1 mouse liver,frozenAxB,A_sender_for_emt_ecm (sensitivity),B3,1,
M1 mouse liver,frozenAxB,A_sender_for_emt_ecm (sensitivity),B4,37,
M1 mouse liver,frozenAxB,A_sender_for_emt_ecm (sensitivity),B5,0,
M1 mouse liver,frozenAxB,A_sender_for_emt_ecm (sensitivity),B6,3,
M1 mouse liver,frozenAxB,A_sender_for_emt_ecm (sensitivity),B7,0,
M1 mouse liver,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B1,3,
M1 mouse liver,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B2,0,
M1 mouse liver,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B3,1,
M1 mouse liver,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B4,37,
M1 mouse liver,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B5,1,
M1 mouse liver,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B6,0,
M1 mouse liver,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B7,0,
M1 mouse liver,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B1,4,
M1 mouse liver,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B2,0,
M1 mouse liver,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B3,1,
M1 mouse liver,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B4,37,
M1 mouse liver,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B5,1,
M1 mouse liver,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B6,3,
M1 mouse liver,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B7,0,
M1 mouse liver,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B1,0,
M1 mouse liver,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B2,0,
M1 mouse liver,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B3,0,
M1 mouse liver,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B4,0,
M1 mouse liver,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B5,0,
M1 mouse liver,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B6,0,
M1 mouse liver,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B7,0,
H1 human spleen,BxB,B1_tnfa_nfkb_proximal,B2,15,15
H1 human spleen,BxB,B1_tnfa_nfkb_proximal,B3,23,23
H1 human spleen,BxB,B1_tnfa_nfkb_proximal,B4,5,5
