panel,method,pair,cond,quantity,value,n_interactions
a,NCEM linear*,Ccl2->Ccr2,N4_lig,fraction of cell-type pairs called significant,0.027480106100795758,1508
a,NCEM linear*,Ccl2->Ccr2,N3_type,fraction of cell-type pairs called significant,0.008514588859416446,1508
a,NCEM linear*,Ccl2->Ccr2,N0_perm,fraction of cell-type pairs called significant,0.0060145888594164455,1508
a,NCEM linear*,Ccl2->Ccr2,N0_type,fraction of cell-type pairs called significant,0.007539787798408489,1508
a,NCEM linear*,Il1a->Il1r1,real,fraction of cell-type pairs called significant,0.010610079575596816,1508
a,NCEM linear*,Il1a->Il1r1,N3_lig,fraction of cell-type pairs called significant,0.010576923076923076,1508
a,NCEM linear*,Il1a->Il1r1,N4_lig,fraction of cell-type pairs called significant,0.010258620689655173,1508
a,NCEM linear*,Il1a->Il1r1,N3_type,fraction of cell-type pairs called significant,0.008653846153846154,1508
a,NCEM linear*,Il1a->Il1r1,N0_perm,fraction of cell-type pairs called significant,0.0031366047745358095,1508
a,NCEM linear*,Il1a->Il1r1,N0_type,fraction of cell-type pairs called significant,0.0034814323607427057,1508
a,NCEM linear*,Tgfb1->Tgfbr1/2,real,fraction of cell-type pairs called significant,0.012599469496021221,1508
a,NCEM linear*,Tgfb1->Tgfbr1/2,N3_lig,fraction of cell-type pairs called significant,0.007122015915119365,1508
a,NCEM linear*,Tgfb1->Tgfbr1/2,N4_lig,fraction of cell-type pairs called significant,0.007334217506631299,1508
a,NCEM linear*,Tgfb1->Tgfbr1/2,N3_type,fraction of cell-type pairs called significant,0.004131299734748011,1508
a,NCEM linear*,Tgfb1->Tgfbr1/2,N0_perm,fraction of cell-type pairs called significant,0.0009482758620689655,1508
a,NCEM linear*,Tgfb1->Tgfbr1/2,N0_type,fraction of cell-type pairs called significant,0.0012533156498673742,1508
a,NCEM linear*,Tnf->Tnfrsf1a/1b,real,fraction of cell-type pairs called significant,0.005968169761273209,1508
a,NCEM linear*,Tnf->Tnfrsf1a/1b,N3_lig,fraction of cell-type pairs called significant,0.005085972850678733,1105
a,NCEM linear*,Tnf->Tnfrsf1a/1b,N4_lig,fraction of cell-type pairs called significant,0.005230769230769231,1105
a,NCEM linear*,Tnf->Tnfrsf1a/1b,N3_type,fraction of cell-type pairs called significant,0.0018965517241379313,1508
a,NCEM linear*,Tnf->Tnfrsf1a/1b,N0_perm,fraction of cell-type pairs called significant,0.0008156498673740053,1508
a,NCEM linear*,Tnf->Tnfrsf1a/1b,N0_type,fraction of cell-type pairs called significant,0.0010212201591511937,1508
a,SpaTalk*,Ccl2->Ccr2,real,fraction of cell-type pairs called significant,0.1903183023872679,1508
a,SpaTalk*,Ccl2->Ccr2,N3_lig,fraction of cell-type pairs called significant,0.180736074270557,1508
a,SpaTalk*,Ccl2->Ccr2,N4_lig,fraction of cell-type pairs called significant,0.18043766578249337,1508
