section,ligand,dens_lig_per_mm2,d_med_to_ligand_um,is_section9_control,poisson_prediction_um
sbr,Il1a,131.4,33.5,True,40.97699545370394
sbr,Tgfb1,332.6,19.5,False,25.755896530918893
sbr,Tnf,55.4,53.0,False,63.10778129927543
sbr,Il6,4.2,196.0,False,229.1992272033903
sbr,Igfbp3,811.9,12.4,False,16.484907837711713
sbr,Gdf15,21.3,86.9,False,101.77661263967364
sbr,Timp1,102.7,39.1,False,46.35030244806168
sbr,Mmp3,3.4,229.4,False,254.74069870028484
sbr,Thbs1,274.7,22.6,False,28.340562411561454
sbr,Ccl2,224.5,26.9,True,31.34942802749373
sbr,Cxcl12,2424.0,5.3,False,9.540507700939608
sbr,Cxcl1,279.3,23.0,True,28.106212555590268
sbr,Cxcl2,4.0,193.2,True,234.85931967491283
sbr,Cxcl5,319.5,22.2,True,26.278608385790623
7448_liver_sbr_Male_10-U1,Il1a,172.9,29.0,True,35.72237272313811
7448_liver_sbr_Male_10-U1,Tgfb1,471.4,15.7,False,21.634307839028438
7448_liver_sbr_Male_10-U1,Tnf,23.1,86.6,False,97.73087885583026
7448_liver_sbr_Male_10-U1,Il6,2.2,284.4,False,316.6842420460737
7448_liver_sbr_Male_10-U1,Igfbp3,604.3,16.3,False,19.107835644298333
7448_liver_sbr_Male_10-U1,Gdf15,31.8,71.2,False,83.29601683090678
7448_liver_sbr_Male_10-U1,Timp1,109.2,39.7,False,44.94966661578744
7448_liver_sbr_Male_10-U1,Mmp3,10.9,151.7,False,142.27367352796634
7448_liver_sbr_Male_10-U1,Thbs1,286.0,23.7,False,27.775045407467722
7448_liver_sbr_Male_10-U1,Ccl2,88.9,48.5,True,49.81807173790822
7448_liver_sbr_Male_10-U1,Cxcl1,58.2,53.4,True,61.57101341820296
7448_liver_sbr_Male_10-U1,Cxcl2,3.5,230.0,True,251.07517380409718
7448_liver_sbr_Male_10-U1,Cxcl5,40.3,63.1,True,73.99208598158987
7260_liver_sbr_Male_26-U1,Il1a,170.1,29.8,True,36.015183955163
7260_liver_sbr_Male_26-U1,Tgfb1,472.0,15.8,False,21.620552846959306
7260_liver_sbr_Male_26-U1,Tnf,32.0,75.0,False,83.035308783495
7260_liver_sbr_Male_26-U1,Il6,4.5,209.0,False,221.42749008932
7260_liver_sbr_Male_26-U1,Igfbp3,354.7,23.5,False,24.940617387987235
7260_liver_sbr_Male_26-U1,Gdf15,46.7,59.8,False,68.73522424870167
7260_liver_sbr_Male_26-U1,Timp1,100.6,45.2,False,46.83157930929619
7260_liver_sbr_Male_26-U1,Mmp3,7.9,209.9,False,167.11839210975046
7260_liver_sbr_Male_26-U1,Thbs1,294.2,23.9,False,27.38523423715475
7260_liver_sbr_Male_26-U1,Ccl2,179.5,34.2,True,35.059487858106415
7260_liver_sbr_Male_26-U1,Cxcl1,127.5,38.2,True,41.598981902384516
7260_liver_sbr_Male_26-U1,Cxcl2,6.3,171.1,True,187.14038536284525
7260_liver_sbr_Male_26-U1,Cxcl5,51.0,61.4,True,65.77376557782964
7239_liver_sbr_Male_52-U1,Il1a,113.9,32.8,True,44.012489263542136
7239_liver_sbr_Male_52-U1,Tgfb1,404.1,15.7,False,23.366484041737706
7239_liver_sbr_Male_52-U1,Tnf,12.1,107.9,False,135.03461452551286
7239_liver_sbr_Male_52-U1,Il6,2.9,244.8,False,275.8282825091525
7239_liver_sbr_Male_52-U1,Igfbp3,219.1,27.8,False,31.733399952354052
7239_liver_sbr_Male_52-U1,Gdf15,78.8,40.7,False,52.914498621585295
7239_liver_sbr_Male_52-U1,Timp1,23.5,77.2,False,96.89555687783638
7239_liver_sbr_Male_52-U1,Mmp3,3.7,214.6,False,244.19509267079965
7239_liver_sbr_Male_52-U1,Thbs1,196.5,25.3,False,33.50861802123274
7239_liver_sbr_Male_52-U1,Ccl2,78.8,45.4,True,52.914498621585295
7239_liver_sbr_Male_52-U1,Cxcl1,85.6,43.2,True,50.769269182962425
7239_liver_sbr_Male_52-U1,Cxcl2,4.1,191.0,True,231.9775010918987
7239_liver_sbr_Male_52-U1,Cxcl5,82.3,47.6,True,51.77711839900084
7361_liver_sbr_Male_2-U1,Il1a,130.8,31.9,True,41.07087185498414
7361_liver_sbr_Male_2-U1,Tgfb1,398.4,17.0,False,23.533045218386665
7361_liver_sbr_Male_2-U1,Tnf,15.1,102.7,False,120.8785719190222
7361_liver_sbr_Male_2-U1,Il6,7.2,140.7,False,175.05380131415296
7361_liver_sbr_Male_2-U1,Igfbp3,321.4,20.8,False,26.20081845749717
7361_liver_sbr_Male_2-U1,Gdf15,77.9,42.8,False,53.219288654456975
7361_liver_sbr_Male_2-U1,Timp1,46.7,63.4,False,68.73522424870167
7361_liver_sbr_Male_2-U1,Mmp3,8.1,150.8,False,165.0423066422935
7361_liver_sbr_Male_2-U1,Thbs1,244.6,26.3,False,30.03375044498618
7361_liver_sbr_Male_2-U1,Ccl2,221.0,30.7,True,31.596694952359346
7361_liver_sbr_Male_2-U1,Cxcl12,1489.3,7.9,False,12.171572755521263
7361_liver_sbr_Male_2-U1,Cxcl1,42.6,57.9,True,71.96693296370972
7361_liver_sbr_Male_2-U1,Cxcl2,17.1,105.7,True,113.58990569409616
7361_liver_sbr_Male_2-U1,Cxcl5,6.4,148.0,True,185.67259497258019
7450_liver_sbr_Male_10-U1,Il1a,194.4,28.8,True,33.689119770464494
7450_liver_sbr_Male_10-U1,Tgfb1,365.3,19.9,False,24.576099579713954
7450_liver_sbr_Male_10-U1,Tnf,16.2,111.9,False,116.70253420943531
7450_liver_sbr_Male_10-U1,Il6,4.1,216.4,False,231.9775010918987
7450_liver_sbr_Male_10-U1,Igfbp3,214.4,28.0,False,32.07933845851368
7450_liver_sbr_Male_10-U1,Gdf15,46.9,60.6,False,68.58851068921092
7450_liver_sbr_Male_10-U1,Timp1,45.3,68.8,False,69.789276036705
7450_liver_sbr_Male_10-U1,Mmp3,1.7,340.6,False,360.2577509903411
7450_liver_sbr_Male_10-U1,Thbs1,103.1,44.6,False,46.260301775867106
7450_liver_sbr_Male_10-U1,Ccl2,120.4,43.6,True,42.807961828989896
7450_liver_sbr_Male_10-U1,Cxcl12,1630.4,6.1,False,11.632972752029783
7450_liver_sbr_Male_10-U1,Cxcl1,33.7,76.9,True,80.91384584626773
7450_liver_sbr_Male_10-U1,Cxcl2,3.6,230.3,True,247.56345996344027
7450_liver_sbr_Male_10-U1,Cxcl5,12.9,122.4,True,130.78048361875096
