panel,arm,conditioning,pair,n_sections,ratio_median,ratio_min,ratio_max,circular,section,rho_partial_cdkn1a,fold_split_sign_stability,label,pearson_r,top5_jaccard,scope,rho_denoise_False,rho_denoise_True,delta_rho
b,M1,,,,,,,,7448_liver_sbr_Male_10-U1,0.078,1.0,,,,,,,
b,M1,,,,,,,,7450_liver_sbr_Male_10-U1,0.0807,1.0,,,,,,,
b,H1,,,,,,,,SPLN07,0.23,1.0,,,,,,,
b,H1,,,,,,,,SPLN14,0.2048,1.0,,,,,,,
b,H1,,,,,,,,SPLN21,0.2363,1.0,,,,,,,
b,H1,,,,,,,,SPLN24,0.1911,1.0,,,,,,,
b,H1,,,,,,,,SPLN30,0.2223,1.0,,,,,,,
b,H1,,,,,,,,SPLN43,0.2202,1.0,,,,,,,
b,H1,,,,,,,,SPLN44,0.254,1.0,,,,,,,
c,,,,,,,,,,,,M1 denoise=False seed 0 vs 1 (20k),0.99553,0.7606,,,,
c,,,,,,,,,,,,M1 denoise=True seed 0 vs 1 (20k),0.5703,0.0,,,,
c,,,,,,,,,,,,"H1 denoise=False seed 0 vs 1 (FULL, 196k)",0.3719,0.2107,,,,
c,,,,,,,,,,,,H1 denoise=False seed 0 vs 1 (20k),0.3829,0.2006,,,,
c,,,,,,,,,,,,H1 denoise=True seed 0 vs 1 (20k),0.3125,0.0444,,,,
c,,,,,,,,,,,,"H1 SPLN07, 5-seed panel",0.68558,0.29323,,,,
c,,,,,,,,,,,,"H1 SPLN14, 5-seed panel",0.14652,0.15658,,,,
c,,,,,,,,,,,,"H1 SPLN21, 5-seed panel",0.71073,0.36749,,,,
c,,,,,,,,,,,,"H1 SPLN24, 5-seed panel",0.9843,0.69799,,,,
c,,,,,,,,,,,,"H1 SPLN30, 5-seed panel",0.18619,0.20519,,,,
c,,,,,,,,,,,,"H1 SPLN43, 5-seed panel",0.21618,0.24206,,,,
c,,,,,,,,,,,,"H1 SPLN44, 5-seed panel",0.48224,0.26337,,,,
d,M1,,,,,,,,7239,,,,,,full section,0.3891,0.6404,0.2513
d,M1,,,,,,,,7259,,,,,,full section,0.3176,0.5314,0.2138
d,M1,,,,,,,,7352,,,,,,full section,0.4096,0.5419,0.1323
d,H1,,,,,,,,SPLN07,,,,,,"20,000-cell panel",0.2806,-0.1838,-0.4644
d,H1,,,,,,,,SPLN14,,,,,,"20,000-cell panel",0.1695,0.1715,0.002
d,H1,,,,,,,,SPLN21,,,,,,"20,000-cell panel",0.2697,-0.0972,-0.3669
d,H1,,,,,,,,SPLN24,,,,,,"20,000-cell panel",0.2237,-0.1564,-0.3801
d,H1,,,,,,,,SPLN30,,,,,,"20,000-cell panel",0.1796,0.1349,-0.0447
d,H1,,,,,,,,SPLN43,,,,,,"20,000-cell panel",0.0807,-0.2638,-0.3445
d,H1,,,,,,,,SPLN44,,,,,,"20,000-cell panel",0.3709,-0.0609,-0.4317
