clustering,ell_over_lambda,lam_naive_mean,lam_naive_std,beta_naive_mean,beta_naive_std,relbias_lam_naive_mean,relbias_lam_naive_std,signal_retained_naive_mean,signal_retained_naive_std,lam_decoyS_mean,lam_decoyS_std,beta_decoyS_mean,beta_decoyS_std,relbias_lam_decoyS_mean,relbias_lam_decoyS_std,signal_retained_decoyS_mean,signal_retained_decoyS_std,lam_nuis_mean,lam_nuis_std,beta_nuis_mean,beta_nuis_std,relbias_lam_nuis_mean,relbias_lam_nuis_std,signal_retained_nuis_mean,signal_retained_nuis_std,lam_decoyS_nuis_mean,lam_decoyS_nuis_std,beta_decoyS_nuis_mean,beta_decoyS_nuis_std,relbias_lam_decoyS_nuis_mean,relbias_lam_decoyS_nuis_std,signal_retained_decoyS_nuis_mean,signal_retained_decoyS_nuis_std,cover_lam_naive_iid_mean,cover_lam_naive_iid_std,cover_lam_naive_blk_mean,cover_lam_naive_blk_std,cover_lam_nuis_blk_mean,cover_lam_nuis_blk_std,cover_lam_decoyS_blk_mean,cover_lam_decoyS_blk_std,cover_beta_naive_blk_mean,cover_beta_naive_blk_std,cover_beta_decoyS_blk_mean,cover_beta_decoyS_blk_std,se_ratio_naive_mean,se_ratio_naive_std,max_smd_before_mean,max_smd_before_std,max_smd_after_mean,max_smd_after_std,smd_pass_mean,smd_pass_std,u_sender_mean_mean,u_sender_mean_std,u_decoy_mean_mean,u_decoy_mean_std,u_all_mean_mean,u_all_mean_std,n_cells_mean,n_cells_std,n_senders_mean,n_senders_std,median_nn_um_mean,median_nn_um_std,med_d_sender_mean,med_d_sender_std
3.0,0.25,29.7113,6.4591,1.0033,0.1377,-0.0096,0.2153,1.0033,0.1377,29.8299,6.5256,0.9998,0.1388,-0.0057,0.2175,0.9998,0.1388,27.6969,4.1058,0.9513,0.1155,-0.0768,0.1369,0.9513,0.1155,27.5067,4.1485,0.9594,0.1167,-0.0831,0.1383,0.9594,0.1167,0.8333,0.379,0.9333,0.2537,0.9667,0.1826,0.9667,0.1826,0.9667,0.1826,0.9667,0.1826,2.4581,1.8821,0.3422,0.1743,0.0715,0.0324,0.8333,0.379,0.7744,0.0509,0.3554,0.0426,0.2745,0.0075,11818.6,56.2069,590.9,2.7836,11.7469,0.045,100.485,7.7305
3.0,0.5,22.1395,6.7891,1.3966,0.2517,-0.262,0.2263,1.3966,0.2517,23.7903,6.0698,1.3241,0.2408,-0.207,0.2023,1.3241,0.2408,21.6023,4.8159,1.226,0.2077,-0.2799,0.1605,1.226,0.2077,21.4058,5.0768,1.2473,0.2214,-0.2865,0.1692,1.2473,0.2214,0.3333,0.4795,0.7,0.4661,0.6,0.4983,0.7333,0.4498,0.5333,0.5074,0.6333,0.4901,2.6944,2.7012,0.3256,0.1649,0.0665,0.0291,0.8667,0.3457,0.8162,0.0635,0.39,0.0449,0.285,0.006,11782.8667,68.6539,589.1333,3.4912,11.7071,0.0357,103.7892,6.5845
3.0,1.0,22.1119,4.5594,1.629,0.2611,-0.2629,0.152,1.629,0.2611,26.4539,5.8026,1.4405,0.2317,-0.1182,0.1934,1.4405,0.2317,21.6498,4.9063,1.3301,0.2191,-0.2783,0.1635,1.3301,0.2191,21.508,4.7935,1.3409,0.2195,-0.2831,0.1598,1.3409,0.2195,0.2667,0.4498,0.6667,0.4795,0.7667,0.4302,0.7667,0.4302,0.1333,0.3457,0.5333,0.5074,2.8592,2.261,0.3631,0.1552,0.0514,0.0224,0.9667,0.1826,0.8211,0.0994,0.4123,0.0744,0.2923,0.0065,11768.3667,62.2345,588.4333,3.0815,11.6751,0.04,104.9153,8.0849
3.0,2.0,28.1995,7.8972,1.661,0.2542,-0.06,0.2632,1.661,0.2542,38.7107,8.8625,1.3213,0.2429,0.2904,0.2954,1.3213,0.2429,24.3344,7.9538,1.3174,0.225,-0.1889,0.2651,1.3174,0.225,24.4575,7.8338,1.3103,0.2012,-0.1847,0.2611,1.3103,0.2012,0.5,0.5085,0.9333,0.2537,0.8,0.4068,0.7667,0.4302,0.1,0.3051,0.6,0.4983,7.3711,9.122,0.5069,0.1511,0.0607,0.0203,0.9667,0.1826,0.8682,0.1375,0.5279,0.0862,0.2954,0.007,11773.1667,60.3747,588.6333,3.0792,11.6523,0.037,106.2578,8.0303
3.0,4.0,44.5416,25.1144,1.5721,0.2164,0.4847,0.8371,1.5721,0.2164,58.9531,27.0115,1.2836,0.2098,0.9651,0.9004,1.2836,0.2098,30.2778,15.9621,1.2554,0.2622,0.0093,0.5321,1.2554,0.2622,31.2738,18.0192,1.2473,0.2682,0.0425,0.6006,1.2473,0.2682,0.3333,0.4795,0.8,0.4068,0.9,0.3051,0.3,0.4661,0.1667,0.379,0.6333,0.4901,6.4156,4.0782,0.4861,0.1746,0.0594,0.0233,0.9667,0.1826,0.8061,0.1651,0.5674,0.122,0.297,0.0059,11770.7333,72.6052,588.6,3.6822,11.634,0.0411,112.4904,8.9054
4.5,0.25,33.0116,9.9982,0.9394,0.1544,0.1004,0.3333,0.9394,0.1544,34.1349,9.9016,0.9229,0.1362,0.1378,0.3301,0.9229,0.1362,30.9654,7.1136,0.9103,0.1334,0.0322,0.2371,0.9103,0.1334,30.6818,7.0816,0.9202,0.1329,0.0227,0.2361,0.9202,0.1329,0.7333,0.4498,0.9,0.3051,0.8667,0.3457,0.8333,0.379,0.9333,0.2537,0.9333,0.2537,2.3868,1.871,0.3326,0.1972,0.0503,0.0144,1.0,0.0,0.6446,0.0567,0.3324,0.0499,0.2758,0.0073,11813.1333,61.6233,590.7333,3.0278,11.7567,0.036,118.1727,9.8361
4.5,0.5,26.9378,11.4879,1.2834,0.2738,-0.1021,0.3829,1.2834,0.2738,28.4858,10.2901,1.2218,0.2472,-0.0505,0.343,1.2218,0.2472,24.1729,5.4907,1.1311,0.2026,-0.1942,0.183,1.1311,0.2026,23.8868,5.4497,1.1554,0.2271,-0.2038,0.1817,1.1554,0.2271,0.4667,0.5074,0.8333,0.379,0.8,0.4068,0.8,0.4068,0.7667,0.4302,0.8,0.4068,5.1571,8.1965,0.3565,0.1606,0.0638,0.0243,0.9,0.3051,0.6942,0.0721,0.359,0.0657,0.2864,0.0066,11798.0,67.1668,590.0,3.4341,11.7033,0.0439,118.7656,8.9517
4.5,1.0,23.314,7.8609,1.57,0.2086,-0.2229,0.262,1.57,0.2086,27.6387,8.2237,1.3585,0.1848,-0.0787,0.2741,1.3585,0.1848,23.4992,8.2606,1.2753,0.2385,-0.2167,0.2754,1.2753,0.2385,23.2066,8.3825,1.2951,0.2487,-0.2264,0.2794,1.2951,0.2487,0.4,0.4983,0.6667,0.4795,0.8,0.4068,0.9667,0.1826,0.3667,0.4901,0.6667,0.4795,4.8408,6.1804,0.3957,0.1462,0.0657,0.0297,0.8667,0.3457,0.6684,0.0953,0.4255,0.0845,0.2937,0.0068,11771.2667,64.2962,588.5333,3.2982,11.6715,0.0384,127.1266,11.8219
4.5,2.0,25.9538,10.2743,1.6411,0.3155,-0.1349,0.3425,1.6411,0.3155,35.9966,12.6031,1.278,0.3006,0.1999,0.4201,1.278,0.3006,23.9018,6.8519,1.2867,0.2959,-0.2033,0.2284,1.2867,0.2959,23.8988,6.9974,1.2997,0.2982,-0.2034,0.2332,1.2997,0.2982,0.3333,0.4795,0.8,0.4068,0.7667,0.4302,0.8333,0.379,0.2333,0.4302,0.7,0.4661,7.9442,6.85,0.4275,0.1839,0.0608,0.0193,1.0,0.0,0.6811,0.1552,0.4363,0.121,0.2961,0.0049,11757.9333,86.8363,587.9333,4.3465,11.6458,0.0477,130.14,13.6199
4.5,4.0,90.7498,99.4295,1.4755,0.3113,2.025,3.3143,1.4755,0.3113,98.0955,90.2406,1.2219,0.3304,2.2699,3.008,1.2219,0.3304,38.0001,37.4942,1.196,0.2595,0.2667,1.2498,1.196,0.2595,38.3234,33.4895,1.1783,0.2585,0.2774,1.1163,1.1783,0.2585,0.2667,0.4498,0.7,0.4661,0.9,0.3051,0.3,0.4661,0.4,0.4983,0.8333,0.379,7.6454,4.7843,0.4154,0.1667,0.0622,0.0223,1.0,0.0,0.6525,0.1373,0.4858,0.115,0.2971,0.0078,11777.7,70.641,588.9333,3.5129,11.6214,0.0343,134.5574,17.4028
