kind,module,celltype,bin_lo,bin_hi,n,mean,sem
strat,downstream_arrest,Biliary/ductular,17.5,20.0,5445.0,0.024485393966173656,0.013598167874427074
strat,downstream_arrest,Biliary/ductular,20.0,25.0,10517.0,-0.016576130465079615,0.00981662480064054
strat,downstream_arrest,Biliary/ductular,25.0,30.0,9783.0,-0.0024036681369443524,0.009930275692882205
strat,downstream_arrest,Biliary/ductular,30.0,35.0,8471.0,-0.005232260708226134,0.010862391906068131
strat,downstream_arrest,Biliary/ductular,35.0,40.0,7341.0,-0.010734262360938775,0.011449217061216516
strat,downstream_arrest,Biliary/ductular,40.0,50.0,10712.0,0.002374258422094449,0.009431224144120473
strat,downstream_arrest,Biliary/ductular,50.0,60.0,6486.0,-0.009991362333034843,0.012419168352294408
strat,downstream_arrest,Biliary/ductular,60.0,75.0,4654.0,-0.00963361045398414,0.01446570039501675
strat,downstream_arrest,Biliary/ductular,75.0,100.0,2166.0,-0.03284893907146649,0.02116622278861614
unstrat,downstream_arrest,Biliary/ductular,0.0,2.0,0.0,,
unstrat,downstream_arrest,Biliary/ductular,2.0,4.0,268.0,0.1684429657821428,0.06560648484056866
unstrat,downstream_arrest,Biliary/ductular,4.0,6.0,3359.0,0.2968230609593707,0.018906116973869413
unstrat,downstream_arrest,Biliary/ductular,6.0,8.0,5236.0,0.3610664318922537,0.014767185809701681
unstrat,downstream_arrest,Biliary/ductular,8.0,10.0,4997.0,0.35362594802238106,0.014785418452718952
unstrat,downstream_arrest,Biliary/ductular,10.0,12.5,5906.0,0.359296809031451,0.01324792390786687
unstrat,downstream_arrest,Biliary/ductular,12.5,15.0,5747.0,0.35595831067202777,0.013785075444143487
unstrat,downstream_arrest,Biliary/ductular,15.0,17.5,5548.0,0.35506382099696493,0.013986683697248708
unstrat,downstream_arrest,Biliary/ductular,17.5,20.0,5445.0,0.35952566973220235,0.01383972075451754
unstrat,downstream_arrest,Biliary/ductular,20.0,25.0,10517.0,0.3148867324065316,0.010051268832885488
unstrat,downstream_arrest,Biliary/ductular,25.0,30.0,9783.0,0.33962539860191093,0.010116562049699171
unstrat,downstream_arrest,Biliary/ductular,30.0,35.0,8471.0,0.33686200304300123,0.010980954588917654
unstrat,downstream_arrest,Biliary/ductular,35.0,40.0,7341.0,0.3444994159823571,0.011579997863252117
unstrat,downstream_arrest,Biliary/ductular,40.0,50.0,10712.0,0.36710346587804127,0.009500685758522863
unstrat,downstream_arrest,Biliary/ductular,50.0,60.0,6486.0,0.3716173679450456,0.01231032644876535
unstrat,downstream_arrest,Biliary/ductular,60.0,75.0,4654.0,0.3925266026456803,0.014394371952782474
