call,split,n,daic1k_med,sup_win,sup_vs_cov_med,sup_vs_cov_frac,lam_sup_ceiling,lam_sup_floor,lam_sup_ceiling_where_sup_beats_cov,lam_sup_med_where_sup_beats_cov
tierA_p95,Cdkn1a_in_module,180,-0.0788854746413657,0.7611111111111111,0.7302931324011297,0.43333333333333335,,,,
tierA_p95,no_Cdkn1a,135,-0.12387209728298107,0.762962962962963,0.774040306918323,0.4666666666666667,,,,
tierA_p95,ALL,315,-0.10885220681245397,0.7619047619047619,0.7365475899277953,0.44761904761904764,0.4634920634920635,0.1746031746031746,0.6453900709219859,49.99999999999999
cdkn1a_pos,Cdkn1a_in_module,184,-0.2886953591656207,0.782608695652174,-3.9055560391570907,0.6195652173913043,,,,
cdkn1a_pos,no_Cdkn1a,138,-0.3700903969282341,0.8043478260869565,-4.9059651758288965,0.6739130434782609,,,,
cdkn1a_pos,ALL,322,-0.3403339667928309,0.7919254658385093,-4.442726583847616,0.6428571428571429,0.5652173913043478,0.16459627329192547,0.6570048309178744,49.99999999999999
senepy_p95,Cdkn1a_in_module,180,-0.15362145102661562,0.75,-1.3588099465705454,0.5777777777777777,,,,
senepy_p95,no_Cdkn1a,135,-0.26715514663461803,0.7333333333333333,-4.505317196191754,0.6962962962962963,,,,
senepy_p95,ALL,315,-0.1813519910298399,0.7428571428571429,-2.3852229942567647,0.6285714285714286,0.5492063492063493,0.20317460317460317,0.6111111111111112,49.99999999999999
