section,cfg,stratified,celltype,module,family,n,aic,lam,d_half,best_family,d_aic_vs_cov
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,il6_jak_stat3,powerlaw,108838,-737514.784480933,19.185852382096297,3.8000000000000003,spline,-367.78731073101517
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,il6_jak_stat3,step,108838,-737480.3822050572,11.019082036984365,11.200000000000001,spline,-333.38503485522233
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,il6_jak_stat3,spline,108838,-737544.6176547017,,,spline,-397.62048449972644
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,interferon_response,exponential,108838,-744902.9036215948,7.361938632551805,5.2,spline,-717.6677791129332
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,interferon_response,gaussian,108838,-744908.2464144011,7.742591489922676,9.200000000000001,spline,-723.0105719192652
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,interferon_response,powerlaw,108838,-744896.2052126273,23.47241150476913,4.6000000000000005,spline,-710.9693701454671
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,interferon_response,step,108838,-744786.3722245065,12.18803582947357,12.200000000000001,spline,-601.1363820246188
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,interferon_response,spline,108838,-744945.7464202014,,,spline,-760.5105777195422
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,oxidative_stress,exponential,108838,-636325.4774193341,6.999999999999999,5.0,spline,-1296.7347587031545
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,oxidative_stress,gaussian,108838,-636299.7445286886,6.999999999999999,8.4,spline,-1271.0018680576468
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,oxidative_stress,powerlaw,108838,-636398.2681099778,11.019082036984365,2.2,spline,-1369.5254493468674
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,oxidative_stress,step,108838,-636039.2729559827,9.006764443646388,9.200000000000001,spline,-1010.530295351753
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,oxidative_stress,spline,108838,-636476.5962791492,,,spline,-1447.8536185182165
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,secondary_senescence,exponential,108838,-826623.9208096159,49.99999999999999,34.800000000000004,spline,-18.755309813423082
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,0,ALL,secondary_senescence,gaussian,108838,-826626.9988395397,49.99999999999999,59.0,spline,-21.833339737262577
