section,arm,celltype,module,n,nb,lam_full,beta_full,beta_full_lo,beta_full_hi,selected_full,sf_n5_full,sf_n6_full,sf_n6n5_full,sf_n2n5n6_full,split,selected_A,beta_A,beta_B,lam_A,lam_B,sf_n5_A,sf_n5_B,sf_n6_A,sf_n6_B,sf_n6n5_A,sf_n6n5_B,sf_n2n5n6_A,sf_n2n5n6_B,sf_n5_B_lamA,sf_n6n5_B_lamA
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31135,99,47.71172235375296,-0.0008533625478574885,-0.0017210073830251876,0.0002701959026123068,0,-0.15328886628495914,0.9249535572572148,-0.06088087531091813,-0.06295021950929461,0,0,-0.0010191215337634811,-0.0013037693966204752,49.99999999999999,6.999999999999999,-0.06883054584338429,0.0810466454313899,0.9172825571428783,0.9500739432215305,0.022449361152127832,0.10730892093415066,0.023819190912550345,0.11244730679811873,-0.1602553123128933,-0.08415760065683493
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31135,99,47.71172235375296,-0.0008533625478574885,-0.0017210073830251876,0.0002701959026123068,0,-0.15328886628495914,0.9249535572572148,-0.06088087531091813,-0.06295021950929461,1,0,-0.0012545680738166917,-0.0006592075307025907,6.999999999999999,26.520322337319907,0.20409353131911706,-0.623647909272186,1.1290580513847979,0.8026402840526234,0.41974752979854585,-0.6544807942314667,0.4214381714179543,-0.6492080241845471,-0.9507993055312257,-0.9832976024866319
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31135,99,47.71172235375296,-0.0008533625478574885,-0.0017210073830251876,0.0002701959026123068,0,-0.15328886628495914,0.9249535572572148,-0.06088087531091813,-0.06295021950929461,2,0,-0.0009317285907915806,-0.0008578817555305164,6.999999999999999,28.482634868672278,-0.2401624343635745,-0.03796795027972559,1.0461630423407604,0.9744640752532724,-0.09258070015080952,0.051651533078548015,-0.09207878657032018,0.05056044230498738,-0.16399715284432648,-0.12262927646506526
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31135,99,47.71172235375296,-0.0008533625478574885,-0.0017210073830251876,0.0002701959026123068,0,-0.15328886628495914,0.9249535572572148,-0.06088087531091813,-0.06295021950929461,3,0,-0.0013180337695106589,-0.0004604748184333698,25.18223754051342,6.999999999999999,0.45355312525243796,-2.0657657869501964,0.9521614197248921,0.9419775406835572,0.49427332003665764,-1.9468179472186011,0.4859366364686293,-1.9916055766515297,-8.965475429737818,-8.020128508701246
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31135,99,47.71172235375296,-0.0008533625478574885,-0.0017210073830251876,0.0002701959026123068,0,-0.15328886628495914,0.9249535572572148,-0.06088087531091813,-0.06295021950929461,4,0,-0.0008488636528055539,-0.0009961054540334829,48.35362252818577,6.999999999999999,-0.296725687620316,-0.01448596782311518,0.9038687715467704,1.0447316503753785,-0.18127103298360034,0.07307388833996127,-0.18017430131860296,0.07325565782021229,0.023704813973543168,0.07620403427165376
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31135,99,47.71172235375296,-0.0008533625478574885,-0.0017210073830251876,0.0002701959026123068,0,-0.15328886628495914,0.9249535572572148,-0.06088087531091813,-0.06295021950929461,5,0,-0.0010635949873047442,-0.0010750167247991751,49.99999999999999,6.999999999999999,0.1234451902684252,-0.24482551880529022,0.8949000074178134,1.0916895038501762,0.16154008176531556,-0.11006234312200147,0.16593386916903669,-0.10788015659895424,-0.7213809924157724,-0.5557269105441537
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31135,99,47.71172235375296,-0.0008533625478574885,-0.0017210073830251876,0.0002701959026123068,0,-0.15328886628495914,0.9249535572572148,-0.06088087531091813,-0.06295021950929461,6,0,-0.0011196996704559699,-0.000474683971646421,35.796939720896006,6.999999999999999,-0.16188785618077994,-0.4120666784745626,0.8989036523414518,1.3015864970682076,-0.12272746822187494,-0.08021649520955525,-0.11211597265233722,-0.06755238798262454,-0.35962715036894766,0.008607189662432199
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31135,99,47.71172235375296,-0.0008533625478574885,-0.0017210073830251876,0.0002701959026123068,0,-0.15328886628495914,0.9249535572572148,-0.06088087531091813,-0.06295021950929461,7,0,-6.948229898075886e-05,-0.0018008404422330323,12.808189091204799,49.99999999999999,-13.9883645878341,0.5703499877578523,1.7912303137475463,0.9000117941891917,-11.90856822774187,0.5284747281156462,-11.899306694671756,0.5273950129292467,0.438632488607808,0.4080333403047669
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31135,99,47.71172235375296,-0.0008533625478574885,-0.0017210073830251876,0.0002701959026123068,0,-0.15328886628495914,0.9249535572572148,-0.06088087531091813,-0.06295021950929461,8,0,-0.0007559291460124095,-0.0008855715298501951,19.026030238982916,49.99999999999999,0.23900521292615443,-0.4700908742100084,1.0313618206593502,0.8662538194862038,0.3703674420742543,-0.42248898349885333,0.36667916458716054,-0.4135830872988401,-0.666983263202047,-0.5986849134392215
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31135,99,47.71172235375296,-0.0008533625478574885,-0.0017210073830251876,0.0002701959026123068,0,-0.15328886628495914,0.9249535572572148,-0.06088087531091813,-0.06295021950929461,9,0,-0.0007792180747714125,-0.0013498115082243522,6.999999999999999,48.08583917365655,0.016356156880309333,-0.03505165721294071,0.9380323058711164,0.9540392523771835,0.06980508385817175,0.04137395137990621,0.08339307468477146,0.05685396257333949,-0.33678841692367467,-0.21259519281175404
