section,call,null,draw,celltype,module,n,lam_near,lam_sup,aic_near,aic_sup,d_aic,d_aic_near_vs_cov,d_aic_sup_vs_cov
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,Biliary/ductular,downstream_arrest,31826,6.999999999999999,49.99999999999999,-266735.92998936545,-266738.0000539747,-2.0700646092300303,3.311234348686412,1.2411697394563816
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,Biliary/ductular,emt_ecm,31826,49.99999999999999,49.99999999999999,-232662.22751506665,-232661.80137840036,0.42613666629767977,3.442558667709818,3.868695334007498
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,Biliary/ductular,il6_jak_stat3,31826,49.99999999999999,49.99999999999999,-227904.18820534972,-227903.82538318238,0.3628221673425287,2.7846523174084723,3.147474484751001
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,Biliary/ductular,interferon_response,31826,49.99999999999999,49.99999999999999,-231586.25443748498,-231578.74199246138,7.5124450236035045,-6.66021305823233,0.8522319653711747
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,Biliary/ductular,oxidative_stress,31826,49.99999999999999,23.47241150476913,-192031.72734607838,-192026.08436409713,5.642981981247431,-3.359925857192138,2.2830561240552925
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,Biliary/ductular,secondary_senescence,31826,6.999999999999999,6.999999999999999,-208717.68562892143,-208715.40231388647,2.2833150349615607,-2.6958999317430425,-0.4125848967814818
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,Biliary/ductular,tnfa_nfkb_proximal,31826,6.999999999999999,6.999999999999999,-236408.87035453727,-236408.08940969218,0.7809448450861964,2.5054843857942615,3.286429230880458
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,DC,downstream_arrest,2697,49.99999999999999,49.99999999999999,-19904.92731145011,-19905.7880866419,-0.8607751917916175,3.7120104997775343,2.8512353079859167
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,DC,emt_ecm,2697,49.99999999999999,6.999999999999999,-18850.221254688764,-18850.399371280288,-0.17811659152357606,3.3069207774533425,3.1288041859297664
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,DC,il6_jak_stat3,2697,36.94920399670096,25.962470509255517,-18171.916075173634,-18172.027338488617,-0.11126331498235231,3.1077908076804306,2.9965274926980783
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,DC,interferon_response,2697,49.99999999999999,33.40540803599722,-18288.695854754336,-18287.124133138514,1.571721615822753,1.8027338211541064,3.3744554369768593
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,DC,oxidative_stress,2697,30.20149733539872,33.40540803599722,-15976.487756277407,-15978.854542212182,-2.36678593477518,3.5666953337804443,1.1999093990052643
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,DC,secondary_senescence,2697,12.818224546846722,9.962242533302096,-17694.3987941083,-17693.540028284173,0.8587658241267491,0.3385934587677184,1.1973592828944675
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,DC,tnfa_nfkb_proximal,2697,49.99999999999999,13.48099749887925,-18946.579839027334,-18946.51660841962,0.06323060771319433,3.861545460877096,3.9247760685902904
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,Endothelial,downstream_arrest,11945,49.99999999999999,49.99999999999999,-101125.14567386177,-101127.5368966875,-2.391222825724981,1.0063990922353696,-1.3848237334896112
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,Endothelial,emt_ecm,11945,6.999999999999999,6.999999999999999,-86877.4802604883,-86877.87388289405,-0.39362240575428586,2.2148531330021797,1.8212307272478938
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,Endothelial,il6_jak_stat3,11945,49.99999999999999,49.99999999999999,-81042.1176407317,-81043.08183947913,-0.9641987474315101,0.08462289221643005,-0.8795758552150801
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,Endothelial,interferon_response,11945,49.99999999999999,49.99999999999999,-86076.14011289724,-86075.75530724607,0.3848056511633331,-3.5061164460348664,-3.1213107948715333
7259_liver_sbr_Male_26-U1,senepy_p95,N3,0,Endothelial,oxidative_stress,11945,49.99999999999999,30.20149733539872,-72399.31276444791,-72402.72196160143,-3.4091971535235643,1.0358339027152397,-2.3733632508083247
