call,design,n_fits,med_senders,med_n,daic1k_med,daic1k_q25,daic1k_q75,sup_win,boot_win_med,ci_lo_med,ci_hi_med,ci_excl0,bound_med,bound_p90,decisive_sup,decisive_near,near_vs_cov_med,near_vs_cov_frac,sup_vs_cov_med,sup_vs_cov_frac,beta_sup_sd,beta_near_sd,r_regressors,railed_near,railed_sup,lam_near_med,lam_sup_med,per_draw,dll_med
tierA_p95,ctrl,315,6960.0,12301.0,-0.05957697971016348,-0.23755530904216116,0.004527306403867171,0.7206349206349206,0.7,-0.8562852422367938,0.2359695788770874,0.06666666666666667,0.9237099853521036,2.8054735409637983,0.0761904761904762,0.0,2.750828224488941,0.16507936507936508,1.592452034848975,0.3492063492063492,-0.0046166852993855,-0.0116517175489014,0.6556208701008412,0.6888888888888889,0.6126984126984127,14.178039470333344,33.40540803599722,,
tierA_p95,ctrl+N2,315,6960.0,12301.0,-0.09747982596235528,-0.3641653323757007,0.003249512073890274,0.7333333333333333,,,,0.0,,,0.0,0.0,,,,,,,,,,12.818224546846722,38.85968176362148,,
tierA_p95,naive,315,6960.0,12301.0,-0.44775069376795906,-2.1072787755813556,-0.026892423478846135,0.7841269841269841,0.84,-2.9679683827031065,0.2745332682017877,0.21587301587301588,3.122799816535104,16.037176270732044,0.2761904761904762,0.0031746031746031746,-10.114159806445969,0.7777777777777778,-19.927213321392628,0.8476190476190476,0.0291303763831501,0.1930541976418487,0.7521713728861263,0.6349206349206349,0.5079365079365079,13.48099749887925,23.47241150476913,,
tierA_p95,N1,1575,,12301.0,-0.02173868250133515,-0.11299071222977074,0.011286610746399955,0.6660317460317461,,,,,,,,,3.052077766871662,0.0926984126984127,2.47318118828116,0.17904761904761904,,,,,,14.911122358641624,24.6860647223019,"[0.708, 0.632, 0.654, 0.667, 0.67]",
tierA_p95,N3,1575,,12301.0,-0.010926674944486688,-0.09321160885959368,0.04472720605744377,0.5549206349206349,,,,,,,,,2.301701312462683,0.27746031746031746,1.9363913385386693,0.3028571428571429,,,,,,47.54182525407475,36.94920399670096,"[0.559, 0.559, 0.54, 0.581, 0.537]",
tierA_p95,heldout_ctrl,252,,,,,,0.5079365079365079,,,,,,,,,4.4139891844929835e-06,0.5317460317460317,6.8419346239689816e-06,0.5476190476190477,,,,,,,,,8.101921254999311e-07
tierA_p95,heldout_naive,252,,,,,,0.5436507936507936,,,,,,,,,0.0003031372713176994,0.753968253968254,0.00043365864091937656,0.6984126984126984,,,,,,,,,2.3398315812106496e-05
cdkn1a_pos,ctrl,322,7696.0,11637.5,-0.3209615795273645,-0.8622000936788035,-0.033236396323036946,0.7888198757763976,0.86,-1.6241102169948882,0.1886484732378832,0.2577639751552795,1.6741330617136885,5.270210678858246,0.33540372670807456,0.006211180124223602,1.5732442576208996,0.3416149068322981,-3.9055560391570907,0.639751552795031,0.009312576111075551,0.0567749332275403,0.5927207869134905,0.6770186335403726,0.6956521739130435,15.296616018377296,49.99999999999999,,
cdkn1a_pos,ctrl+N2,322,7696.0,11637.5,-0.4859874516396627,-1.4607759048584008,-0.1052409255102788,0.8478260869565217,,,,0.0,,,0.0,0.0,,,,,,,,,,20.177866835741543,49.99999999999999,,
cdkn1a_pos,naive,322,7696.0,11637.5,-1.5146775619138322,-4.657576394624334,-0.3764167970776648,0.8788819875776398,0.97,-4.786443227133985,0.01514754439315075,0.4937888198757764,4.80611774201607,21.654536279144462,0.5527950310559007,0.0,-10.812617470000989,0.7732919254658385,-35.618578502391756,0.9099378881987578,0.05187575056983945,0.2847324242753726,0.7143832078462716,0.7267080745341615,0.546583850931677,9.472463873139183,21.2211739115045,,
cdkn1a_pos,N1,1610,,11637.5,-0.018364067503030504,-0.12565687081489121,0.01657925076463664,0.6378881987577639,,,,,,,,,2.9877178846672905,0.09875776397515527,2.349137570075982,0.21180124223602484,,,,,,16.49296129703063,27.304873519796445,"[0.646, 0.661, 0.618, 0.624, 0.64]",
cdkn1a_pos,N3,1610,,11637.5,-0.004923868596642162,-0.09933564641024001,0.06977223882663534,0.5316770186335403,,,,,,,,,2.209083484466646,0.2645962732919255,2.067118092234523,0.2714285714285714,,,,,,45.2045029697796,37.90444288016122,"[0.599, 0.55, 0.547, 0.463, 0.5]",
cdkn1a_pos,heldout_ctrl,252,,,,,,0.6785714285714286,,,,,,,,,3.4563624182637476e-05,0.626984126984127,0.00016793955343830103,0.6626984126984127,,,,,,,,,0.000126896305760682
cdkn1a_pos,heldout_naive,252,,,,,,0.6111111111111112,,,,,,,,,0.0003182813005199181,0.6666666666666666,0.0007078753196786414,0.6587301587301587,,,,,,,,,0.00018562342713246416
senepy_p95,ctrl,315,5321.0,11945.0,-0.15419901127761873,-0.6648802728561767,0.005627964790643873,0.7333333333333333,0.765,-1.1981649101635363,0.2240131734582013,0.17142857142857143,1.2755629409721552,4.411168714656125,0.2253968253968254,0.0,1.3697546207040432,0.38412698412698415,-1.7668930071231443,0.6126984126984127,-0.011016009648511,-0.02123879058455,0.6314085379996071,0.692063492063492,0.707936507936508,12.818224546846722,42.98209161773131,,
senepy_p95,ctrl+N2,315,5321.0,11945.0,-0.40272067693862545,-1.2300034325088864,-0.04771450834260149,0.8285714285714286,,,,0.0,,,0.0,0.0,,,,,,,,,,19.185852382096297,49.99999999999999,,
senepy_p95,naive,315,5321.0,11945.0,-0.6842538310186179,-3.17904396591186,-0.09613392880519148,0.8380952380952381,0.88,-3.167705164409192,0.2010306988532802,0.32063492063492066,3.414658424025188,16.25114014632914,0.4031746031746032,0.0,-8.739660398066917,0.7174603174603175,-18.880334357942047,0.8539682539682539,0.0258036925793074,0.2268652221048035,0.6527555853552545,0.7682539682539683,0.6253968253968254,18.24260882600192,38.85968176362148,,
senepy_p95,N1,1575,,11945.0,-0.02350263111611492,-0.13338180927079293,0.010824820487027844,0.6679365079365079,,,,,,,,,2.941909673478221,0.11174603174603175,2.209322397291544,0.22793650793650794,,,,,,18.24260882600192,30.20149733539872,"[0.702, 0.683, 0.641, 0.66, 0.654]",
senepy_p95,N3,1575,,11945.0,-0.003090949067385444,-0.09051382763479461,0.05536984436598193,0.525079365079365,,,,,,,,,2.464609327747894,0.2273015873015873,2.30867841280633,0.24952380952380954,,,,,,35.13265199376635,30.20149733539872,"[0.565, 0.517, 0.571, 0.463, 0.508]",
senepy_p95,heldout_ctrl,252,,,,,,0.6031746031746031,,,,,,,,,4.42166753287232e-05,0.6111111111111112,8.9803163907054e-05,0.6111111111111112,,,,,,,,,2.3659230989236946e-05
senepy_p95,heldout_naive,252,,,,,,0.5992063492063492,,,,,,,,,0.00020119482492075846,0.6507936507936508,0.0003271573848936393,0.626984126984127,,,,,,,,,4.884776247382483e-05
