celltype,n_donors,call,lam_prox_ctrl,lam_down_ctrl,log_ratio,log_ratio_lo,log_ratio_hi,ratio,ratio_lo,ratio_hi,frac_prox_gt_down,lam_prox_lo,lam_prox_hi,lam_down_lo,lam_down_hi,grid_lo,grid_hi,prox_lam_naive,prox_beta_naive,prox_lam_ctrl,prox_beta_ctrl,prox_lam_n2,prox_beta_n2,prox_beta_ctrl_fixed,prox_beta_n2_fixed,prox_railed_ctrl,prox_sf_ctrl,prox_sf_n2ctrl,down_lam_naive,down_beta_naive,down_lam_ctrl,down_beta_ctrl,down_lam_n2,down_beta_n2,down_beta_ctrl_fixed,down_beta_n2_fixed,down_railed_ctrl,down_sf_ctrl,down_sf_n2ctrl
Biliary/ductular,6,tierA_p95,6.999999999999999,49.99999999999999,-1.9661128563728327,-1.9661128563728327,0.0,0.14,0.14,1.0,0.0115,6.999999999999999,6.999999999999999,6.999999999999999,49.99999999999999,6.999999999999999,49.99999999999999,47.85976610126706,0.1467439508903967,6.999999999999999,-0.0665864664472281,6.999999999999999,-0.06699383004334672,-0.00925922627933495,-0.008830127526374376,1,-0.06309783962577566,-0.060173707146331454,49.99999999999999,0.0376669284009992,49.99999999999999,0.004550349989728757,9.827643958525755,0.0024580193445393884,0.004550349989728757,0.005226389779424211,1,0.12080491250271547,0.13875274680707889
Endothelial,6,tierA_p95,49.99999999999999,49.99999999999999,0.0,-1.9661128563728327,1.9661128563728327,1.0,0.14,7.142857142857142,0.203,6.999999999999999,49.99999999999999,6.999999999999999,49.99999999999999,6.999999999999999,49.99999999999999,49.99999999999999,0.1744800653309623,49.99999999999999,0.01604282606664939,49.99999999999999,0.01567023689280412,0.01604282606664939,0.01567023689280412,1,0.09194646985154765,0.0898110443911174,49.99999999999999,-0.09267136509754578,49.99999999999999,-0.019655797934375285,49.99999999999999,-0.019266484230778064,-0.019655797934375285,-0.019266484230778064,1,0.21210217324073743,0.20790115922537866
Hepatocytes,6,tierA_p95,9.054124663491352,49.99999999999999,-1.7088025876234445,-1.9661128563728327,1.646100271435952,0.18108249326982706,0.14,5.186713561367122,0.17,6.999999999999999,49.99999999999999,6.999999999999999,49.99999999999999,6.999999999999999,49.99999999999999,6.999999999999999,0.2810559636220733,9.054124663491352,0.07101248899495571,15.689911897288026,0.042908433310270645,0.09809929296832225,0.09795748650769495,0,0.3490382901116204,0.348533741270885,49.99999999999999,-0.12087233292146647,49.99999999999999,-0.021678434034993945,49.99999999999999,-0.02123665054155228,-0.021678434034993945,-0.02123665054155228,1,0.17934984384787975,0.17569488424907145
Macrophages,6,tierA_p95,49.99999999999999,12.382463134503384,1.3957417971779726,-1.7812591533005808,1.9661128563728327,4.037968815806639,0.1684259396178777,7.142857142857142,0.5435,6.999999999999999,49.99999999999999,6.999999999999999,49.99999999999999,6.999999999999999,49.99999999999999,10.356913845018346,0.3843370299911549,49.99999999999999,0.014544690334419618,49.99999999999999,0.013445218230334144,0.009129951767608219,0.008689730423342869,1,0.023755066660681473,0.022609662211166212,10.195433941883213,0.008005239395767727,12.382463134503384,0.07134322273219011,17.935310795931183,0.05871603163279594,0.08187661682805107,0.08205015617607961,0,10.227878615515015,10.249556836421224
Mesenchymal,6,tierA_p95,49.99999999999999,49.99999999999999,0.0,-1.9661128563728327,1.9661128563728327,1.0,0.14,7.142857142857142,0.107,6.999999999999999,49.99999999999999,6.999999999999999,49.99999999999999,6.999999999999999,49.99999999999999,6.999999999999999,0.3523787292802692,49.99999999999999,0.016444031808118823,6.999999999999999,0.016673978081467467,0.017286798531679852,0.016673978081467467,1,0.049057440461823566,0.04731834442880232,49.99999999999999,-0.07702445853954178,49.99999999999999,-0.0352586421805239,49.99999999999999,-0.034222547286961225,-0.0352586421805239,-0.034222547286961225,1,0.45775903977855675,0.44430753472148743
T/NK cells,6,tierA_p95,6.999999999999999,10.856877500035957,-0.43888860109086186,-1.9661128563728327,0.4034088740469677,0.6447526003656959,0.14,1.4969188178097175,0.122,6.999999999999999,28.693025457268266,6.999999999999999,49.99999999999999,6.999999999999999,49.99999999999999,16.296887102906233,0.4048640738600753,6.999999999999999,-0.08298620040811594,6.999999999999999,-0.08191916368231404,-0.03954868163198923,-0.03873092053814981,1,-0.0976838504215062,-0.0956640093275739,6.999999999999999,0.17561891308698993,10.856877500035957,0.06836530906054207,11.080032435479326,0.06843268502383326,0.09470721223518291,0.09461110252855404,0,0.5392768385274727,0.5387295756789588
