section,arm,celltype,module,n,lam,beta_obs_std,n_rand,rand_mean,rand_sd,rand_lo,rand_hi,rand_absmean,pct_rand_ge,sf_n8
7248_liver_sham_Male_26-U1,sham,Biliary/ductular,downstream_arrest,7958,6.999999999999999,0.07684138266480256,200,0.03085658886648278,0.24003220808440975,-0.4433063899127861,0.45684799143049276,0.1950502151896456,0.435,0.5984378755769483
7248_liver_sham_Male_26-U1,sham,Biliary/ductular,emt_ecm,7958,14.178039470333344,0.1471731075893738,200,-0.16434583815338777,0.2135890939862478,-0.5792621857837044,0.20499330606950317,0.21505935303931756,0.065,2.1166838890969637
7248_liver_sham_Male_26-U1,sham,Biliary/ductular,il6_jak_stat3,7958,49.99999999999999,-0.011682813947821568,200,0.046838199070386076,0.15741705741392747,-0.31974620185378816,0.31329671675974524,0.12910741515716695,0.67,5.009153897303975
7248_liver_sham_Male_26-U1,sham,Biliary/ductular,interferon_response,7958,6.999999999999999,0.16915151833091327,200,0.14304767708478272,0.20117361413681012,-0.22421948168077005,0.5135273607937476,0.2053035076755921,0.47,0.15432224022407692
7248_liver_sham_Male_26-U1,sham,Biliary/ductular,oxidative_stress,7958,30.20149733539872,-0.43241740560649383,200,-0.14061063068664062,0.2135191590301112,-0.5802723209905388,0.32231010169688196,0.2037710896776924,0.925,0.6748266169132924
7248_liver_sham_Male_26-U1,sham,Biliary/ductular,secondary_senescence,7958,9.962242533302096,0.05583688444483763,200,-0.007418001995927,0.19002587629469112,-0.436939262304643,0.308141056173266,0.14842403507678573,0.385,1.132851287633274
7248_liver_sham_Male_26-U1,sham,Biliary/ductular,tnfa_nfkb_proximal,7958,25.962470509255517,0.3527857364419151,200,0.07792153591411234,0.16435481869454568,-0.26154337680334805,0.3600512175748233,0.14927901713484648,0.035,0.7791250386140772
7248_liver_sham_Male_26-U1,sham,Endothelial,downstream_arrest,32788,49.99999999999999,-0.05754663670485147,200,0.006333170000249963,0.10569957173495947,-0.18435926652822954,0.19561444893778807,0.0855164136007876,0.71,1.1100528260709988
7248_liver_sham_Male_26-U1,sham,Endothelial,emt_ecm,32788,49.99999999999999,0.21477460232993478,200,-0.11166049759193124,0.12226540282776821,-0.3330698565391608,0.09048024360868503,0.1355043321782658,0.0,1.5198961906138204
7248_liver_sham_Male_26-U1,sham,Endothelial,il6_jak_stat3,32788,33.40540803599722,0.14770110710445242,200,0.015167550598528291,0.08413285418033652,-0.13516307173912592,0.16708090985536048,0.06740104612605852,0.045,0.8973091610762134
7248_liver_sham_Male_26-U1,sham,Endothelial,interferon_response,32788,49.99999999999999,0.22399569548558473,200,0.06288091740608628,0.10935254779930698,-0.16800022153062824,0.2747525255131766,0.10245108806288371,0.045,0.7192762241713123
7248_liver_sham_Male_26-U1,sham,Endothelial,oxidative_stress,32788,49.99999999999999,-0.12339744570285896,200,-0.08310355790305096,0.1431486897549518,-0.35501590636420877,0.1452715000806521,0.13037228447328636,0.635,0.32653745440432924
7248_liver_sham_Male_26-U1,sham,Endothelial,secondary_senescence,32788,6.999999999999999,0.07679110113310113,200,0.0021629674719977022,0.20479497788270265,-0.4002133008885497,0.37045105429707326,0.16312317319637884,0.36,0.971833097324016
7248_liver_sham_Male_26-U1,sham,Endothelial,tnfa_nfkb_proximal,32788,49.99999999999999,0.22085219507701903,200,0.03217100977120455,0.1054385859528623,-0.17114255397770828,0.206665480748104,0.09066327409542634,0.015,0.8543323974661634
7248_liver_sham_Male_26-U1,sham,Hepatocytes,downstream_arrest,101390,6.999999999999999,-0.4058497458565838,200,0.031966778919640004,0.2914448408359634,-0.6060507119074968,0.5329706949857952,0.22953540718206128,0.94,1.0787650583645707
7248_liver_sham_Male_26-U1,sham,Hepatocytes,emt_ecm,101390,6.999999999999999,0.5194901860599769,200,-0.2194284438302642,0.3000123120236425,-0.8503273954428007,0.32816038688473304,0.30590801021523134,0.005,1.4223918944349998
7248_liver_sham_Male_26-U1,sham,Hepatocytes,il6_jak_stat3,101390,6.999999999999999,0.48362305885903806,200,-0.009728301299378633,0.23032098262786985,-0.4290898864941442,0.49977224312807084,0.16783226847339244,0.03,1.020115462075629
7248_liver_sham_Male_26-U1,sham,Hepatocytes,interferon_response,101390,6.999999999999999,0.3841611956651492,200,0.11906579890756933,0.2762068665169282,-0.47179426954083653,0.6036254476265146,0.24643346820411707,0.155,0.6900629208491114
7248_liver_sham_Male_26-U1,sham,Hepatocytes,oxidative_stress,101390,49.99999999999999,0.15216735746023768,200,-0.04553813156725539,0.14224619242751713,-0.34046794620033544,0.22979529473340043,0.11040175635809867,0.06,1.2992634710053028
7248_liver_sham_Male_26-U1,sham,Hepatocytes,secondary_senescence,101390,6.999999999999999,0.1332854939205187,200,0.006213257276297948,0.2505637411246371,-0.4473888238371456,0.4712615752714333,0.16810260277312303,0.225,0.9533838447565564
7248_liver_sham_Male_26-U1,sham,Hepatocytes,tnfa_nfkb_proximal,101390,6.999999999999999,0.33898846490097184,200,0.05595317336356927,0.27930429768118026,-0.505702436048889,0.6096245854167895,0.22628845396377753,0.15,0.8349407748139314
7248_liver_sham_Male_26-U1,sham,Macrophages,downstream_arrest,13526,6.999999999999999,-0.26610732383532515,200,0.009298807564311387,0.16165035580214673,-0.3650181660796688,0.2772729403929109,0.1289910570283945,0.935,1.0349438242822124
7248_liver_sham_Male_26-U1,sham,Macrophages,emt_ecm,13526,6.999999999999999,0.43866115426143426,200,-0.1783364568728198,0.174146981258964,-0.4834801609582775,0.1584382728164376,0.2102718176772661,0.0,1.4065471837210697
7248_liver_sham_Male_26-U1,sham,Macrophages,il6_jak_stat3,13526,49.99999999999999,0.12094649050703575,200,0.012614339291566981,0.0676166202862867,-0.09661797450368055,0.14142015498235425,0.054427484806855164,0.045,0.8957031391428991
7248_liver_sham_Male_26-U1,sham,Macrophages,interferon_response,13526,49.99999999999999,0.16797540081508527,200,0.039658088337191165,0.07516922724798665,-0.11635294545130581,0.20422966293798836,0.06772883234783938,0.05,0.7639053805214696
