section,arm,caller,cell_type,bg_pct,call_pct,enrichment,n_called
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Kupffer cells,9.036,0.265,0.029,10
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,T/NK cells,3.007,0.212,0.071,8
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,DC,2.7,0.053,0.02,2
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,vSMCs,2.217,0.053,0.024,2
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,B-cells,1.208,0.053,0.044,2
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Proliferating,0.919,0.345,0.375,13
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Central venous LSECs,0.877,0.106,0.121,4
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Mesothelial cells,0.062,0.0,0.0,0
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Hepatocytes,36.134,92.706,2.566,2720
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Biliary/ductular,22.2,0.716,0.032,21
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Hepatic stellate cells,11.509,0.443,0.038,13
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,LSECs,10.131,0.648,0.064,19
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Kupffer cells,9.036,0.545,0.06,16
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,T/NK cells,3.007,0.17,0.057,5
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,DC,2.7,0.102,0.038,3
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,vSMCs,2.217,0.136,0.062,4
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,B-cells,1.208,0.034,0.028,1
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Proliferating,0.919,4.397,4.783,129
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Central venous LSECs,0.877,0.034,0.039,1
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Mesothelial cells,0.062,0.068,1.093,2
7248_liver_sham_Male_26-U1,sham,tierA_score,Hepatocytes,55.099,25.304,0.459,2473
7248_liver_sham_Male_26-U1,sham,tierA_score,LSECs,16.57,21.426,1.293,2094
7248_liver_sham_Male_26-U1,sham,tierA_score,Hepatic stellate cells,8.069,6.405,0.794,626
7248_liver_sham_Male_26-U1,sham,tierA_score,Kupffer cells,7.353,8.186,1.113,800
7248_liver_sham_Male_26-U1,sham,tierA_score,Biliary/ductular,4.305,10.038,2.332,981
7248_liver_sham_Male_26-U1,sham,tierA_score,vSMCs,3.492,7.93,2.271,775
7248_liver_sham_Male_26-U1,sham,tierA_score,T/NK cells,2.654,13.118,4.943,1282
