section,arm,caller,stratum_kind,stratum,bg_pct,call_pct,enrichment
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,zonation_hepatocyte,pericentral,33.33,51.07,1.532
7435_liver_sham_Male_10-U1,sham,tierA_score,depth_quintile,Q1_low,20.06,40.42,2.015
7435_liver_sham_Male_10-U1,sham,tierA_score,depth_quintile,Q2,19.99,27.61,1.382
7435_liver_sham_Male_10-U1,sham,tierA_score,depth_quintile,Q3,19.97,16.87,0.845
7435_liver_sham_Male_10-U1,sham,tierA_score,depth_quintile,Q4,20.0,10.12,0.506
7435_liver_sham_Male_10-U1,sham,tierA_score,depth_quintile,Q5_high,19.98,4.98,0.249
7435_liver_sham_Male_10-U1,sham,tierA_score,zonation_hepatocyte,periportal,33.33,28.98,0.869
7435_liver_sham_Male_10-U1,sham,tierA_score,zonation_hepatocyte,midzonal,33.33,28.65,0.859
7435_liver_sham_Male_10-U1,sham,tierA_score,zonation_hepatocyte,pericentral,33.33,42.38,1.271
7435_liver_sham_Male_10-U1,sham,senepy_score,depth_quintile,Q1_low,20.06,10.68,0.532
7435_liver_sham_Male_10-U1,sham,senepy_score,depth_quintile,Q2,19.99,21.61,1.081
7435_liver_sham_Male_10-U1,sham,senepy_score,depth_quintile,Q3,19.97,23.46,1.175
7435_liver_sham_Male_10-U1,sham,senepy_score,depth_quintile,Q4,20.0,19.99,0.999
7435_liver_sham_Male_10-U1,sham,senepy_score,depth_quintile,Q5_high,19.98,24.26,1.214
7435_liver_sham_Male_10-U1,sham,senepy_score,zonation_hepatocyte,periportal,33.33,36.43,1.093
7435_liver_sham_Male_10-U1,sham,senepy_score,zonation_hepatocyte,midzonal,33.33,47.28,1.418
7435_liver_sham_Male_10-U1,sham,senepy_score,zonation_hepatocyte,pericentral,33.33,16.29,0.489
7435_liver_sham_Male_10-U1,sham,deepscence_score,depth_quintile,Q1_low,20.06,15.58,0.777
7435_liver_sham_Male_10-U1,sham,deepscence_score,depth_quintile,Q2,19.99,21.57,1.079
7435_liver_sham_Male_10-U1,sham,deepscence_score,depth_quintile,Q3,19.97,26.62,1.333
7435_liver_sham_Male_10-U1,sham,deepscence_score,depth_quintile,Q4,20.0,22.54,1.127
7435_liver_sham_Male_10-U1,sham,deepscence_score,depth_quintile,Q5_high,19.98,13.69,0.685
7435_liver_sham_Male_10-U1,sham,deepscence_score,zonation_hepatocyte,periportal,33.33,33.73,1.012
7435_liver_sham_Male_10-U1,sham,deepscence_score,zonation_hepatocyte,midzonal,33.33,33.69,1.011
