section,arm,week,call,module,n,lam_naive,beta_unstrat,beta_plus_celltype,beta_plus_n5,sd_y,sf_celltype,sf_n5_unstrat,spearman_bins,n_bins
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,downstream_arrest,108938,49.99999999999999,-0.0012396977259402362,-0.0021304150889654154,-0.00015673936004404992,0.015488219951201703,1.7184956012963755,0.1264335303391579,0.7293233082706766,20
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,emt_ecm,108938,13.31485432310568,0.021553245734335598,0.010075362609075584,0.0005813058798431467,0.039044281373695235,0.4674638211462014,0.026970688638189282,-0.9894736842105262,20
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,il6_jak_stat3,108938,6.999999999999999,0.01612860009135516,0.006686930465030281,-0.0011824964861497425,0.033856281004451975,0.4146007977849509,-0.0733167466148258,-0.26165413533834586,20
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,interferon_response,108938,8.762085455399129,0.018814913387361434,0.006134297328233841,-0.000756966564820656,0.03279791061518509,0.3260337797969583,-0.040232264121350364,-0.38947368421052625,20
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,oxidative_stress,108938,6.999999999999999,-0.047767327265624104,-0.027135042401951873,-0.004391425696798406,0.05413462155639661,0.5680670021803729,0.09193366989906317,0.9804511278195487,20
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,secondary_senescence,108938,6.999999999999999,0.023356294464094433,0.00889610741486698,0.0012223739412420946,0.035427492443866004,0.3808869351490212,0.052335953510144625,-0.9203007518796992,20
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,tnfa_nfkb_proximal,108938,6.999999999999999,0.016480073839089712,0.005615691473696047,0.00019376381345577047,0.024367671904343656,0.34075645100424096,0.011757460272791663,-0.8736842105263156,20
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,downstream_arrest,170940,6.999999999999999,0.005385421730869432,0.0010518401435353208,0.0018069022422648067,0.020395665463023693,0.19531249289282862,0.3355173155535021,0.2150375939849624,20
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,emt_ecm,170940,30.731580814813732,0.044766103095449976,0.015862111711811462,0.0012912777184681862,0.05649534464772662,0.3543330916696139,0.028844988265226766,-0.9984962406015038,20
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,il6_jak_stat3,170940,14.13308739532603,0.013625917823368786,0.004136086475530177,-0.000731102874975521,0.0392864588294327,0.30354553206219154,-0.05365531221109095,-0.9022556390977443,20
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,interferon_response,170940,8.249795459169462,0.014296516055860147,0.0019792687196808277,-0.00014291614805633313,0.03379076948270137,0.13844412946114412,-0.009996571717047927,-0.5278195488721804,20
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,oxidative_stress,170940,18.49905050552424,-0.04431418384796799,-0.01845593694242388,-0.005481909525390527,0.06563817100477619,0.4164792249303757,0.12370552832920781,0.9984962406015038,20
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,secondary_senescence,170940,12.679370338166624,0.028463566579628032,0.00860389469922313,-0.0003428609618997815,0.04507483215226955,0.30227746319679827,-0.012045607880537861,-0.9834586466165413,20
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,tnfa_nfkb_proximal,170940,16.36233675970948,0.014255864284685808,0.004418918399342349,-0.0005962614461627216,0.030928096476680555,0.30997197441682434,-0.041825696026248534,-0.9909774436090225,20
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,downstream_arrest,148874,6.999999999999999,0.016103895247236665,0.003830899190270634,0.002814818584141189,0.024219691707080777,0.2378864946310424,0.17479116331337263,-0.6375939849624059,20
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,emt_ecm,148874,11.173716326233537,0.05490716114767063,0.017866283391026437,-0.0018339583651456903,0.06465114474290254,0.3253907690287571,-0.03340107787057743,-0.9894736842105262,20
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,il6_jak_stat3,148874,6.999999999999999,0.02533871194448371,0.017312769187229116,-0.0016418567025075802,0.04805423777559154,0.6832537196508184,-0.06479637584202522,-0.3639097744360902,20
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,interferon_response,148874,6.999999999999999,0.02185525633869637,0.012669362486596808,-0.0007484873832087153,0.04014998087621089,0.579694069484088,-0.034247476744688754,-0.44060150375939844,20
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,oxidative_stress,148874,6.999999999999999,-0.07867588337620633,-0.04016905537405835,-0.004773589169211404,0.06715306161173143,0.5105637668150611,0.060674109579239424,0.9714285714285714,20
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,secondary_senescence,148874,6.999999999999999,0.05625163463697687,0.02111861476920861,0.0003597334556394813,0.04866334777376575,0.37543113023290425,0.006395075591332442,-0.9142857142857143,20
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,tnfa_nfkb_proximal,148874,6.999999999999999,0.030277512490053254,0.017909124743484068,0.0022104419430917796,0.03232952986420749,0.5914992108208216,0.07300606163792195,-0.8706766917293233,20
7248_liver_sham_Male_26-U1,sham,26,tierA_p95,downstream_arrest,196005,6.999999999999999,0.0025532409300692144,-0.0019943646825762136,0.002306569623242952,0.020696258314369408,-0.7811110416916861,0.9033889422963405,0.2045112781954887,20
7248_liver_sham_Male_26-U1,sham,26,tierA_p95,emt_ecm,196005,6.999999999999999,0.05105080220254031,0.006638289171600371,-0.007148393404694963,0.05923998854961578,0.13003300408999346,-0.14002509453885242,-0.7263157894736841,20
7248_liver_sham_Male_26-U1,sham,26,tierA_p95,il6_jak_stat3,196005,6.999999999999999,0.020874300574477384,0.009138163721508158,-0.004114607144150483,0.0440768988282943,0.4377710136396723,-0.1971135334316943,-0.15488721804511277,20
7248_liver_sham_Male_26-U1,sham,26,tierA_p95,interferon_response,196005,6.999999999999999,0.004121103524816964,0.0022668935406989998,-0.003908864254800087,0.03565683466656763,0.5500695449769567,-0.948499408292272,-0.010526315789473682,20
7248_liver_sham_Male_26-U1,sham,26,tierA_p95,oxidative_stress,196005,6.999999999999999,-0.0997302039881758,-0.03915343707444402,0.00012028069076993955,0.08097410396018954,0.39259357254584704,-0.0012060608116694542,0.6631578947368421,20
7248_liver_sham_Male_26-U1,sham,26,tierA_p95,secondary_senescence,196005,6.999999999999999,0.04167178397923201,0.015013100827276214,-0.0009079801984663745,0.043548084261551316,0.36027017309262066,-0.02178884875480457,-0.7849624060150376,20
7248_liver_sham_Male_26-U1,sham,26,tierA_p95,tnfa_nfkb_proximal,196005,6.999999999999999,0.01852682149171119,0.007992595126717442,-0.0016066456807854938,0.027544517855833887,0.43140671109144596,-0.08671998494206355,-0.6601503759398496,20
7352_liver_sham_Male_2-U1,sham,2,tierA_p95,downstream_arrest,115748,6.999999999999999,0.005334818724080678,0.0005756954144690569,0.00040855204892308787,0.017453504279060558,0.10791283532661432,0.07658218021147317,-0.4360902255639097,20
7352_liver_sham_Male_2-U1,sham,2,tierA_p95,emt_ecm,115748,6.999999999999999,0.0473626187870566,0.009550392956016559,0.0018158125467370196,0.03800680237732067,0.2016441066942548,0.038338516603166596,-0.8466165413533834,20
7352_liver_sham_Male_2-U1,sham,2,tierA_p95,il6_jak_stat3,115748,6.999999999999999,0.021213717946270597,0.0028090154120201253,-0.003475159175566036,0.046142329223102914,0.13241504479010735,-0.16381660133163853,-0.26616541353383455,20
7352_liver_sham_Male_2-U1,sham,2,tierA_p95,interferon_response,115748,6.999999999999999,0.016520801345862157,0.004291828678298121,-0.0017560545587443055,0.03692462240709217,0.25978332336603416,-0.1062935460563559,-0.5368421052631579,20
7352_liver_sham_Male_2-U1,sham,2,tierA_p95,oxidative_stress,115748,6.999999999999999,-0.06583006330307081,-0.02428073314367258,-0.011085982312339765,0.061739962672603996,0.36883958370035386,0.16840303284081196,0.8526315789473683,20
7352_liver_sham_Male_2-U1,sham,2,tierA_p95,secondary_senescence,115748,6.999999999999999,0.038156418229770526,0.011690312864625525,0.00025602994788229323,0.03750680501678582,0.3063786751216725,0.006710009999904359,-0.8105263157894737,20
7352_liver_sham_Male_2-U1,sham,2,tierA_p95,tnfa_nfkb_proximal,115748,6.999999999999999,0.018709007503291696,0.0061536059876614495,0.0009342130887678806,0.024632011116274992,0.32891140733033397,0.04993386680739283,-0.7684210526315788,20
7435_liver_sham_Male_10-U1,sham,10,tierA_p95,downstream_arrest,143080,6.999999999999999,0.0023548592644234883,-0.0023847900246055124,0.00045636804338524805,0.018613142736693622,-1.0127102118730444,0.1937984363991175,-0.05864661654135337,20
7435_liver_sham_Male_10-U1,sham,10,tierA_p95,emt_ecm,143080,6.999999999999999,0.06239385128737554,0.014424920675863546,0.0063733882702513775,0.03622067063913715,0.23119138149406418,0.10214769787004536,-0.9548872180451128,20
7435_liver_sham_Male_10-U1,sham,10,tierA_p95,il6_jak_stat3,143080,6.999999999999999,0.03969028785893055,0.014136490098031265,0.003027187950667032,0.040867427790388024,0.3561700068358278,0.07627024428309599,-0.6421052631578947,20
7435_liver_sham_Male_10-U1,sham,10,tierA_p95,interferon_response,143080,6.999999999999999,0.021118060660561235,0.004225955318162883,0.0002284914585992518,0.03209943676406578,0.20011095649777216,0.010819717883752845,-0.24812030075187969,20
7435_liver_sham_Male_10-U1,sham,10,tierA_p95,oxidative_stress,143080,6.999999999999999,-0.09845309397552109,-0.03909158701081682,-0.007567608821277137,0.06523105873643055,0.3970579839830769,0.07686511937510783,0.9533834586466164,20
