section,arm,caller,within_type_depth_quintile,bg_pct,enrichment
7250_liver_sham_Male_26-U1,sham,senepy_score,Q5,19.96,2.528
7250_liver_sham_Male_26-U1,sham,deepscence_score,Q1,20.09,1.784
7250_liver_sham_Male_26-U1,sham,deepscence_score,Q2,20.01,1.198
7250_liver_sham_Male_26-U1,sham,deepscence_score,Q3,19.97,0.958
7250_liver_sham_Male_26-U1,sham,deepscence_score,Q4,19.97,0.665
7250_liver_sham_Male_26-U1,sham,deepscence_score,Q5,19.96,0.389
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q1,20.09,0.384
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q2,20.01,0.765
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q3,19.97,1.021
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q4,19.97,1.226
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q5,19.96,1.609
7259_liver_sbr_Male_26-U1,SBR,tierA_score,Q1,20.09,1.788
7259_liver_sbr_Male_26-U1,SBR,tierA_score,Q2,19.99,1.284
7259_liver_sbr_Male_26-U1,SBR,tierA_score,Q3,19.98,0.924
7259_liver_sbr_Male_26-U1,SBR,tierA_score,Q4,19.96,0.689
7259_liver_sbr_Male_26-U1,SBR,tierA_score,Q5,19.98,0.311
7259_liver_sbr_Male_26-U1,SBR,senepy_score,Q1,20.09,0.094
7259_liver_sbr_Male_26-U1,SBR,senepy_score,Q2,19.99,0.393
7259_liver_sbr_Male_26-U1,SBR,senepy_score,Q3,19.98,0.777
7259_liver_sbr_Male_26-U1,SBR,senepy_score,Q4,19.96,1.203
7259_liver_sbr_Male_26-U1,SBR,senepy_score,Q5,19.98,2.539
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,Q1,20.09,1.327
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,Q2,19.99,1.111
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,Q3,19.98,1.028
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,Q4,19.96,0.866
