call,variant,label,scope,source,n,q25,median,q75,mean,frac_le_0,frac_gt_05,reject_rate_p05
cdkn1a_pos,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),203,0.9947587188170691,1.002996593470785,1.012640138197113,1.0051957276331744,0.0,1.0,0.9261083743842364
cdkn1a_pos,N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),203,0.9665954786380553,1.0026840878449543,1.0587394163085255,1.0285473985209588,0.0,0.9901477832512315,0.9359605911330049
cdkn1a_pos,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1_n7.csv (C1 re-run),203,0.9890915121527045,0.999368706601343,1.0075922929690593,0.9964498105714836,0.0,1.0,0.9310344827586207
cdkn1a_pos,N3_occ,"N3-occ whole-section shift, <=5% of senders out of tissue",whole section,perm_nulls_c1_n7.csv (C1 re-run),203,4.130514413052874e-15,0.4185726313317983,0.761338028776749,0.42744347728307297,0.18719211822660098,0.4827586206896552,0.43349753694581283
cdkn1a_pos,N3_occ15,"N3-occ15 whole-section shift, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),203,0.9051811948676437,0.9811149196186428,1.043193975449984,0.9491462109616771,0.0,0.9753694581280788,0.9261083743842364
cdkn1a_pos,N3_swap,N3-swap senders relocated to random real cell positions,whole section,perm_nulls_c1_n7.csv (C1 re-run),203,0.7952891687285386,0.8927164884279682,0.9588242322171681,0.8972302835419158,0.019704433497536946,0.916256157635468,0.8817733990147784
cdkn1a_pos,N3_snap,"N3-snap whole-section shift, snapped to nearest real cell (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),203,0.9876837426295458,1.00924093831201,1.0323460158329443,1.012173710931675,0.0,1.0,0.9458128078817734
cdkn1a_pos,N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1_n7.csv (C1 re-run),203,0.971318932323677,1.0016812155485846,1.050550915466821,1.0258639027502843,0.0,0.9901477832512315,0.9359605911330049
cdkn1a_pos,N4_occ,"N4-occ whole-section rotation, <=5% of senders out of tissue",whole section,perm_nulls_c1_n7.csv (C1 re-run),203,2.700757619925887e-16,0.3500836867324073,0.6612139812413202,0.36214956764722195,0.1921182266009852,0.4433497536945813,0.22167487684729065
cdkn1a_pos,N4_occ15,"N4-occ15 whole-section rotation, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),203,0.8244882480394908,0.9554860627880362,1.0220527819130327,0.8977391167540083,0.009852216748768473,0.9064039408866995,0.812807881773399
