section,arm,call,response,celltype,bin_lo,bin_hi,bin_mid,n,mean_raw,sem_raw,mean_resid,sem_resid
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,neg_control_codeword,Hepatocytes,55.0,60.0,57.5,731,0.08969148515745623,0.050858989835370114,-0.10265413010836671,0.05046696718430542
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,neg_control_codeword,Hepatocytes,60.0,65.0,62.5,432,0.36790365969869104,0.09914066023350333,0.18743688988914067,0.0977663267757356
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,neg_control_codeword,Hepatocytes,65.0,70.0,67.5,321,0.23820998431442195,0.09491702019539232,0.028006503562325164,0.09302115460005014
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,neg_control_codeword,Hepatocytes,70.0,75.0,72.5,192,0.06882557206686363,0.08901600321812743,-0.16129549030247914,0.08677958721848507
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,neg_control_codeword,Hepatocytes,75.0,80.0,77.5,122,0.030582800205744692,0.09943291873404633,-0.20284016945804256,0.10002239392104667
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,neg_control_codeword,Hepatocytes,80.0,85.0,82.5,87,0.2853993596623247,0.2401507033608448,0.024749545482819105,0.2423074835342683
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,0.0,5.0,2.5,63,0.026261972477528553,0.13209380186458392,0.12050671882090126,0.13417549469692533
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,5.0,10.0,7.5,1542,-0.04646671609771899,0.01784108385013707,-0.019819750612816545,0.01798013764080145
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,10.0,15.0,12.5,3690,0.04978111280951547,0.020388836153644806,-0.00902617224545049,0.02021994409849666
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,15.0,20.0,17.5,4151,0.07860943190109891,0.021215628742685514,0.008167390881231544,0.021063006636811422
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,20.0,25.0,22.5,3900,0.06487400686871464,0.01983205902262664,-0.005345926479611274,0.019692668266438076
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,25.0,30.0,27.5,3577,0.03143198429218939,0.018907104064841723,-0.035999865563608464,0.018797313531062097
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,30.0,35.0,32.5,3012,0.12072746026514931,0.027323579735808307,0.05229032913858916,0.02703453271603536
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,35.0,40.0,37.5,2397,0.046927460879372086,0.02334414123123298,-0.021089168863579266,0.023255599763465227
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,40.0,45.0,42.5,1879,0.03589307990458977,0.0256237396225154,-0.03701895143499339,0.025434260404314353
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,45.0,50.0,47.5,1363,0.10175798983080137,0.037228612636533584,0.03627288715218645,0.0368394457096241
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,50.0,55.0,52.5,1006,0.14233644648179516,0.04762008615730533,0.06619768312474497,0.047401508748020585
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,55.0,60.0,57.5,731,0.053548106652018534,0.0422150956997469,-0.022781403868346563,0.042014573542690455
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,60.0,65.0,62.5,432,0.1253323238759665,0.07129741465305238,0.06387060706731157,0.07077212909673027
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,65.0,70.0,67.5,321,0.10156778475546892,0.07252038986781492,0.012656653007657606,0.07226854488085013
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,70.0,75.0,72.5,192,0.11088456429702764,0.09589829428953436,0.01780290024801634,0.09552793511363522
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,75.0,80.0,77.5,122,0.03059291680095756,0.09606741272668137,-0.07290846275945123,0.09457959365392596
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,genomic_control,Hepatocytes,80.0,85.0,82.5,87,0.2767847001517393,0.18794187405590299,0.15585118479834933,0.18527424570451412
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,all_controls,Hepatocytes,0.0,5.0,2.5,63,0.018585541228194134,0.12581325880299643,0.16639678775949265,0.12438059396655063
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,all_controls,Hepatocytes,5.0,10.0,7.5,1542,-0.03986977698239563,0.02208286672472681,-0.028316178549801986,0.02223872929076039
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,all_controls,Hepatocytes,10.0,15.0,12.5,3690,0.15924516685059195,0.023082536852719087,0.02550811305375608,0.022596745074013123
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,all_controls,Hepatocytes,15.0,20.0,17.5,4151,0.18359635200177282,0.022763310225000305,0.023762250677629857,0.022381590692864647
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,all_controls,Hepatocytes,20.0,25.0,22.5,3900,0.14490996705782722,0.021569670957924985,-0.021101254408992846,0.02125762306988089
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,all_controls,Hepatocytes,25.0,30.0,27.5,3577,0.11880626829481115,0.022131973446024255,-0.04520924912469254,0.021817946549730204
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,all_controls,Hepatocytes,30.0,35.0,32.5,3012,0.21440199352067488,0.028251710143615195,0.04528644944383922,0.027654955043507613
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,all_controls,Hepatocytes,35.0,40.0,37.5,2397,0.1102957365048222,0.02533750842506702,-0.06217282582541631,0.024959743599861573
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,all_controls,Hepatocytes,40.0,45.0,42.5,1879,0.1609720410497971,0.03415149581466974,-0.024127219601547772,0.033449921442517176
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,all_controls,Hepatocytes,45.0,50.0,47.5,1363,0.24962029518405018,0.043060038089273514,0.07638678201621692,0.04203682888718779
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,all_controls,Hepatocytes,50.0,55.0,52.5,1006,0.21552832670808228,0.05043135980334064,0.023465892652064748,0.049427907697053304
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,all_controls,Hepatocytes,55.0,60.0,57.5,731,0.12520702953434312,0.048384057382910475,-0.07738340614195519,0.04743492606219414
