subset,variant,label,scope,source,n_perm,n,q25,median,q75,mean,frac_le_0,frac_gt_05,reject_rate_p05,full_sf_median,full_sf_q25,full_sf_q75,full_sf_n,frac_retaining_a_neighbour,real_median_nbrs,null_median_nbrs,median_displacement_um
"PRIMARY: in-band sections, tierA_p95",N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,"perm_nulls.csv (ORIGINAL, published)",1000,160,0.9921567979792512,1.0001120175357205,1.0078886885450573,0.9976185976978105,0.0,1.0,0.875,0.9910483837518275,0.9336495063573198,1.0153610683159981,160,0.771998970641883,140.5,119.725,2973.8995183267725
"PRIMARY: in-band sections, tierA_p95",N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,"perm_nulls.csv (ORIGINAL, published)",1000,160,0.8674242458566614,0.9641233669663237,1.0423271402470997,0.9493131234781537,0.0,0.96875,0.9,0.9396315609524184,0.6127889942505591,1.1613917509899079,160,0.9171672781991074,140.5,129.275,3232.416853431699
"PRIMARY: in-band sections, tierA_p95",N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1.csv (C1 re-run),1000,160,0.9936103696682217,1.00156847240748,1.009569474323041,1.0024661667752022,0.0,1.0,0.875,0.9968907807142187,0.9634848455925478,1.023830199557488,160,0.771998970641883,140.5,119.725,2973.8995183267725
"PRIMARY: in-band sections, tierA_p95",N3_occ,"N3-occ whole-section shift, <=5% of senders out of tissue",whole section,perm_nulls_c1.csv (C1 re-run),1000,160,0.07265943876173878,0.3488154738365158,0.7638955464577203,0.43165366285716955,0.1375,0.43125,0.5125,0.40996621552028634,1.553875331172685e-14,0.8392249005124729,160,0.999758214268128,140.5,141.25,27.418786053180504
"PRIMARY: in-band sections, tierA_p95",N3_occ15,"N3-occ15 whole-section shift, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1.csv (C1 re-run),1000,160,0.8337861659170805,0.9514071631092929,1.0265939214547024,0.934159827002037,0.00625,0.975,0.93125,0.9863122342487375,0.849655881452394,1.1842175571093263,160,0.9659859472759981,140.5,133.65,304.3230902499274
"PRIMARY: in-band sections, tierA_p95",N3_swap,N3-swap senders relocated to random real cell positions,whole section,perm_nulls_c1.csv (C1 re-run),1000,160,0.4063560238628608,0.7207254084157506,0.8790695291832249,0.5875734684737093,0.075,0.68125,0.78125,0.9990139070981567,0.9240757388990531,1.0847816492828695,160,1.0,140.5,142.39999999999998,3251.7062466600946
"PRIMARY: in-band sections, tierA_p95",N3_snap,"N3-snap whole-section shift, snapped to nearest real cell (suppl.)",whole section,perm_nulls_c1.csv (C1 re-run),1000,160,0.9426963367903579,0.9880483924935397,1.0259910467522722,0.9694679734015758,0.0,0.99375,0.9375,0.9942611163841091,0.9280784338491508,1.0851340382599488,160,1.0,140.5,119.94999999999999,2980.672705437867
"PRIMARY: in-band sections, tierA_p95",N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1.csv (C1 re-run),1000,160,0.8696031140671417,0.9598329278874773,1.038199980742298,0.9514410986111379,0.0,0.96875,0.9,0.944697504252134,0.6402898681158569,1.155529324073726,160,0.9171672781991074,140.5,129.275,3232.416853431699
"PRIMARY: in-band sections, tierA_p95",N4_occ,"N4-occ whole-section rotation, <=5% of senders out of tissue",whole section,perm_nulls_c1.csv (C1 re-run),1000,160,6.95291596937569e-16,0.27291953966230625,0.5923872278797631,0.3410901242832631,0.1625,0.36875,0.275,0.26722327075303287,-1.4639304094967954e-16,0.6692807404933879,160,0.9997077949456423,140.5,141.15,25.11651632976863
"PRIMARY: in-band sections, tierA_p95",N4_occ15,"N4-occ15 whole-section rotation, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1.csv (C1 re-run),1000,160,0.7549861521655173,0.8955035368216131,0.9982602839961573,0.885997090605294,0.00625,0.96875,0.76875,0.9336297052177662,0.7484475124939394,1.149733741541458,160,0.9693497585942432,140.5,133.97500000000002,307.8720255154111
"PRIMARY: in-band sections, tierA_p95",N4_swap,"N4-swap rotation, snapped to nearest real cell positions",whole section,perm_nulls_c1.csv (C1 re-run),1000,160,0.8620664559138058,0.969018325764285,1.0304149423911568,0.9361175887567661,0.0,0.96875,0.9375,0.963984917641219,0.6843381067518028,1.1518488602167654,160,1.0,140.5,129.0625,3037.7293511460443
"PRIMARY: in-band sections, tierA_p95",N3_tile,N3-tile torus shift inside solid-tissue tiles,solid tiles,perm_nulls_c1.csv (C1 re-run),1000,144,0.9130672591554326,0.974499315932299,1.0076242089028407,0.9566582330698616,0.0,0.9930555555555556,0.8263888888888888,0.9903623618957884,0.8699944627901877,1.118197610308052,144,1.0,144.0,139.64999999999998,488.6095450843595
"PRIMARY: in-band sections, tierA_p95",N4_tile,N4-tile rotation inside solid-tissue tiles,solid tiles,perm_nulls_c1.csv (C1 re-run),1000,144,0.8658970229032935,0.9617784581019512,1.0278027274874788,0.9438015550428711,0.0,0.9930555555555556,0.8263888888888888,0.9634666606738997,0.6825677034110811,1.194135223059079,144,1.0,144.0,139.525,595.7159220062377
