call,celltype,module,zone,n_donors,n,lam_naive,beta_naive,lam_naive_railed,lam_full_profiled,beta_full_profiled,lam_n2n5n6_profiled,beta_n2n5n6_profiled,beta_full_fixedlam,beta_n2n5n6_fixedlam,max_smd_after,sf_n5n6,sf_n2n5n6,lam_naive_donor_lo,lam_naive_donor_hi,lam_naive_donor_med,beta_naive_donor_lo,beta_naive_donor_hi,beta_naive_donor_med,lam_full_donor_lo,lam_full_donor_hi,lam_full_donor_med,beta_full_donor_lo,beta_full_donor_hi,beta_full_donor_med,beta_n2n5n6_donor_lo,beta_n2n5n6_donor_hi,beta_n2n5n6_donor_med,sf_n2n5n6_donor_lo,sf_n2n5n6_donor_hi,sf_n2n5n6_donor_med
tierA_p95,Hepatocytes,downstream_arrest,all,4,159673,44.99999999999999,-0.06713336358687598,1,44.99999999999999,-0.034154446880900684,44.99999999999999,-0.034851320544894135,-0.034154446880900684,-0.034851320544894135,0.033357614620292145,0.5087551860365537,0.519135623225458,6.999999999999999,44.99999999999999,44.99999999999999,-0.1861024254558792,-0.026420181161967413,-0.06713336358687598,8.9987737785507,44.99999999999999,44.99999999999999,-0.05487200860577282,-0.021901707737813327,-0.03260778084730575,-0.05622611153741095,-0.015854850774055483,-0.034851320544894135,-0.0001752948876427261,1.1361043602970995,0.4808385401502378
tierA_p95,Hepatocytes,emt_ecm,all,4,159673,20.813457529395954,0.2637890790723422,0,6.999999999999999,0.1133638450163953,19.361874491131594,0.046998429078766786,0.04489493036671998,0.0458249531625237,0.033357614620292145,0.17019252853302497,0.17371815893089546,6.999999999999999,44.99999999999999,21.77509257272997,0.18900533181473347,0.8665772434348975,0.3201486182760574,6.999999999999999,44.99999999999999,6.999999999999999,0.024346404830278612,0.21563718350513345,0.07453474038100504,0.019473762133152106,0.21704158408937568,0.04929100809584338,0.0898155657402769,0.2792746585439016,0.17371815893089546
tierA_p95,Hepatocytes,il6_jak_stat3,all,4,159673,13.033406801504755,0.3713081700100687,0,6.999999999999999,0.08171131136219228,6.999999999999999,0.08187335051712863,0.04088644961285122,0.04106261245327171,0.033357614620292145,0.11011459729459362,0.11058903565778858,6.999999999999999,19.767028901989793,13.033406801504755,0.31074382626001307,0.5266343107132996,0.3938983020490745,6.999999999999999,44.99999999999999,6.999999999999999,0.021971355222238087,0.11959167122091341,0.07621824624236609,0.034181355564649435,0.09466411780643459,0.04647352799939904,0.08895142249192385,0.19312611838332547,0.1179104498184444
tierA_p95,Hepatocytes,interferon_response,all,4,159673,6.999999999999999,0.19456826970220212,1,6.999999999999999,0.024016666744512336,44.99999999999999,0.008341623986227262,0.024016666744512336,0.024026585173925037,0.033357614620292145,0.12343568034639574,0.12348665694925026,6.999999999999999,44.99999999999999,6.999999999999999,-0.07238137120875413,0.5823629486842841,0.19456826970220212,6.999999999999999,44.99999999999999,6.999999999999999,-0.04028403539274451,0.12845426335053028,0.01710942966102193,-0.0401165705251874,0.1281235793011664,0.017993626710498502,-0.21540162327772067,0.30222086575730045,0.1088165565498186
tierA_p95,Hepatocytes,oxidative_stress,all,4,159673,6.999999999999999,-0.34588703666066783,1,44.99999999999999,-0.0704616087896374,44.99999999999999,-0.07107450454451673,-0.13637627973170907,-0.1367927339890861,0.033357614620292145,0.3942798234022887,0.3954838415158255,6.999999999999999,44.99999999999999,6.999999999999999,-0.42078685989682124,-0.09894144054019618,-0.34588703666066783,6.999999999999999,44.99999999999999,44.99999999999999,-0.14446601622595487,-0.037607045288290154,-0.06919573967696964,-0.15100981917258247,-0.0385270107084341,-0.13410079183859613,0.1597247876192363,0.4705888458603181,0.3954838415158255
tierA_p95,Hepatocytes,secondary_senescence,all,4,159673,7.916214695902892,0.4342046699167957,0,6.999999999999999,0.08208271474408191,6.999999999999999,0.08210010898172007,0.06429086280563316,0.06435221181602577,0.033357614620292145,0.1480658022815666,0.14820709281721275,6.999999999999999,44.99999999999999,7.916214695902892,0.23610878097902005,0.5683389103283693,0.34186549218707774,6.999999999999999,8.298022724836972,6.999999999999999,0.041005440210341804,0.08591071107551991,0.07782171754246814,0.024143639634130257,0.08601932972155024,0.06066072983413943,0.09175532936429963,0.22573697992527253,0.13370577038954695
tierA_p95,Hepatocytes,tnfa_nfkb_proximal,all,4,159673,44.99999999999999,0.3530745550394623,1,44.99999999999999,0.03939812242190591,44.99999999999999,0.03964670353006269,0.03939812242190591,0.03964670353006269,0.033357614620292145,0.11158584457467481,0.1122898916508766,25.721631791464223,44.99999999999999,44.99999999999999,0.13660847673926016,0.4965198125858834,0.3530745550394623,6.999999999999999,44.99999999999999,43.08731330521693,0.0319966421114367,0.13801555564648202,0.041166020935613355,0.028667502329153733,0.04171215930128301,0.03691131658503053,0.06407639885380745,0.32022139900139845,0.1122898916508766
tierA_p95,Biliary/ductular,downstream_arrest,all,4,58647,44.99999999999999,-0.04969094126865223,1,6.999999999999999,0.03402997580585135,44.99999999999999,0.008637474347475596,0.007750293862732879,0.008637474347475596,0.033357614620292145,-0.15596995478172174,-0.1738239229717427,6.999999999999999,44.99999999999999,44.99999999999999,-0.11457278338568025,0.03618508016358182,-0.04969094126865223,6.999999999999999,44.99999999999999,6.999999999999999,-0.054728011702055865,0.09391066968550604,0.03356340409623506,-0.05395837032862539,0.07137998496468778,0.008637474347475596,-3.3491491195315737,2.3696660608716313,-0.03900917005579773
tierA_p95,Biliary/ductular,emt_ecm,all,4,58647,44.99999999999999,0.20091371185477203,1,6.999999999999999,-0.01969672097345788,44.99999999999999,-0.012099910163051624,-0.012487223946846145,-0.012099910163051624,0.033357614620292145,-0.06215217384402504,-0.06022441201921496,23.890600542099005,44.99999999999999,44.99999999999999,0.04360347346502816,0.3012130077152601,0.20091371185477203,6.999999999999999,44.99999999999999,22.23219141560366,-0.05723770145947788,0.012462406314954518,-0.01969672097345788,-0.055051103520974635,-0.0022490336854222724,-0.012779292763587352,-1.2506879016052677,-0.007466588851794569,-0.06772851247899354
tierA_p95,Biliary/ductular,il6_jak_stat3,all,4,58647,30.987007536587896,0.12671294558994084,0,6.999999999999999,-0.06727834734494118,6.999999999999999,-0.06698646368342367,-0.03203606118319471,-0.03232287022946047,0.033357614620292145,-0.25282390077859496,-0.2550873557470708,15.493590589106622,44.99999999999999,29.074545711938892,0.06181943075015393,0.27157779878212523,0.12720746578143496,6.999999999999999,44.99999999999999,6.999999999999999,-0.0730554685683405,-0.031165949637846413,-0.06727834734494118,-0.043459575875673125,-0.007824701754323909,-0.03232287022946047,-0.6943726999868769,-0.038810041571878263,-0.2550873557470708
tierA_p95,Biliary/ductular,interferon_response,all,4,58647,15.835433866939463,0.045335339303538086,0,44.99999999999999,-0.06447543824090324,44.99999999999999,-0.06360748957953437,-0.053812655825627914,-0.05293330900615048,0.033357614620292145,-1.1869913549191908,-1.167594856889478,6.999999999999999,33.550808324132866,15.835433866939463,0.02523989034430942,0.11138964992828175,0.04973757821892223,6.999999999999999,44.99999999999999,44.99999999999999,-0.11677613025532076,-0.06261071134462064,-0.07485059919244218,-0.09769704226631834,-0.020632386808106737,-0.05293330900615048,-3.2243525582945045,-0.38482626737015674,-1.0342032898031328
tierA_p95,Biliary/ductular,oxidative_stress,all,4,58647,6.999999999999999,-0.521934843822761,1,6.999999999999999,-0.05791615292303351,6.999999999999999,-0.05832581199341516,-0.05791615292303351,-0.05832581199341516,0.033357614620292145,0.11096433512436797,0.11174922058513012,6.999999999999999,11.805216832303572,6.999999999999999,-0.7726069942089321,-0.3795012673922631,-0.521934843822761,6.999999999999999,44.99999999999999,6.999999999999999,-0.13348000550922468,0.017323376298194887,-0.05791615292303351,-0.13341050197176713,-0.005705375458109258,-0.05832581199341516,0.012989039173045313,0.1878364238722049,0.11174922058513012
tierA_p95,Biliary/ductular,secondary_senescence,all,4,58647,14.15645674349309,0.1143951432335998,0,6.999999999999999,-0.011955505010885225,44.99999999999999,0.004491902246436939,-0.0030210816569660147,-0.0021142542314068887,0.033357614620292145,-0.026409177623885973,-0.01848202792219501,6.999999999999999,44.99999999999999,14.15645674349309,0.08797934719144478,0.326545030586061,0.12084252927328946,6.999999999999999,44.99999999999999,6.999999999999999,-0.02822346324219809,0.02924071999313926,-0.011955505010885225,-0.016111920165281034,0.0322552973385298,0.0009689865345125473,-0.12182711302532007,0.11956763654284443,0.010074133031032884
tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,all,4,58647,32.36649812091476,0.159116550764446,0,6.999999999999999,-0.029753516510574656,44.99999999999999,-0.016155834305255076,-0.01535267399573371,-0.014906803764515402,0.033357614620292145,-0.0964869708523383,-0.09368480961218946,12.825270247218052,44.99999999999999,32.36649812091476,0.10680391708462506,0.344603676427192,0.159116550764446,6.999999999999999,44.99999999999999,6.999999999999999,-0.06847603769494126,0.06748107624085606,-0.02922000677282315,-0.0304181217338563,0.03377553958077494,-0.014906803764515402,-0.2869658282326853,0.09801270819555825,-0.07906945784707892
