section,arm,ds_variant,A,B,circular,n,n_strata,n_A,n_B,n_both,jaccard,chance,ratio_marginal,exp_both_stratified,sd_both_stratified,ratio_stratified,z
7001_liver_sham_Male_52-U1,sham,published,tierA_score,deepscence_published,False,139859,100,7037,7034,393,0.02873,0.02587,1.11,353.98,17.874,1.11,2.18
7001_liver_sham_Male_52-U1,sham,published,senepy_score,deepscence_published,False,108311,60,5434,5434,113,0.01051,0.02535,0.414,272.64,15.688,0.414,-10.18
7001_liver_sham_Male_52-U1,sham,published,cdkn1a_counts,deepscence_published,True,139859,100,3097,7034,155,0.01554,0.01561,0.995,155.84,11.985,0.995,-0.07
7001_liver_sham_Male_52-U1,sham,prolif,tierA_score,deepscence_prolif,False,139859,100,7037,7034,393,0.02873,0.02587,1.11,353.98,17.874,1.11,2.18
7001_liver_sham_Male_52-U1,sham,prolif,senepy_score,deepscence_prolif,False,108311,60,5434,5434,113,0.01051,0.02535,0.414,272.64,15.688,0.414,-10.18
7001_liver_sham_Male_52-U1,sham,prolif,cdkn1a_counts,deepscence_prolif,False,139859,100,3097,7034,155,0.01554,0.01561,0.995,155.84,11.985,0.995,-0.07
7001_liver_sham_Male_52-U1,sham,lmnb1,tierA_score,deepscence_lmnb1,False,139859,100,7037,7034,393,0.02873,0.02587,1.11,353.98,17.874,1.11,2.18
7001_liver_sham_Male_52-U1,sham,lmnb1,senepy_score,deepscence_lmnb1,False,108311,60,5434,5434,113,0.01051,0.02535,0.414,272.64,15.688,0.414,-10.18
7001_liver_sham_Male_52-U1,sham,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,139859,100,3097,7034,155,0.01554,0.01561,0.995,155.84,11.985,0.995,-0.07
7001_liver_sham_Male_52-U1,sham,consensus,tierA_score,deepscence_consensus,True,139859,100,7037,7037,293,0.02126,0.02569,0.828,354.14,17.878,0.827,-3.42
7001_liver_sham_Male_52-U1,sham,consensus,senepy_score,deepscence_consensus,True,108311,60,5434,5435,891,0.0893,0.02733,3.268,272.7,15.689,3.267,39.41
7001_liver_sham_Male_52-U1,sham,consensus,cdkn1a_counts,deepscence_consensus,True,139859,100,3097,7037,134,0.0134,0.01558,0.86,155.85,11.985,0.86,-1.82
7001_liver_sham_Male_52-U1,sham,abs,tierA_score,deepscence_abs,False,139859,100,7037,7036,439,0.0322,0.02597,1.24,354.09,17.877,1.24,4.75
7001_liver_sham_Male_52-U1,sham,abs,senepy_score,deepscence_abs,False,108311,60,5434,5435,306,0.02897,0.02581,1.122,272.7,15.689,1.122,2.12
7001_liver_sham_Male_52-U1,sham,abs,cdkn1a_counts,deepscence_abs,False,139859,100,3097,7036,172,0.01727,0.01564,1.104,155.86,11.986,1.104,1.35
7239_liver_sbr_Male_52-U1,SBR,published,tierA_score,deepscence_published,False,75384,110,3827,3827,333,0.04549,0.02654,1.714,194.58,13.25,1.711,10.45
7239_liver_sbr_Male_52-U1,SBR,published,senepy_score,deepscence_published,False,45527,60,2309,2309,61,0.01339,0.0257,0.521,117.21,10.284,0.52,-5.47
7239_liver_sbr_Male_52-U1,SBR,published,cdkn1a_counts,deepscence_published,True,75384,110,1764,3827,164,0.03022,0.0165,1.831,89.61,9.076,1.83,8.2
7239_liver_sbr_Male_52-U1,SBR,prolif,tierA_score,deepscence_prolif,False,75384,110,3827,3827,333,0.04549,0.02654,1.714,194.58,13.25,1.711,10.45
7239_liver_sbr_Male_52-U1,SBR,prolif,senepy_score,deepscence_prolif,False,45527,60,2309,2309,61,0.01339,0.0257,0.521,117.21,10.284,0.52,-5.47
7239_liver_sbr_Male_52-U1,SBR,prolif,cdkn1a_counts,deepscence_prolif,False,75384,110,1764,3827,164,0.03022,0.0165,1.831,89.61,9.076,1.83,8.2
7239_liver_sbr_Male_52-U1,SBR,lmnb1,tierA_score,deepscence_lmnb1,False,75384,110,3827,3827,333,0.04549,0.02654,1.714,194.58,13.25,1.711,10.45
7239_liver_sbr_Male_52-U1,SBR,lmnb1,senepy_score,deepscence_lmnb1,False,45527,60,2309,2309,61,0.01339,0.0257,0.521,117.21,10.284,0.52,-5.47
7239_liver_sbr_Male_52-U1,SBR,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,75384,110,1764,3827,164,0.03022,0.0165,1.831,89.61,9.076,1.83,8.2
7239_liver_sbr_Male_52-U1,SBR,consensus,tierA_score,deepscence_consensus,True,75384,110,3827,3827,333,0.04549,0.02654,1.714,194.58,13.25,1.711,10.45
7239_liver_sbr_Male_52-U1,SBR,consensus,senepy_score,deepscence_consensus,True,45527,60,2309,2309,61,0.01339,0.0257,0.521,117.21,10.284,0.52,-5.47
7239_liver_sbr_Male_52-U1,SBR,consensus,cdkn1a_counts,deepscence_consensus,True,75384,110,1764,3827,164,0.03022,0.0165,1.831,89.61,9.076,1.83,8.2
7239_liver_sbr_Male_52-U1,SBR,abs,tierA_score,deepscence_abs,False,75384,110,3827,3827,328,0.04477,0.02652,1.688,194.58,13.25,1.686,10.07
7239_liver_sbr_Male_52-U1,SBR,abs,senepy_score,deepscence_abs,False,45527,60,2309,2309,161,0.03612,0.02627,1.375,117.21,10.284,1.374,4.26
7239_liver_sbr_Male_52-U1,SBR,abs,cdkn1a_counts,deepscence_abs,False,75384,110,1764,3827,133,0.02437,0.01641,1.485,89.61,9.076,1.484,4.78
7248_liver_sham_Male_26-U1,sham,published,tierA_score,deepscence_published,False,195443,100,9813,9813,677,0.03573,0.026,1.374,492.8,21.09,1.374,8.73
7248_liver_sham_Male_26-U1,sham,published,senepy_score,deepscence_published,False,163401,60,8193,8194,186,0.01148,0.02536,0.453,410.88,19.257,0.453,-11.68
7248_liver_sham_Male_26-U1,sham,published,cdkn1a_counts,deepscence_published,True,195443,100,4187,9813,209,0.01515,0.01524,0.994,210.18,13.931,0.994,-0.08
