section,arm,band,call,celltype,module,n,lam,beta_naive,sd_y,sf_tech,sf_cum_tech,sf_seg,sf_cum_seg,sf_dens,sf_cum_dens,sf_comp,sf_cum_comp,sf_anat,sf_cum_anat
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,downstream_arrest,31155,49.99999999999999,-0.0008392316613676353,0.015131849952171459,0.4577721762340425,0.4577721762340425,1.0066011870067129,0.4630412427823938,-0.21026101261007776,-0.41349302266682625,0.5263713283626392,-0.4285861842089229,0.7544330822265853,-0.4055360825509022
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,emt_ecm,31155,49.99999999999999,0.004648086890611658,0.02699004720724252,0.35520515924485035,0.35520515924485035,0.9856599504242222,0.31889737834231513,-0.07812872290473899,-0.021607240081507374,0.4071917280591591,0.006240138858128262,0.2579519690286988,-0.10496299099378555
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,il6_jak_stat3,31155,12.248439437491076,0.0014163860387201178,0.028281439851022244,-0.6289964903741524,-0.6289964903741524,1.041751054860131,-0.55693396085289,-0.9480490529523518,-0.9002011843641742,0.24976896276215899,-0.845404009039079,-0.4843502284693226,-1.0293001340125327
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,interferon_response,31155,40.1140567053119,0.001707705043399254,0.026896626624977986,0.28012589458425213,0.28012589458425213,1.0224172239181026,0.3116381107358017,-0.7783374931762425,-0.24612806853817432,0.16562985806208605,-0.20441533333435868,-0.07474273193302179,-0.35834229278631685
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,oxidative_stress,31155,6.999999999999999,-0.018689767008089123,0.051395737573639216,0.07491586215656253,0.07491586215656253,1.0102885415104699,0.08364184531719952,0.24452770602595292,0.06535524175476634,0.8315568271196346,0.07761246492657158,0.578626646957723,0.055186905929632574
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,secondary_senescence,31155,49.99999999999999,0.0039925453727734156,0.03831747973408257,0.20478935326322492,0.20478935326322492,1.0111587437452296,0.21153630322184402,0.11724859817935963,0.2220154405673316,0.2683819776536169,0.24941978237394957,0.03189024994797272,0.07971894445035835
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,31155,49.99999999999999,0.0024603594311305653,0.025665428197533785,0.18091470060351697,0.18091470060351697,1.0329055295878347,0.2274686749524857,-0.6488189879903361,-0.17854710964153608,0.13076020047605733,-0.14296289114198707,-0.39347127220132766,-0.40058599736529005
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,downstream_arrest,2627,7.475394221006523,0.005618255409424744,0.025362485912777344,1.1707093376550715,1.1707093376550715,0.9882442246622335,1.133572297002317,1.6422413100607904,1.5701216480568343,1.029211568084949,1.5951077525753012,0.9607506371561314,1.6356442527417037
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,emt_ecm,2627,6.999999999999999,-0.0056780362470172764,0.03244483619701372,1.1460117446500182,1.1460117446500182,1.0113059923884824,1.1708249479139736,1.0704586122528719,1.2521852948630015,0.7320214494833054,1.3173046564415651,1.367448342861939,1.3744961245156875
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,il6_jak_stat3,2627,49.99999999999999,0.010723323973510541,0.03612329084653122,0.10209147268610737,0.10209147268610737,1.0290975593575955,0.11021652296722909,0.09422797298393185,-0.11232299552606047,0.4526576769390903,-0.10243683042524658,0.15937566755902285,-0.22720252062349885
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,interferon_response,2627,49.99999999999999,0.010394715062248965,0.03615739798939962,0.1802600992709843,0.1802600992709843,1.020742632416571,0.17490510337383175,0.05381189894496156,-0.04165251203984676,0.36249139806451336,-0.08217624620578548,0.2147236927859722,-0.1760745535996096
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,oxidative_stress,2627,49.99999999999999,-0.027449056916642327,0.05421460270229049,0.2749014021278132,0.2749014021278132,1.0128649223256962,0.2955906156415027,0.4879254325935609,0.2758628556821194,0.7325965763437758,0.31021391200040543,0.5635766881625139,0.2785249709686416
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,secondary_senescence,2627,6.999999999999999,0.0032358460384925318,0.03820362182337723,-0.25565204506614264,-0.25565204506614264,0.901162834758308,-0.41396070054046535,-0.06868968871990817,-0.41295535510823655,0.5546059462593055,-0.47121867556605246,0.12380256384430383,-0.45569101238977894
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,tnfa_nfkb_proximal,2627,49.99999999999999,0.0045228738721907955,0.031181793026546098,0.20404782311552697,0.20404782311552697,1.036492329881874,0.22540971366434498,-1.1422889356186108,-1.103420541074447,-0.2705122992242712,-1.2576362366579772,-0.3163955528427002,-1.4913710169749377
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Endothelial,downstream_arrest,12301,49.99999999999999,-0.00384272948167988,0.01467783051200128,0.4170416008330632,0.4170416008330632,1.0120498431033271,0.3948611016797451,0.5056502078519555,0.3810810997057934,0.702065524278665,0.3568596823439107,0.502675686891215,0.31291606523372756
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Endothelial,emt_ecm,12301,49.99999999999999,0.018421564107576074,0.02905375334299325,0.5976806853158594,0.5976806853158594,0.9993455219749755,0.5586896929521552,0.071239242052569,0.08990702001210442,0.4327432893240418,0.07662722107588797,0.630837361592904,0.053696842565787314
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Endothelial,il6_jak_stat3,12301,6.999999999999999,0.006567026597542406,0.037599464516905,-2.4655696290949045,-2.4655696290949045,1.2236290156114678,-2.2457915675398055,-0.4687294034282035,-0.8920822953267563,0.6940701078430371,-0.9102950979995542,-1.2380176917482157,-1.0225469602107997
