section,arm,week,call,n,n_senders,prevalence,median_nn_um,d_p50,d_p75,d_p90,d_p95,d_p99,d_max,frac_gt_80,frac_gt_150,frac_gt_300
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,103312,11409,0.08956243229240261,6.744689781971417,16.766993468714254,24.87859706065022,33.6406688279724,39.41923861309124,51.68525057463696,350.2805503755189,0.00021294718909710392,2.903825305869599e-05,1.9358835372463993e-05
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,109014,5707,0.04480084153674658,6.744689781971417,24.010543795828937,35.51660328261832,47.6233471770299,55.72210471282206,72.95717809148121,350.2805503755189,0.005136954886528336,2.751940117783037e-05,1.8346267451886914e-05
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p99,113575,1146,0.008996279025952616,6.744689781971417,55.1552296644073,80.52657274179026,108.14193641486656,126.59876893471815,163.44070267545166,406.8810375304772,0.2539291217257319,0.018613251155624035,1.7609509134932863e-05
7259_liver_sbr_Male_26-U1,sbr,26,cdkn1a_pos,109611,5110,0.040114298274535665,6.744689781971417,27.142129512674632,39.02935660420566,51.7604655335478,59.92738405231306,76.287441466426,356.5115877930117,0.006714654551094324,0.00011860123527748128,3.6492687777686544e-05
7259_liver_sbr_Male_26-U1,sbr,26,senepy_p95,111550,3171,0.024892845367622814,6.744689781971417,36.45197583196341,54.36446759587635,74.14814176735871,87.49466162915799,118.26404677778834,345.4626029549053,0.07445091887046168,0.001882563872702824,4.482294935006723e-05
7259_liver_sbr_Male_26-U1,sbr,26,senepy_p99,114084,637,0.005000549510935268,6.744689781971417,86.41259169139335,128.30157216679592,172.43078080967402,200.3781220966889,244.13356140117781,461.9159406398149,0.5468777392097052,0.16302899617825461,0.0007012376845131657
7361_liver_sbr_Male_2-U1,sbr,2,tierA_p90,145850,15729,0.08108442492383353,8.773145145970076,20.49840793658888,29.400132281759905,38.455336630911425,44.43039079559181,57.433853942047215,398.1144119382583,0.0008913267055193692,0.0001576962632841961,2.056907781967775e-05
7361_liver_sbr_Male_2-U1,sbr,2,tierA_p95,153712,7867,0.04055510018919184,8.773145145970076,29.144629059162533,42.17080606269585,55.864338549469224,64.99545723834852,84.17964587097792,413.6195067516181,0.014371031539502446,0.00041636306859581555,1.9517018840428854e-05
7361_liver_sbr_Male_2-U1,sbr,2,tierA_p99,160001,1578,0.008134733456024498,8.773145145970076,67.46667186792955,98.04007736411558,129.44559887848555,150.71540953435033,199.11113878570688,686.0198509761243,0.3870850807182455,0.05116218023637352,0.0008624946094086912
7361_liver_sbr_Male_2-U1,sbr,2,cdkn1a_pos,130554,31025,0.15993669548362485,8.773145145970076,15.823494553215692,22.148201200410135,29.464490846635304,34.580817463369364,46.401670013018126,371.5332910721056,0.0005744749299140586,0.00016851264610812385,1.5319331464374896e-05
7361_liver_sbr_Male_2-U1,sbr,2,senepy_p95,154758,6821,0.03516287509730234,8.773145145970076,33.36923878558108,48.54889942140794,65.02503439278563,76.62022685498522,101.50490496795537,373.8248263083982,0.04050194497215007,0.0007172488659713876,3.230850747618863e-05
7361_liver_sbr_Male_2-U1,sbr,2,senepy_p99,160211,1368,0.007052164364918575,8.773145145970076,74.71420335048954,108.57022601321964,144.08028890645542,168.57306717428412,215.8523453015843,409.91968213428237,0.45479399042512686,0.08480066911760116,0.00019973659736222856
7450_liver_sbr_Male_10-U1,sbr,10,tierA_p90,73650,7778,0.08345762202646008,9.711399856080899,24.307623586416774,35.20576620350168,46.27114830648308,53.4698630098289,68.81736005602811,371.17094155729245,0.0031093007467752885,4.0733197556008144e-05,1.3577732518669381e-05
7450_liver_sbr_Male_10-U1,sbr,10,tierA_p95,77537,3891,0.04175027093146775,9.711399856080899,34.7532254377793,50.57644602687828,67.14604684049698,78.43082184430217,101.48245523307698,402.87958516936146,0.04504946025768343,0.0004385003288752467,1.2897068496330785e-05
7450_liver_sbr_Male_10-U1,sbr,10,tierA_p99,80645,783,0.008401557990064057,9.711399856080899,78.17682383175696,113.35174254757338,150.0541090722079,173.56110144449016,226.2065183930858,666.0408526762938,0.4846549693099386,0.10020460040920082,0.001302002604005208
7450_liver_sbr_Male_10-U1,sbr,10,cdkn1a_pos,71149,10279,0.11029324978271833,9.711399856080899,21.991420265136405,30.87550996251134,40.857768789658095,47.74271051452967,65.84562018148641,351.9102596170286,0.004272723439542369,0.00028110022628568214,1.4055011314284108e-05
7450_liver_sbr_Male_10-U1,sbr,10,senepy_p95,78462,2966,0.03182505874652618,9.711399856080899,45.222952711513884,70.89765820924515,100.11273565894103,121.8782742828429,170.48515298217004,351.9102596170286,0.19001554892814357,0.01984400091764166,2.5490046136983507e-05
7450_liver_sbr_Male_10-U1,sbr,10,senepy_p99,80832,596,0.006395055634838031,9.711399856080899,103.26988791591015,166.08855737704408,232.1820422962592,273.52660964206063,369.0739824834722,502.5089702642773,0.633993962787015,0.30090805621536026,0.033377870150435474
7239_liver_sbr_Male_52-U1,sbr,52,tierA_p90,67912,7472,0.08960092095165004,8.501764233534523,21.586323904689955,31.778210961708584,42.404003217211994,49.40208539002305,63.858191220348225,585.7974861085157,0.0014724938155259747,0.00016197431970785723,8.834962893155849e-05
7239_liver_sbr_Male_52-U1,sbr,52,tierA_p95,71646,3738,0.044824443591711435,8.501764233534523,30.711472192917064,45.33098133288743,60.45423769441971,70.57417404395466,92.69363878946108,585.7974861085157,0.02554224939284817,0.00032102280657678026,8.374507997655137e-05
7239_liver_sbr_Male_52-U1,sbr,52,tierA_p99,74631,753,0.00902964313123561,8.501764233534523,68.18282953214866,99.83704760441115,132.34185113664932,154.86156542116117,202.27403681317836,631.7328611654714,0.3947019335128834,0.05812597982071793,0.0010317428414465838
7239_liver_sbr_Male_52-U1,sbr,52,cdkn1a_pos,58631,16753,0.20089457022256332,8.501764233534523,16.32274526649303,21.506750372648085,27.629563843829487,31.80197352394163,40.68806318873449,586.431592292193,0.00040933976906414694,0.0002217257082430796,0.000136446589688049
7239_liver_sbr_Male_52-U1,sbr,52,senepy_p95,73106,2278,0.02731676899462778,8.501764233534523,47.5761958466222,71.54700960902349,97.7269012681046,115.7280899033239,150.41673232325198,611.6176184825783,0.18861652942302956,0.01025907586244631,0.00012310891034935574
