section,arm,A,B,n,n_strata,n_A,n_B,n_both,exp_both_marginal,ratio_marginal,exp_both_stratified,sd_both_stratified,ratio_stratified,z
7001_liver_sham_Male_52-U1,sham,tierA_score,senepy_score,108311,60,5435,5434,246,272.68,0.902,272.7,15.689,0.902,-1.7
7001_liver_sham_Male_52-U1,sham,tierA_score,deepscence_score,139859,100,7037,7034,393,353.92,1.11,353.98,17.874,1.11,2.18
7001_liver_sham_Male_52-U1,sham,tierA_score,cdkn1a_counts,139859,100,7037,3097,179,155.83,1.149,155.89,11.986,1.148,1.93
7001_liver_sham_Male_52-U1,sham,senepy_score,deepscence_score,108311,60,5434,5434,113,272.63,0.414,272.64,15.688,0.414,-10.18
7001_liver_sham_Male_52-U1,sham,senepy_score,cdkn1a_counts,108311,60,5434,2246,131,112.68,1.163,112.63,10.197,1.163,1.8
7001_liver_sham_Male_52-U1,sham,deepscence_score,cdkn1a_counts,139859,100,7034,3097,155,155.76,0.995,155.84,11.985,0.995,-0.07
7239_liver_sbr_Male_52-U1,SBR,tierA_score,senepy_score,45527,60,2309,2309,82,117.11,0.7,117.21,10.284,0.7,-3.42
7239_liver_sbr_Male_52-U1,SBR,tierA_score,deepscence_score,75384,110,3827,3827,333,194.28,1.714,194.58,13.25,1.711,10.45
7239_liver_sbr_Male_52-U1,SBR,tierA_score,cdkn1a_counts,75384,110,3827,1764,108,89.55,1.206,89.61,9.076,1.205,2.03
7239_liver_sbr_Male_52-U1,SBR,senepy_score,deepscence_score,45527,60,2309,2309,61,117.11,0.521,117.21,10.284,0.52,-5.47
7239_liver_sbr_Male_52-U1,SBR,senepy_score,cdkn1a_counts,45527,60,2309,1196,51,60.66,0.841,60.57,7.457,0.842,-1.28
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,cdkn1a_counts,75384,110,3827,1764,164,89.55,1.831,89.61,9.076,1.83,8.2
7248_liver_sham_Male_26-U1,sham,tierA_score,senepy_score,163401,60,8192,8193,385,410.75,0.937,410.79,19.255,0.937,-1.34
7248_liver_sham_Male_26-U1,sham,tierA_score,deepscence_score,195443,100,9813,9813,677,492.7,1.374,492.8,21.09,1.374,8.73
7248_liver_sham_Male_26-U1,sham,tierA_score,cdkn1a_counts,195443,100,9813,4187,273,210.23,1.299,210.17,13.931,1.299,4.51
7248_liver_sham_Male_26-U1,sham,senepy_score,deepscence_score,163401,60,8193,8194,186,410.85,0.453,410.88,19.257,0.453,-11.68
7248_liver_sham_Male_26-U1,sham,senepy_score,cdkn1a_counts,163401,60,8193,3545,229,177.75,1.288,177.68,12.807,1.289,4.01
