section,celltype,module,sender,n,lam,beta_full_std,beta_stripped_std,ratio_stripped,n_stripped_genes
7248_liver_sham_Male_26-U1,Biliary/ductular,downstream_arrest,corescence_p95,7518,22.318425721029357,0.08449080263723281,0.058761454239086915,0.6954775242387428,10
7248_liver_sham_Male_26-U1,Biliary/ductular,emt_ecm,corescence_p95,7518,9.962242533302096,0.602812819105893,0.5372143322830855,0.8911793433323053,9
7248_liver_sham_Male_26-U1,Biliary/ductular,il6_jak_stat3,corescence_p95,7518,24.6860647223019,0.15556020249211294,0.17143940232444668,1.1020775209722347,5
7248_liver_sham_Male_26-U1,Biliary/ductular,interferon_response,corescence_p95,7518,11.58882939190469,0.31202685780537714,0.30948799634719804,0.9918633239585976,5
7248_liver_sham_Male_26-U1,Biliary/ductular,oxidative_stress,corescence_p95,7518,12.818224546846722,-0.4958851913489674,-0.5003803871554542,1.0090649930365099,0
7248_liver_sham_Male_26-U1,Biliary/ductular,secondary_senescence,corescence_p95,7518,6.999999999999999,0.30002615888220363,0.26878656593680056,0.8958771026440119,14
7248_liver_sham_Male_26-U1,Biliary/ductular,tnfa_nfkb_proximal,corescence_p95,7518,27.304873519796445,0.6191845534909122,0.5483399559198853,0.8855840360170311,8
7248_liver_sham_Male_26-U1,Biliary/ductular,downstream_arrest,tierA_p95,7958,6.999999999999999,0.07684138266480256,0.03635520818948954,0.4731201720832928,10
7248_liver_sham_Male_26-U1,Biliary/ductular,emt_ecm,tierA_p95,7958,14.178039470333344,0.1471731075893738,0.10618216219443724,0.7214780195488908,9
7248_liver_sham_Male_26-U1,Biliary/ductular,il6_jak_stat3,tierA_p95,7958,49.99999999999999,-0.011682813947821568,-0.007907407926940219,0.6768410386621514,5
7248_liver_sham_Male_26-U1,Biliary/ductular,interferon_response,tierA_p95,7958,6.999999999999999,0.16915151833091327,0.1858131848769359,1.0985014306133936,5
7248_liver_sham_Male_26-U1,Biliary/ductular,oxidative_stress,tierA_p95,7958,30.20149733539872,-0.43241740560649383,-0.423614322558319,0.9796421630257276,0
7248_liver_sham_Male_26-U1,Biliary/ductular,secondary_senescence,tierA_p95,7958,9.962242533302096,0.05583688444483763,0.0448090610362556,0.8024993063594614,14
7248_liver_sham_Male_26-U1,Biliary/ductular,tnfa_nfkb_proximal,tierA_p95,7958,25.962470509255517,0.3527857364419151,0.2896203981724921,0.8209526867313612,8
7248_liver_sham_Male_26-U1,Endothelial,downstream_arrest,corescence_p95,30655,49.99999999999999,-0.13315191431321857,-0.16822350300833794,1.2633953020954627,10
7248_liver_sham_Male_26-U1,Endothelial,emt_ecm,corescence_p95,30655,6.999999999999999,0.9719341242239256,0.9189647411033924,0.9455010562955299,9
7248_liver_sham_Male_26-U1,Endothelial,il6_jak_stat3,corescence_p95,30655,40.868941774896264,0.10392236547814737,0.10327400661113023,0.9937611228917468,5
7248_liver_sham_Male_26-U1,Endothelial,interferon_response,corescence_p95,30655,21.2211739115045,0.2611886260642227,0.2645047031054468,1.0126961004818362,5
7248_liver_sham_Male_26-U1,Endothelial,oxidative_stress,corescence_p95,30655,6.999999999999999,-0.2568869765952987,-0.2483518842596242,0.9667749122637668,0
7248_liver_sham_Male_26-U1,Endothelial,secondary_senescence,corescence_p95,30655,25.962470509255517,0.19727382254740736,0.14993609839489336,0.7600405185987708,14
7248_liver_sham_Male_26-U1,Endothelial,tnfa_nfkb_proximal,corescence_p95,30655,27.304873519796445,0.29273547952432155,0.2755176677307299,0.9411830372540779,8
7248_liver_sham_Male_26-U1,Endothelial,downstream_arrest,tierA_p95,32788,49.99999999999999,-0.05754663670485147,-0.09270812949555135,1.6110086497502571,10
7248_liver_sham_Male_26-U1,Endothelial,emt_ecm,tierA_p95,32788,49.99999999999999,0.21477460232993478,0.23099570400895802,1.0755261632569784,9
7248_liver_sham_Male_26-U1,Endothelial,il6_jak_stat3,tierA_p95,32788,33.40540803599722,0.14770110710445242,0.12146735986561497,0.8223862518492481,5
