panel,pair,section,arm,x,ratio_stratified,z,is_published_section
a,deepscence vs cdkn1a,7239_liver_sbr_Male_52-U1,SBR,4.8799,1.83,8.2,False
a,deepscence vs cdkn1a,7248_liver_sham_Male_26-U1,sham,5.0542,0.994,-0.08,False
a,deepscence vs cdkn1a,7250_liver_sham_Male_26-U1,sham,5.0,2.849,16.64,True
a,deepscence vs cdkn1a,7259_liver_sbr_Male_26-U1,SBR,5.0,1.505,5.54,True
a,deepscence vs cdkn1a,7260_liver_sbr_Male_26-U1,SBR,4.817,1.002,0.02,False
a,deepscence vs cdkn1a,7352_liver_sham_Male_2-U1,sham,5.1464,0.963,-0.42,False
a,deepscence vs cdkn1a,7361_liver_sbr_Male_2-U1,SBR,5.1263,1.525,7.33,False
a,deepscence vs cdkn1a,7435_liver_sham_Male_10-U1,sham,4.8853,0.978,-0.27,False
a,deepscence vs cdkn1a,7448_liver_sbr_Male_10-U1,SBR,5.1657,1.071,1.01,False
a,deepscence vs cdkn1a,7450_liver_sbr_Male_10-U1,SBR,4.8058,1.346,3.44,False
b,tierA vs senepy,2-section (published base),,0.935,0.935,-1.71,True
b,tierA vs senepy,11-section (D1 complete),,0.914,0.914,-4.93,False
b,tierA vs deepscence,2-section (published base),,1.103,1.103,3.14,True
b,tierA vs deepscence,11-section (D1 complete),,1.248,1.248,16.56,False
b,tierA vs cdkn1a,2-section (published base),,1.017,1.017,0.25,True
b,tierA vs cdkn1a,11-section (D1 complete),,1.171,1.171,7.08,False
b,senepy vs deepscence,2-section (published base),,1.693,1.693,18.18,True
b,senepy vs deepscence,11-section (D1 complete),,0.737,0.737,-15.08,False
b,senepy vs cdkn1a,2-section (published base),,1.168,1.168,1.97,True
b,senepy vs cdkn1a,11-section (D1 complete),,1.211,1.211,7.43,False
b,deepscence vs cdkn1a,2-section (published base),,2.05,2.05,14.91,True
b,deepscence vs cdkn1a,11-section (D1 complete),,1.255,1.255,10.53,False
c,deepscence_score,7250_liver_sham_Male_26-U1,sham,-0.35,,,True
c,deepscence_score,7001_liver_sham_Male_52-U1,sham,0.2906,,,False
c,deepscence_score,7260_liver_sbr_Male_26-U1,SBR,0.3164,,,False
c,deepscence_score,7259_liver_sbr_Male_26-U1,SBR,0.3176,,,True
c,deepscence_score,7448_liver_sbr_Male_10-U1,SBR,0.3451,,,False
c,deepscence_score,7361_liver_sbr_Male_2-U1,SBR,0.3846,,,False
c,deepscence_score,7239_liver_sbr_Male_52-U1,SBR,0.3891,,,False
c,deepscence_score,7352_liver_sham_Male_2-U1,sham,0.4096,,,False
c,deepscence_score,7248_liver_sham_Male_26-U1,sham,0.4571,,,False
c,deepscence_score,7435_liver_sham_Male_10-U1,sham,0.4799,,,False
c,deepscence_score,7450_liver_sbr_Male_10-U1,SBR,0.5577,,,False
