section,arm,week,call,scope,celltype,module,n,lam,n_perm,beta_obs,n_senders_used,n_solid_tiles,tile_cell_coverage,N3_orig_null_mean,N3_orig_null_sd,N3_orig_null_lo,N3_orig_null_hi,N3_orig_sf,N3_orig_p,N3_occ_null_mean,N3_occ_null_sd,N3_occ_null_lo,N3_occ_null_hi,N3_occ_sf,N3_occ_p,N3_occ15_null_mean,N3_occ15_null_sd,N3_occ15_null_lo,N3_occ15_null_hi,N3_occ15_sf,N3_occ15_p,N3_swap_null_mean,N3_swap_null_sd,N3_swap_null_lo,N3_swap_null_hi,N3_swap_sf,N3_swap_p,N3_snap_null_mean,N3_snap_null_sd,N3_snap_null_lo,N3_snap_null_hi,N3_snap_sf,N3_snap_p,N4_orig_null_mean,N4_orig_null_sd,N4_orig_null_lo,N4_orig_null_hi,N4_orig_sf,N4_orig_p,N4_occ_null_mean,N4_occ_null_sd,N4_occ_null_lo,N4_occ_null_hi,N4_occ_sf,N4_occ_p,N4_occ15_null_mean,N4_occ15_null_sd,N4_occ15_null_lo,N4_occ15_null_hi,N4_occ15_sf,N4_occ15_p,N4_swap_null_mean,N4_swap_null_sd,N4_swap_null_lo,N4_swap_null_hi,N4_swap_sf,N4_swap_p,N3_tile_null_mean,N3_tile_null_sd,N3_tile_null_lo,N3_tile_null_hi,N3_tile_sf,N3_tile_p,N4_tile_null_mean,N4_tile_null_sd,N4_tile_null_lo,N4_tile_null_hi,N4_tile_sf,N4_tile_p
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,downstream_arrest,29523,49.99999999999999,200,-0.0012275911918662237,11409,5,0.461,8.1328851862074e-05,0.0005966645744378371,-0.0009259252962955677,0.0011217298294453452,1.0662507619808148,0.02,-0.00018321808237270547,0.000767999481093134,-0.0016251777598883517,0.0011326917820166052,0.8507499209943243,0.12,0.0006405568678074733,0.0005115244759028539,-0.0003086184883798166,0.0015127867448097405,1.5217998239574186,0.125,-0.0008188389203741883,0.0005996284507119928,-0.0020055224320187346,0.00024397989596480708,0.33297100386541306,0.25,5.706743225562678e-05,0.0005485718215908787,-0.0009786198612265512,0.0011168017643909622,1.046487326264431,0.02,0.0008042969661533493,0.00041758984087843535,0.0002566365075122122,0.0015868711025819337,1.655183070294461,0.135,-0.0005262469484921433,0.0006037219352741596,-0.0013707857958354895,0.0003322023724026277,0.571317428815919,0.15,0.0011253347328443446,0.0007335578463245462,-0.0012275911918662233,0.0019640719125806334,1.9167015373689462,0.645,0.0007379929971085353,0.000373702858108862,0.00020629501105427368,0.0014388146751708438,1.6011716294466192,0.085,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,emt_ecm,29523,28.716686174618605,200,0.006381556932617708,11409,5,0.461,-0.0002559510995669893,0.0019911923691189703,-0.0037643466385206812,0.004034041204215399,1.0401079395309882,0.0,0.0007707567958446168,0.0015082303113930836,-0.0012023493612115573,0.004698342092791838,0.8792211988417609,0.0,-0.0018119762570849862,0.0017296884614221495,-0.004239901844588564,0.0013210153722500182,1.283939527017855,0.0,0.0032599797036277044,0.0008297120970425719,0.0018139439997571338,0.004810506579505897,0.48915605736193535,0.0,-0.00041615297845612025,0.0015404901248421076,-0.003257725090687229,0.0031410982508889495,1.0652118257112242,0.0,-0.0019709730510302868,0.0013496836589131714,-0.003884239908704466,0.0004408894410897758,1.3088545744935938,0.0,0.0019582023099086634,0.002489293851675836,-0.0021956476889837895,0.006381556932617707,0.6931466207094684,0.0,-0.0015415268746337546,0.0019251094406042841,-0.004012732831393487,0.00513981618368363,1.2415596837747591,0.0,-0.0018272774172605668,0.0012578270876235944,-0.0035561810909369267,0.0003976098126310887,1.2863372428632425,0.0,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,il6_jak_stat3,29523,8.14292620081837,200,0.002917026374245527,11409,5,0.461,3.173246664855408e-05,0.0011440770491431868,-0.0021906350667336406,0.0020116156274812844,0.9891216387590045,0.01,0.00021962230920030365,0.0009481440298499015,-0.0011835781100495615,0.0026328776934288946,0.9247102079229201,0.015,-0.00035232893973566543,0.001078243074712557,-0.0023959537155476356,0.0016533486841642756,1.1207835975863583,0.0,0.001018862025973815,0.0005762600790277008,-2.0760857744899312e-05,0.0020226270721607075,0.6507189530511742,0.0,-0.00021327832151924432,0.0007680322483652702,-0.0015925371408810772,0.0012446410391938937,1.0731149788024825,0.0,5.218385980032449e-05,0.0010461094474371023,-0.0020546416337038813,0.0019199430123644074,0.982110597195467,0.01,0.0010446559656932214,0.0011567726385184791,-0.001276486814304599,0.002917026374245527,0.6418764071122203,0.13,-0.0003904880118941759,0.001156062493249476,-0.00248361560918316,0.0020167504523778165,1.1338650947217348,0.035,-0.0001806904934703554,0.0007325785246730773,-0.0018154787154992208,0.001132600544942292,1.0619433869592936,0.0,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,interferon_response,29523,49.99999999999999,200,0.005052148527245733,11409,5,0.461,-2.3851118085178594e-05,0.0007897524929640996,-0.0015514774991671697,0.0014065883571266705,1.0047209851326722,0.0,0.0005449657464747101,0.001432184543263954,-0.0017853018903864642,0.00287595465425925,0.8921318833886684,0.015,-0.0002739750856125334,0.0009370751701121656,-0.0020339880633402628,0.0014647195738846375,1.0542294202426974,0.0,0.002774671176228155,0.0010617365748216915,0.0007441814016478814,0.004736251443593049,0.4507938234070851,0.005,-0.00010263657131589,0.0007753557765572957,-0.0016966869076648918,0.0013221381165368015,1.0203154303089828,0.0,-0.00031814081649890377,0.0007937370245248963,-0.0018289161623732206,0.0008689006420947507,1.0629713902477733,0.0,0.0015331515064717044,0.0021037552854646685,-0.0023608361724176854,0.005052148527245732,0.6965347518578341,0.0,-0.00084304045994056,0.001478776787505747,-0.0023790683104107668,0.0035802947873643503,1.1668677109143024,0.0,-0.00030543281423689125,0.0007281727746757964,-0.0017635101510250022,0.0007425821200147345,1.0604560243210828,0.0,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,oxidative_stress,29523,6.999999999999999,200,-0.023720288603448044,11409,5,0.461,-0.00014595330127935966,0.002771591361296315,-0.005113902480126557,0.0053001975219627755,0.9938469002751449,0.0,-0.0029131930837070323,0.0032547750816453894,-0.006058083575170659,0.0011734652339019578,0.8771855970047698,0.015,-0.0015380540843272057,0.00191746904822146,-0.00529740326579482,0.0016795951955838365,0.935158711175899,0.0,-0.0038672066368305663,0.0011038163123176473,-0.00621603071810516,-0.0017156033439266547,0.8369662906939329,0.0,0.0011411643360420645,0.0015986503498085036,-0.00164768752106393,0.004414154092882283,1.04810920959352,0.0,-0.0010067777849000305,0.0021681984757286007,-0.005234542868556637,0.0025844461232144185,0.9575562590434215,0.0,-0.0069141104706288,0.006889313786547819,-0.023720288603448044,0.0003373204843959761,0.7085149094845437,0.13,-0.0029662085700980258,0.0033257094138145625,-0.009133692221634725,0.001464427849727893,0.8749505699662166,0.015,0.00031820620794905454,0.0017303765682233861,-0.001840854122698209,0.002751253787641347,1.013414938294756,0.0,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,secondary_senescence,29523,49.99999999999999,200,0.007898218990882049,11409,5,0.461,0.00011474582904741297,0.0012640241710512277,-0.0021977013121886493,0.002655921675765485,0.9854719362453891,0.0,0.0016058291213879425,0.0017835659273321024,-0.0012568569138228826,0.006846407089788672,0.7966846546997796,0.015,0.0017514661775414734,0.001069634622319918,-0.0005561111147675578,0.003416534378233648,0.7782454272838699,0.0,0.00324846818041078,0.0015889199121209914,0.0001640647896202881,0.006333758480796746,0.5887087729321112,0.0,9.809635236217753e-05,0.0012151233620668817,-0.001981422315541696,0.0022771469658868252,0.9875799401769662,0.0,0.0017194623370341672,0.001157395790321387,-0.00044751708320483964,0.003946113959435584,0.7822974598426343,0.0,0.0035112999996599835,0.002032600061629198,-9.540502196152587e-05,0.00789821899088205,0.5554314202083357,0.13,0.0018886885375645065,0.0011666804332488105,0.00019891138027102785,0.004451514496497863,0.7608715914632315,0.015,0.0016351478718798485,0.0011128417594380776,-0.0005932739709033189,0.003381455043757445,0.7929725835954264,0.0,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,tnfa_nfkb_proximal,29523,49.99999999999999,200,0.005143827856026188,11409,5,0.461,-8.725702915818588e-05,0.0007452558648278856,-0.0015872255381094952,0.0014340804751952327,1.0169634427124075,0.0,0.001058202183007554,0.0012564864197541147,-0.0010723600330190476,0.004273790148864419,0.7942772945311866,0.015,-0.00022348546527748615,0.0012271475548749538,-0.002002660186711945,0.0021334041692372377,1.043447306467627,0.0,0.0034256995088712927,0.001014337871340451,0.0012369333308110276,0.0052472246785285805,0.334017466222561,0.05,-9.019417748685114e-05,0.0006633081289296611,-0.0015639327642850665,0.0011307560987091198,1.0175344471104695,0.0,-0.0002349102382511191,0.0006625966677863876,-0.001014458535743433,0.001360017764676886,1.045668370875964,0.0,0.0026201121190163033,0.0013457019452347658,0.0003228294106495565,0.005143827856026191,0.4906298981318469,0.13,0.00022361323160042604,0.0012197069106266013,-0.0010188070096410367,0.0035543298200750003,0.9565278547690015,0.015,-0.00022311563752868443,0.0006757958944787273,-0.0010223799600224772,0.0015126382274736523,1.0433754090870861,0.0,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,DC,downstream_arrest,2489,11.58882939190469,200,0.005885704996157451,11409,5,0.461,-6.302651968675458e-05,0.003253649213199051,-0.006243210860089726,0.007215505049346533,1.0107084061684883,0.08,-0.0005415728080301743,0.0022394121061798384,-0.0047670905059739805,0.003170821258580935,1.0920149427101336,0.02,0.0006926669984241062,0.0027840199505560215,-0.004249927273918574,0.00666910735485147,0.8823136737440422,0.065,-0.0012603201398319796,0.0017746183055990284,-0.0047551909807418335,0.0020607229548545007,1.2141324005628542,0.005,0.0015689221203423127,0.0020375238183531668,-0.0025688211156396825,0.005459748190812831,0.7334351413523781,0.015,0.0006759173688448169,0.0022120265945328324,-0.00349046972388811,0.004998623583081017,0.8851594890865075,0.0,0.0002736461476467438,0.002593945521487844,-0.002869148023628796,0.005885704996157451,0.9535066491056897,0.13,0.0007853947701776467,0.0022810744280133844,-0.0035806566315158095,0.00545903020468629,0.866558930376157,0.025,0.0009846700966665138,0.0020959496865305223,-0.002349738713358088,0.005093489260175097,0.8327014185540446,0.015,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,DC,emt_ecm,2489,6.999999999999999,200,-0.006238704704812619,11409,5,0.461,0.00024738070751640354,0.0053931346018641566,-0.0089899179094552,0.01080797234993764,1.0396525752093333,0.28,-1.2300923559676689e-05,0.003753491721012861,-0.009513896524120817,0.005081287165693072,0.9980282888609574,0.07,-0.0017591125221927647,0.004449459105552716,-0.010364301179075322,0.006930624842103887,0.7180324113055452,0.175,0.0005116594621335182,0.002270895406698162,-0.0038625096992264438,0.004804454367854435,1.0820137330332076,0.005,-0.0023160176916525916,0.0030125184267044886,-0.0078133788787047,0.003716548842479445,0.628766258184013,0.095,-0.0021378910705716946,0.004809808741118272,-0.010872898594922463,0.00766236566696847,0.6573181178262056,0.255,-0.0031473888642326153,0.002443898997986609,-0.006238704704812619,0.0036069261788030196,0.49550603640453156,0.13,-0.0002286898096055542,0.003790023000198932,-0.007077435062645059,0.008423548998690146,0.963343382893385,0.11,-0.0024662476476512746,0.0027682351258828527,-0.00733455589517239,0.002748159482124136,0.6046859461469977,0.075,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,DC,il6_jak_stat3,2489,6.999999999999999,200,0.015179494048028212,11409,5,0.461,-0.00033713653142381075,0.004243083874327292,-0.007869125398523889,0.008160954768834189,1.0222099979325467,0.0,-0.0005943603170508814,0.005078903472086567,-0.009977735627546077,0.00884297574495366,1.0391554761423742,0.0,0.00016385055932205167,0.004462225564927583,-0.008529150781441347,0.008913561751369573,0.9892057957397246,0.0,0.002429624853301803,0.0023888663588968024,-0.0018728888328478595,0.0072176116181420676,0.8399403270218083,0.0,-0.0006821769942763277,0.0031045872333373193,-0.007526235001358098,0.006322856688484035,1.0449406938148207,0.0,0.0013900009426482634,0.004427695546484227,-0.006069254468844435,0.010993331680137929,0.9084290333887102,0.0,0.002505817804858108,0.0060278278876781674,-0.00850578919546492,0.015179494048028213,0.8349208612006663,0.13,-8.311626071377649e-05,0.004769763319399756,-0.00850578919546492,0.007674833182376334,1.0054755619950702,0.015,-0.0002185121509955283,0.003251808760781261,-0.006441435007589972,0.006573589573280086,1.0143952196498878,0.0,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,DC,interferon_response,2489,49.99999999999999,200,0.013627671503867967,11409,5,0.461,-0.0003674067113125944,0.0033608873020965673,-0.0065213845432209126,0.006094087260459229,1.026960343974267,0.0,0.0006712260029781321,0.005730601873260535,-0.0066816329288250705,0.013627671503867912,0.9507453637411485,0.02,-0.0006479796122102434,0.004444100633648276,-0.008050540866401907,0.009137616398984087,1.0475488136051947,0.0,0.008745911627083767,0.005044503701026501,-0.0014612014800363129,0.017205431151674302,0.35822406457321787,0.165,2.844174185565755e-05,0.00331149884636274,-0.006854973260446494,0.006381325854136468,0.9979129419249955,0.0,0.0013888324468191787,0.0021032327726944505,-0.004042136017384982,0.004377508690892944,0.8980873257456358,0.0,0.003889338264668932,0.005229138781253386,-0.0022795307590662652,0.013627671503867957,0.7145999400143294,0.0,-0.00044268976715302493,0.0034658847287230557,-0.0051798311079455876,0.007213924900191409,1.032484622705161,0.0,0.001595849937759753,0.0019490579979657306,-0.0026878761380074055,0.004647964514688023,0.8828963600049502,0.0,,,,,,,,,,,,
