section,arm,gene,role,cell_type,n,pct_pos,mean_counts,pct_pos_senders,pct_pos_nonsenders,enrich,on_panel
7260_liver_sbr_Male_26-U1,SBR,Igfbp3,ligand,Hepatocytes,56062,5.307,0.0686,6.836,5.128,1.333,True
7260_liver_sbr_Male_26-U1,SBR,Igfbp3,ligand,Inflammatory macs,14588,11.763,0.2131,12.773,11.717,1.09,True
7260_liver_sbr_Male_26-U1,SBR,Igfbp3,ligand,Kupffer cells,4519,9.892,0.1799,10.769,9.852,1.093,True
7260_liver_sbr_Male_26-U1,SBR,Igfbp3,ligand,LSECs,21797,3.978,0.0536,4.233,3.967,1.067,True
7260_liver_sbr_Male_26-U1,SBR,Igfbp3,ligand,Proliferating,3560,8.343,0.1121,8.524,8.192,1.041,True
7260_liver_sbr_Male_26-U1,SBR,Igfbp3,ligand,T/NK cells,5654,13.123,0.2842,9.714,13.232,0.734,True
7260_liver_sbr_Male_26-U1,SBR,Igfbp3,ligand,vSMCs,5263,49.515,1.6582,50.467,49.496,1.02,True
7260_liver_sbr_Male_26-U1,SBR,Il1a,ligand,B-cells,1920,5.104,0.0589,5.66,5.088,1.112,True
7260_liver_sbr_Male_26-U1,SBR,Il1a,ligand,Biliary/ductular,29122,1.064,0.0116,1.036,1.065,0.973,True
7260_liver_sbr_Male_26-U1,SBR,Il1a,ligand,Central venous LSECs,1833,5.346,0.0687,18.75,4.986,3.761,True
7260_liver_sbr_Male_26-U1,SBR,Il1a,ligand,DC,5798,1.863,0.0214,2.326,1.841,1.263,True
7260_liver_sbr_Male_26-U1,SBR,Il1a,ligand,Hepatic stellate cells,30553,2.049,0.0229,2.846,2.029,1.402,True
7260_liver_sbr_Male_26-U1,SBR,Il1a,ligand,Hepatocytes,56062,2.581,0.03,3.597,2.462,1.461,True
7260_liver_sbr_Male_26-U1,SBR,Il1a,ligand,Inflammatory macs,14588,7.218,0.0914,10.748,7.056,1.523,True
7260_liver_sbr_Male_26-U1,SBR,Il1a,ligand,Kupffer cells,4519,12.038,0.1476,17.436,11.795,1.478,True
7260_liver_sbr_Male_26-U1,SBR,Il1a,ligand,LSECs,21797,22.333,0.3003,26.659,22.153,1.203,True
7260_liver_sbr_Male_26-U1,SBR,Il1a,ligand,Proliferating,3560,4.41,0.0517,5.435,3.555,1.529,True
7260_liver_sbr_Male_26-U1,SBR,Il1a,ligand,T/NK cells,5654,2.688,0.031,5.714,2.592,2.205,True
7260_liver_sbr_Male_26-U1,SBR,Il1a,ligand,vSMCs,5263,2.052,0.0262,6.542,1.959,3.34,True
7260_liver_sbr_Male_26-U1,SBR,Il1r1,receptor,B-cells,1920,7.448,0.088,9.434,7.392,1.276,True
7260_liver_sbr_Male_26-U1,SBR,Il1r1,receptor,Biliary/ductular,29122,12.537,0.1455,13.679,12.498,1.094,True
7260_liver_sbr_Male_26-U1,SBR,Il1r1,receptor,Central venous LSECs,1833,35.134,0.5368,45.833,34.846,1.315,True
7260_liver_sbr_Male_26-U1,SBR,Il1r1,receptor,DC,5798,8.779,0.1061,11.24,8.664,1.297,True
7260_liver_sbr_Male_26-U1,SBR,Il1r1,receptor,Hepatic stellate cells,30553,25.382,0.3341,30.894,25.246,1.224,True
7260_liver_sbr_Male_26-U1,SBR,Il1r1,receptor,Hepatocytes,56062,18.537,0.259,30.31,17.161,1.766,True
7260_liver_sbr_Male_26-U1,SBR,Il1r1,receptor,Inflammatory macs,14588,8.342,0.0988,9.346,8.296,1.127,True
7260_liver_sbr_Male_26-U1,SBR,Il1r1,receptor,Kupffer cells,4519,4.603,0.0551,5.641,4.556,1.238,True
7260_liver_sbr_Male_26-U1,SBR,Il1r1,receptor,LSECs,21797,15.906,0.2018,19.68,15.748,1.25,True
7260_liver_sbr_Male_26-U1,SBR,Il1r1,receptor,Proliferating,3560,15.421,0.1961,17.109,14.013,1.221,True
7260_liver_sbr_Male_26-U1,SBR,Il1r1,receptor,T/NK cells,5654,9.851,0.1265,15.429,9.673,1.595,True
7260_liver_sbr_Male_26-U1,SBR,Il1r1,receptor,vSMCs,5263,14.497,0.1746,28.972,14.197,2.041,True
7260_liver_sbr_Male_26-U1,SBR,Il1rap,receptor,B-cells,1920,7.708,0.0927,11.321,7.606,1.488,True
7260_liver_sbr_Male_26-U1,SBR,Il1rap,receptor,Biliary/ductular,29122,5.305,0.0576,6.321,5.27,1.199,True
7260_liver_sbr_Male_26-U1,SBR,Il1rap,receptor,Central venous LSECs,1833,3.382,0.0382,4.167,3.361,1.24,True
7260_liver_sbr_Male_26-U1,SBR,Il1rap,receptor,DC,5798,5.053,0.0547,7.752,4.928,1.573,True
7260_liver_sbr_Male_26-U1,SBR,Il1rap,receptor,Hepatic stellate cells,30553,8.13,0.0927,12.466,8.023,1.554,True
7260_liver_sbr_Male_26-U1,SBR,Il1rap,receptor,Hepatocytes,56062,35.946,0.5761,49.864,34.319,1.453,True
7260_liver_sbr_Male_26-U1,SBR,Il1rap,receptor,Inflammatory macs,14588,6.793,0.0762,11.059,6.597,1.676,True
7260_liver_sbr_Male_26-U1,SBR,Il1rap,receptor,Kupffer cells,4519,9.825,0.1186,10.256,9.806,1.046,True
7260_liver_sbr_Male_26-U1,SBR,Il1rap,receptor,LSECs,21797,8.18,0.0985,11.327,8.049,1.407,True
7260_liver_sbr_Male_26-U1,SBR,Il1rap,receptor,Proliferating,3560,30.787,0.4534,37.863,24.884,1.522,True
7260_liver_sbr_Male_26-U1,SBR,Il1rap,receptor,T/NK cells,5654,6.491,0.0736,8.571,6.425,1.334,True
7260_liver_sbr_Male_26-U1,SBR,Il1rap,receptor,vSMCs,5263,4.636,0.0502,2.804,4.674,0.6,True
7260_liver_sbr_Male_26-U1,SBR,Il6,ligand,B-cells,1920,0.104,0.001,0.0,0.107,0.0,True
7260_liver_sbr_Male_26-U1,SBR,Il6,ligand,Biliary/ductular,29122,0.058,0.0006,0.104,0.057,1.824,True
7260_liver_sbr_Male_26-U1,SBR,Il6,ligand,Central venous LSECs,1833,0.109,0.0011,0.0,0.112,0.0,True
7260_liver_sbr_Male_26-U1,SBR,Il6,ligand,DC,5798,0.19,0.0022,1.55,0.126,12.27,True
7260_liver_sbr_Male_26-U1,SBR,Il6,ligand,Hepatic stellate cells,30553,0.16,0.0024,0.407,0.154,2.635,True
7260_liver_sbr_Male_26-U1,SBR,Il6,ligand,Hepatocytes,56062,0.105,0.0012,0.17,0.098,1.746,True
7260_liver_sbr_Male_26-U1,SBR,Il6,ligand,Inflammatory macs,14588,0.213,0.0023,0.312,0.208,1.498,True
7260_liver_sbr_Male_26-U1,SBR,Il6,ligand,Kupffer cells,4519,1.084,0.0126,2.051,1.041,1.971,True
