section,arm,celltype,module,n,nb,lam_full,beta_full,beta_full_lo,beta_full_hi,selected_full,sf_n5_full,sf_n6_full,sf_n6n5_full,sf_n2n5n6_full,split,selected_A,beta_A,beta_B,lam_A,lam_B,sf_n5_A,sf_n5_B,sf_n6_A,sf_n6_B,sf_n6n5_A,sf_n6n5_B,sf_n2n5n6_A,sf_n2n5n6_B,sf_n5_B_lamA,sf_n6n5_B_lamA
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.0016873886534906285,0.00031943595329438117,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,0,0,-0.000985432559186067,-0.0006327454189959981,42.01126848483073,49.99999999999999,-0.009442640025770523,-0.8620121443717583,0.7992988328835586,0.8560165734956843,-0.062095471710049456,-0.7471040070070375,-0.0640712642986808,-0.7882773079609603,-0.902430959405773,-0.7795369070895305
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.0016873886534906285,0.00031943595329438117,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,1,0,-0.0009191566236251277,-0.0012200172520186647,49.99999999999999,6.999999999999999,-0.07046027686127794,-0.15496830209060194,0.7628636316180638,1.0031182049442517,-0.18222480797817803,-0.033395063837626145,-0.1962865117286653,-0.024046015308549423,-0.6909729937347058,-0.5156100683250703
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.0016873886534906285,0.00031943595329438117,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,2,0,-0.0006935687563512483,-0.0011620914448218485,6.999999999999999,49.99999999999999,-1.2744528321079511,0.11020888170814475,0.9078421735139353,0.8126905873216826,-1.1927838943526807,0.05365252945764933,-1.1953715316119982,0.03709486499897707,-0.5183934338518694,-0.4540397088838275
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.0016873886534906285,0.00031943595329438117,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,3,0,-0.0008399497818493276,-0.0012477889277661162,6.999999999999999,49.99999999999999,-0.6609162392792951,0.0187166408695853,0.855163506123203,0.9317893333728634,-0.6883708567814821,0.07155259804640175,-0.6932741751378184,0.07479998312824865,-1.051851683055433,-0.8482892630596434
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.0016873886534906285,0.00031943595329438117,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,4,0,-0.0008826780451934035,-0.0006089018650844724,16.323185683988537,49.99999999999999,0.03284814259652013,-1.3378720892793179,0.9317802432560907,0.7034823640562207,0.09603963836867506,-1.378867765164739,0.06932660040166154,-1.3843846361076466,-2.6956494203800636,-2.6816740672166706
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.0016873886534906285,0.00031943595329438117,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,5,0,0.0004824635473579188,-0.0019933727030991923,6.999999999999999,6.999999999999999,4.2883239791153995,0.406896230464639,1.2619819097712086,1.0028415682582783,4.122915614399591,0.42398273666940706,4.123604947440465,0.41139353339050766,0.406896230464639,0.42398273666940706
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.0016873886534906285,0.00031943595329438117,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,6,0,-0.0005533819343972114,-0.0010704779017436396,40.1414277801285,49.99999999999999,-0.8835245445327573,-0.18737438100955456,1.0238664852190087,0.701551496660669,-0.7210052867672072,-0.27217381681208547,-0.7553480462878651,-0.2789081904043132,-0.21357604034540348,-0.29314800292265025
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.0016873886534906285,0.00031943595329438117,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,7,0,-0.0009609649368178301,-0.0007008648053846478,49.99999999999999,49.99999999999999,-0.32829353114148774,-0.6144087995410491,0.8973373082550666,0.7057396771630513,-0.29884987715226824,-0.6207654597953522,-0.30320561170454247,-0.6581888554753598,-0.6144087995410491,-0.6207654597953522
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.0016873886534906285,0.00031943595329438117,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,8,0,-0.0007911949712486841,-0.0008752542863584922,49.99999999999999,12.570705313826595,-0.8276059304843424,0.17578427531614277,0.8380258315019036,0.8717484919231439,-0.8011360374329863,0.1711790060157829,-0.8425183744849644,0.17635764263846962,0.0340653555499326,0.025029484451840795
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.0016873886534906285,0.00031943595329438117,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,9,0,-0.00039222236787490807,-0.0013249557277233012,49.99999999999999,9.153270213602275,-2.144858064058149,0.20400155589511432,0.7371240705700257,0.9214778099340323,-2.052463130658048,0.21302173590721174,-2.0957447650046994,0.20777830443717146,0.13515938682639775,0.1211249400577408
