section,arm,celltype,module,n,nb,lam_full,beta_full,beta_full_lo,beta_full_hi,selected_full,sf_n5_full,sf_n6_full,sf_n6n5_full,sf_n2n5n6_full,split,selected_A,beta_A,beta_B,lam_A,lam_B,sf_n5_A,sf_n5_B,sf_n6_A,sf_n6_B,sf_n6n5_A,sf_n6n5_B,sf_n2n5n6_A,sf_n2n5n6_B,sf_n5_B_lamA,sf_n6n5_B_lamA
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.001890964098786231,0.00010403420057449535,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,0,0,-0.0004940289490869003,-0.0015892023765734186,49.99999999999999,24.858670743381424,-1.5021557047182876,0.5736445099712248,0.8042796025723422,0.8791869940798884,-1.4242571857650432,0.5548791710880148,-1.451220070129095,0.5509399034895165,0.5669073627246866,0.5378921464435577
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.001890964098786231,0.00010403420057449535,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,1,0,-0.001460303720450395,0.002006876308485213,8.73848526725777,6.999999999999999,0.12824152526404026,1.6144356040927954,0.954991775630154,1.0299944255135944,0.15010972302573605,1.5866631472767554,0.14202727169099855,1.5856123836920193,1.6725154977641465,1.6460373133825008
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.001890964098786231,0.00010403420057449535,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,2,0,-0.0002309545723167451,-0.0027741317605778,49.99999999999999,49.99999999999999,-3.372752862188607,0.41136336821902,0.2911770683975017,0.981610316667688,-3.4930310688403745,0.48261964470750757,-3.6101588346996074,0.4816805325746569,0.41136336821902,0.48261964470750757
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.001890964098786231,0.00010403420057449535,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,3,0,-0.0005894508552261852,-0.0014601102570813858,49.99999999999999,31.664949956376486,-0.6557260594607557,-0.0038883094504689525,0.877112320012733,0.7486504740766396,-0.6141986517684078,-0.03757887026919201,-0.6400432332700051,-0.029119661483952286,-0.032013936300805027,-0.0710318704903732
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.001890964098786231,0.00010403420057449535,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,4,0,-0.0004449961509784127,-0.001859930841978619,49.99999999999999,49.99999999999999,-2.155186922949036,0.6502669636130117,0.5129199929078596,1.0085581204215195,-2.1608002504284087,0.676657840839792,-2.19243806004877,0.6755170034850877,0.6502669636130117,0.676657840839792
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.001890964098786231,0.00010403420057449535,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,5,0,-0.0007283603289287819,-0.00107714418030998,49.99999999999999,49.99999999999999,-0.5035590207882011,-0.3468911874670927,0.8828635142863067,0.7255686009450294,-0.43840065308142967,-0.4195787665042408,-0.4650568874992786,-0.4005689357309459,-0.3468911874670927,-0.4195787665042408
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.001890964098786231,0.00010403420057449535,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,6,0,-0.0011668129774519127,0.0001235946968507029,49.99999999999999,49.99999999999999,0.05840753220843612,12.951076807475172,0.923848504097589,4.141646226673379,0.09368624243123082,13.870675283131467,0.08761756915211649,14.107639196189822,12.951076807475172,13.870675283131467
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.001890964098786231,0.00010403420057449535,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,7,0,-0.0006072989058474805,-0.0014613357879105031,49.99999999999999,49.99999999999999,-0.8104198930637024,-0.015026453074840336,0.8617703704975768,0.7852351056588528,-0.7139953256890009,-0.09005609379843035,-0.743590009109777,-0.09051588030610025,-0.015026453074840336,-0.09005609379843035
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.001890964098786231,0.00010403420057449535,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,8,0,-0.0006123797663591135,-0.0015394703025537785,49.99999999999999,49.99999999999999,-1.2131135130668438,0.6520620535949275,0.7978107700317495,0.848904794360532,-1.1662198413976586,0.6253137428360445,-1.1827561746008122,0.6430719442144898,0.6520620535949275,0.6253137428360445
7259_liver_sbr_Male_26-U1,sbr,Biliary/ductular,downstream_arrest,31155,99,49.99999999999999,-0.0008392316613676353,-0.001890964098786231,0.00010403420057449535,0,-0.4055360825507954,0.8223506279669353,-0.3930848074751539,-0.40774001425163053,9,0,-0.0009960476510829364,0.0017348638589228392,19.379496973149788,6.999999999999999,0.24122905075837717,1.934303764042594,0.915096588462153,1.0139653085079674,0.24954965002720866,1.8910742372963467,0.2222652953960465,1.8843615060004146,2.657718779453218,2.588065433605351
