section,call,null,draw,celltype,module,n,lam_near,lam_sup,aic_near,aic_sup,d_aic,d_aic_near_vs_cov,d_aic_sup_vs_cov
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Biliary/ductular,downstream_arrest,31155,6.999999999999999,6.999999999999999,-261375.14865991342,-261374.6249256558,0.5237342576147057,2.4468701955047436,2.9706044531194493
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Biliary/ductular,emt_ecm,31155,49.99999999999999,49.99999999999999,-227847.42626065778,-227845.98763638362,1.4386242741602473,1.8743527889891993,3.3129770631494466
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Biliary/ductular,il6_jak_stat3,31155,49.99999999999999,49.99999999999999,-223342.7050750436,-223342.34114610002,0.3639289435814135,3.492660006158985,3.8565889497403987
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Biliary/ductular,interferon_response,31155,49.99999999999999,49.99999999999999,-226961.52373724608,-226961.569010279,-0.04527303291251883,0.9291323010111228,0.8838592680986039
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Biliary/ductular,oxidative_stress,31155,49.99999999999999,49.99999999999999,-188113.3487793553,-188111.37325078572,1.9755285695719067,-1.5625594417797402,0.41296912779216655
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Biliary/ductular,secondary_senescence,31155,6.999999999999999,7.361938632551805,-204608.86537360735,-204609.16316344056,-0.2977898332173936,3.9418702672992367,3.644080434081843
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Biliary/ductular,tnfa_nfkb_proximal,31155,6.999999999999999,47.54182525407475,-231526.90309255602,-231527.2269428218,-0.32385026579140685,3.4823351035593078,3.158484837767901
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,DC,downstream_arrest,2627,6.999999999999999,6.999999999999999,-19453.824087719946,-19453.853511515197,-0.029423795251204865,3.7460516624232696,3.7166278671720647
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,DC,emt_ecm,2627,49.99999999999999,16.49296129703063,-18354.269601817625,-18350.582489944798,3.68711187282679,-2.097801980788063,1.5893098920387274
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,DC,il6_jak_stat3,2627,49.99999999999999,31.763081427768892,-17706.41512846746,-17706.28787098942,0.12725747803779086,3.6334853109183314,3.7607427889561222
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,DC,interferon_response,2627,6.999999999999999,6.999999999999999,-17801.582446014643,-17801.678974765022,-0.0965287503786385,3.0536675302173535,2.957138779838715
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,DC,oxidative_stress,2627,6.999999999999999,24.6860647223019,-15570.696789529238,-15571.152472568701,-0.4556830394631106,3.8536131725359155,3.397930133072805
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,DC,secondary_senescence,2627,6.999999999999999,6.999999999999999,-17253.93142712191,-17253.345155565017,0.5862715568910062,2.53697329071656,3.123244847607566
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,DC,tnfa_nfkb_proximal,2627,9.962242533302096,7.361938632551805,-18445.085976778963,-18444.942089733406,0.14388704555676668,3.5246260770145454,3.668513122571312
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Endothelial,downstream_arrest,12301,49.99999999999999,49.99999999999999,-104298.77736119175,-104302.35458275613,-3.577221564381034,-2.3714665934239747,-5.948688157805009
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Endothelial,emt_ecm,12301,49.99999999999999,49.99999999999999,-89602.94740816677,-89604.6897625752,-1.7423544084304012,0.3053831852885196,-1.4369712231418816
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Endothelial,il6_jak_stat3,12301,49.99999999999999,49.99999999999999,-83723.20728150771,-83720.25402192875,2.9532595789642073,-4.428429899169714,-1.4751703202055069
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Endothelial,interferon_response,12301,49.99999999999999,49.99999999999999,-88737.89383907744,-88737.58411594976,0.30972312767698895,-10.176959484437248,-9.867236356760259
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Endothelial,oxidative_stress,12301,6.999999999999999,6.999999999999999,-74795.15180290067,-74798.05570202814,-2.903899127471959,2.7187769837182714,-0.18512214375368785
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Endothelial,secondary_senescence,12301,49.99999999999999,13.48099749887925,-85106.27554033084,-85106.3768201986,-0.10127986775478348,2.998784156734473,2.8975042889796896
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Endothelial,tnfa_nfkb_proximal,12301,49.99999999999999,49.99999999999999,-95003.55244959863,-95006.5016718589,-2.949222260271199,-13.476310542289866,-16.425532802561065
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Hepatocytes,downstream_arrest,28561,49.99999999999999,49.99999999999999,-255991.61350601786,-255993.8766172243,-2.2631112064409535,0.06100876987329684,-2.2021024365676567
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Hepatocytes,emt_ecm,28561,20.177866835741543,17.345738419684505,-233327.11098468522,-233325.75099024668,1.3599944385350682,0.6017981917539146,1.9617926302889828
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Hepatocytes,il6_jak_stat3,28561,31.763081427768892,30.20149733539872,-231546.26554520085,-231547.11396447633,-0.8484192754840478,3.3332548876060173,2.4848356121219695
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Hepatocytes,interferon_response,28561,49.99999999999999,9.962242533302096,-236922.27809664412,-236922.2741403905,0.003956253611249849,2.3245131375151686,2.3284693911264185
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Hepatocytes,oxidative_stress,28561,49.99999999999999,49.99999999999999,-185922.5667451974,-185920.54109391753,2.025651279865997,-8.908962142450036,-6.88331086258404
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Hepatocytes,secondary_senescence,28561,38.85968176362148,33.40540803599722,-222050.09354916133,-222050.96218612551,-0.8686369641800411,3.097040468303021,2.22840350412298
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Hepatocytes,tnfa_nfkb_proximal,28561,49.99999999999999,49.99999999999999,-246883.1883692146,-246877.7192881804,5.469081034185365,-4.878784377302509,0.590296656882856
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Macrophages,downstream_arrest,12543,7.361938632551805,49.99999999999999,-104353.07603383638,-104353.33459682512,-0.2585629887471441,3.642691269866191,3.3841282811190467
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Macrophages,emt_ecm,12543,49.99999999999999,49.99999999999999,-89239.43938807189,-89240.40763698536,-0.9682489134720527,-0.43550526510807686,-1.4037541785801295
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Macrophages,il6_jak_stat3,12543,49.99999999999999,49.99999999999999,-85817.10507569506,-85818.79373184143,-1.688656146376161,-4.9315266876947135,-6.620182834070874
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Macrophages,interferon_response,12543,49.99999999999999,20.177866835741543,-87163.45096991239,-87164.21503127867,-0.7640613662806572,2.3973625235812506,1.6333011573005933
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Macrophages,oxidative_stress,12543,6.999999999999999,6.999999999999999,-74247.87531557,-74246.77368161659,1.1016339534107829,-3.8131512876716442,-2.7115173342608614
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Macrophages,secondary_senescence,12543,42.98209161773131,11.019082036984365,-84871.75368969695,-84870.65506793672,1.0986217602330726,2.0809405157342553,3.179562275967328
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Macrophages,tnfa_nfkb_proximal,12543,6.999999999999999,45.204502969779604,-96185.93110830362,-96185.4696416142,0.461466689419467,2.813231877749786,3.274698567169253
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Mesenchymal,downstream_arrest,14358,49.99999999999999,49.99999999999999,-121404.50416834182,-121404.93248971838,-0.42832137655932456,0.7879783110838616,0.35965693452453706
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Mesenchymal,emt_ecm,14358,49.99999999999999,49.99999999999999,-95191.14461501593,-95191.69717999846,-0.5525649825285655,-29.08334705940797,-29.635912041936535
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Mesenchymal,il6_jak_stat3,14358,49.99999999999999,49.99999999999999,-101255.34593751926,-101255.65433174088,-0.30839422161807306,-0.347368686037953,-0.6557629076560261
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Mesenchymal,interferon_response,14358,15.682109678112967,49.99999999999999,-105397.8268994007,-105397.46703864538,0.35986075531400274,2.9424762000271585,3.3023369553411612
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Mesenchymal,oxidative_stress,14358,6.999999999999999,6.999999999999999,-86535.13175180648,-86534.27844358612,0.8533082203503,1.4520289508654969,2.305337171215797
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Mesenchymal,secondary_senescence,14358,47.54182525407475,35.13265199376635,-94836.49050111804,-94835.5520515326,0.9384495854319539,-1.1412426096649142,-0.2027930242329603
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,Mesenchymal,tnfa_nfkb_proximal,14358,49.99999999999999,49.99999999999999,-110146.71099894652,-110142.60424385525,4.1067550912703155,-4.306412115416606,-0.1996570241462905
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,T/NK cells,downstream_arrest,5987,6.999999999999999,6.999999999999999,-48370.75526898449,-48371.61709271093,-0.8618237264381605,2.9302759923084523,2.0684522658702917
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,T/NK cells,emt_ecm,5987,49.99999999999999,49.99999999999999,-41741.33231844551,-41743.08381504279,-1.751496597280493,-9.502177367721742,-11.253673965002235
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,T/NK cells,il6_jak_stat3,5987,49.99999999999999,49.99999999999999,-40694.86873431729,-40694.15353317031,0.7152011469806894,3.0916519144011545,3.806853061381844
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,T/NK cells,interferon_response,5987,49.99999999999999,49.99999999999999,-40750.21513769933,-40749.17736916411,1.037768535221403,0.8944704753084807,1.9322390105298837
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,T/NK cells,oxidative_stress,5987,49.99999999999999,49.99999999999999,-35435.87906662302,-35435.95298881792,-0.07392219489702256,3.3806596643844387,3.306737469487416
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,T/NK cells,secondary_senescence,5987,11.019082036984365,49.99999999999999,-39615.990698658235,-39616.71914885097,-0.7284501927351812,3.8804569488711422,3.152006756135961
7259_liver_sbr_Male_26-U1,tierA_p95,N3,0,T/NK cells,tnfa_nfkb_proximal,5987,6.999999999999999,6.999999999999999,-44465.74432602005,-44464.96572418782,0.7786018322294694,2.8958374260910205,3.67443925832049
7259_liver_sbr_Male_26-U1,tierA_p95,N1,0,Biliary/ductular,downstream_arrest,31155,6.999999999999999,6.999999999999999,-261375.61207180013,-261375.74551909385,-0.13344729371601716,1.98345830879407,1.8500110150780529
7259_liver_sbr_Male_26-U1,tierA_p95,N1,0,Biliary/ductular,emt_ecm,31155,6.999999999999999,38.85968176362148,-227845.3705618813,-227849.66529347515,-4.294731593836332,3.9300515654613264,-0.36468002837500535
7259_liver_sbr_Male_26-U1,tierA_p95,N1,0,Biliary/ductular,il6_jak_stat3,31155,6.999999999999999,16.49296129703063,-223342.22388675672,-223342.8614163916,-0.6375296348705888,3.9738482930406462,3.3363186581700575
7259_liver_sbr_Male_26-U1,tierA_p95,N1,0,Biliary/ductular,interferon_response,31155,36.94920399670096,20.177866835741543,-226959.90126136792,-226962.22909211722,-2.3278307493019383,2.5516081791720353,0.22377742987009697
7259_liver_sbr_Male_26-U1,tierA_p95,N1,0,Biliary/ductular,oxidative_stress,31155,6.999999999999999,6.999999999999999,-188108.8774957254,-188108.68676597852,0.19072974688606337,2.9087241881061345,3.099453934992198
