section,arm,week,call,celltype,module,stratum,n,sender_set,n_senders,prevalence,match_rate,max_smd_before,max_smd_after,lam_naive,beta_naive,lam_grid_lo,lam_grid_hi,lam_railed,sd_y,lam_n6_profiled,beta_n6_profiled,lam_n6zon_profiled,beta_n6zon_profiled,lam_n6n5_profiled,beta_n6n5_profiled,lam_n5_profiled,beta_n5_profiled,lam_zon_profiled,beta_zon_profiled,lam_n2_profiled,beta_n2_profiled,beta_base,sf_base,beta_n6,sf_n6,beta_n6zon,sf_n6zon,beta_n6n5,sf_n6n5,beta_n5,sf_n5,beta_zon,sf_zon,beta_n2,sf_n2,beta_n2n5n6,sf_n2n5n6,beta_n2zon,sf_n2zon,beta_base_lo,beta_base_hi,beta_n6_lo,beta_n6_hi,beta_n6zon_lo,beta_n6zon_hi,beta_n6n5_lo,beta_n6n5_hi,beta_n5_lo,beta_n5_hi,beta_zon_lo,beta_zon_hi,beta_n2_lo,beta_n2_hi,beta_n2n5n6_lo,beta_n2n5n6_hi,beta_n2zon_lo,beta_n2zon_hi,sf_base_lo,sf_base_hi,sf_n6_lo,sf_n6_hi,sf_n6zon_lo,sf_n6zon_hi,sf_n6n5_lo,sf_n6n5_hi,sf_n5_lo,sf_n5_hi,sf_zon_lo,sf_zon_hi,sf_n2_lo,sf_n2_hi,sf_n2n5n6_lo,sf_n2n5n6_hi,sf_n2zon_lo,sf_n2zon_hi
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,all,31157,A_SENDER_FINAL_strict,5707,0.04480084153674658,1.0,0.49142727333087904,0.010532026507864044,49.99999999999999,-0.0006234146032002674,6.999999999999999,49.99999999999999,1,0.018167066219239556,49.99999999999999,-0.0005832564484384764,49.99999999999999,-0.0004997189368887723,8.313506959200554,0.00034078163481335815,8.567518900685268,0.00036370731482197416,49.99999999999999,-0.0004830839753090762,49.99999999999999,-0.0005896030114960517,-0.0006234146032002674,1.0,-0.0005832564484384764,0.9355835513707234,-0.0004997189368887723,0.8015836240015719,-7.418365396098515e-05,0.11899569496795089,-4.690110522372865e-05,0.07523260601045308,-0.0004830839753090762,0.7748999988598102,-0.0005896030114960517,0.9457638760294584,-9.324598343233241e-05,0.14957298554390427,-0.0004616649320880687,0.7405423769641184,-0.001766472596195279,0.00044925753599895166,-0.0016643590450532487,0.00045801043978229523,-0.0016061765073315912,0.0005609456617362951,-0.0012235930019475485,0.001041669830289001,-0.0011977309966946347,0.0010952115807084746,-0.0016509880076396278,0.0006022768487041449,-0.0017549348611939311,0.0004972245639766581,-0.0012343660383581404,0.0010091755197218363,-0.0016465096197576805,0.0006478819885321673,1.0,1.0,0.3178681237376254,1.6008451106498023,-0.43334095064554506,2.0279042738812803,-8.314969326644917,6.094094304614767,-9.309408237385048,6.611188160075043,-1.1165239047243074,2.4321018835881842,0.2760976216265631,1.2449672064339161,-7.876304294272479,6.058043585403017,-1.8782324417880698,2.6297242548328934
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,all,31157,A_SENDER_FINAL_strict,5707,0.04480084153674658,1.0,0.49142727333087904,0.010532026507864044,6.999999999999999,0.0056054960489796,6.999999999999999,49.99999999999999,1,0.026802409707132782,6.999999999999999,0.004116649306032842,6.999999999999999,0.0015874728036563673,6.999999999999999,0.0012137764768007397,6.999999999999999,0.000921792174561123,6.999999999999999,0.0024493160142255166,9.466169707305745,0.004353759164909027,0.0056054960489796,1.0,0.004116649306032842,0.7343951846656318,0.0015874728036563673,0.28319934396267105,0.0012137764768007397,0.2165332855816909,0.000921792174561123,0.1644443536319898,0.0024493160142255166,0.4369490216073526,0.005511663546642299,0.9832606246588326,0.0012724879158871594,0.22700719165055833,0.0024306144931271886,0.4336127386209909,0.0035398573272000383,0.007792739246274758,0.002200018988096513,0.00599891023997711,-0.0003349443506503282,0.0036135653817955357,-0.001104308275377938,0.003519411308797104,-0.0015191909805421168,0.0033239753888903473,0.00027723220454613066,0.0045077136809776935,0.0034789401896360393,0.007629565028485381,-0.0009860523643528487,0.0036054522207021452,0.00027207577560669105,0.004494497805875066,1.0,1.0,0.5860332759460933,0.8199245745096974,-0.08511829453592708,0.483201144746943,-0.310470134112999,0.4699539265269888,-0.4211029273726298,0.4301479773115695,0.07577929613147162,0.6050356000484579,0.9593833988105045,0.9993436697436288,-0.27976440048033885,0.4792323626178053,0.0725908336710678,0.6045106267833047
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,all,31157,A_SENDER_FINAL_strict,5707,0.04480084153674658,1.0,0.49142727333087904,0.010532026507864044,49.99999999999999,-0.0010121444611884281,6.999999999999999,49.99999999999999,1,0.030198952072103626,49.99999999999999,-0.001661183890082936,49.99999999999999,-0.0027508289844264447,6.999999999999999,-0.0027808129876776533,6.999999999999999,-0.0029725656848700968,49.99999999999999,-0.0023349327755456777,7.549700993404367,-0.0005062584936909031,-0.0010121444611884281,1.0,-0.001661183890082936,1.6412517716417934,-0.0027508289844264447,2.7178224946234533,-0.0021944394590488795,2.1681089441246737,-0.002482466022025777,2.452679550418073,-0.0023349327755456777,2.3069165174347477,-0.0010862372189711885,1.073203737829838,-0.0021989876544407216,2.1726025668892555,-0.0023532002526907496,2.3249648078177456,-0.0031283700462284487,0.0011128604514036734,-0.003636012041579914,0.0002738242542734307,-0.0047332703785427374,-0.0007299755829448058,-0.004272681980689891,-0.00041439491740902673,-0.004614678370396893,-0.0005253564274511742,-0.004448932385853823,-0.00012896722005171867,-0.003151338434392209,0.0010690204429082636,-0.004239593066730282,-0.0004114992065254615,-0.0045319722058942595,-0.0001516686229138929,1.0,1.0,-7.029618296878642,8.632888581633525,-16.923717145458912,18.27470121090641,-12.408572312774766,14.40061116497375,-13.921602581845997,16.491489346455058,-12.025948895928165,14.022344519825502,0.35792985333261584,1.7474011856053753,-12.72453940231287,14.298503142982138,-12.24535037039247,14.005346124467886
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,all,31157,A_SENDER_FINAL_strict,5707,0.04480084153674658,1.0,0.49142727333087904,0.010532026507864044,49.99999999999999,0.0007578214158816874,6.999999999999999,49.99999999999999,1,0.028234050249553777,6.999999999999999,-0.0015516151220286995,6.999999999999999,-0.0025734623897123166,6.999999999999999,-0.002479176719277262,6.999999999999999,-0.002389155948054832,6.999999999999999,-0.0015696256086826562,6.999999999999999,-0.0001469335084426258,0.0007578214158816874,1.0,-0.0007205498082561077,-0.9508174263164415,-0.001464946130493111,-1.9331020472530713,-0.0009095899888721677,-1.2002695751398174,-0.0008770861590541039,-1.157378428047798,-0.00033596884420808405,-0.4433351145364519,0.0007347817443088548,0.969597492113591,-0.0009418763457159616,-1.2428737509616767,-0.0003218376364866101,-0.42468796703530487,-0.00084231529573734,0.002521822940231753,-0.002524421723773262,0.0010437275812954908,-0.0032826928911366517,0.0003720168602143134,-0.0027691807501943467,0.0009172428981832594,-0.0029848992234522225,0.0011203636239768395,-0.0019927818743833404,0.001458494652064471,-0.0008592498271872227,0.0025168458802516396,-0.002808184926935041,0.000917212797457261,-0.0019746412964485663,0.0014943431725534873,1.0,1.0,-24.381100774625168,11.652415481376222,-36.513024744293716,17.88547689744624,-31.774390061528788,15.10777441118238,-35.929640374137804,13.778759182607638,-21.17619249014915,10.552266911231845,0.47680272823895065,1.4035271007348837,-31.84346265283282,15.794229482706465,-20.93731655450471,10.103417734292007
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,all,31157,A_SENDER_FINAL_strict,5707,0.04480084153674658,1.0,0.49142727333087904,0.010532026507864044,6.999999999999999,-0.02512973630277844,6.999999999999999,49.99999999999999,1,0.07231243159796355,6.999999999999999,-0.02087504648702338,6.999999999999999,-0.0140429763817217,6.999999999999999,-0.0049437505715471015,6.999999999999999,-0.005578329471433875,6.999999999999999,-0.01657425854134461,7.424441667301677,-0.023548222218224,-0.02512973630277844,1.0,-0.02087504648702338,0.8306910281710896,-0.0140429763817217,0.5588190903606519,-0.0049437505715471015,0.19672910658439743,-0.005578329471433875,0.22198121795719414,-0.01657425854134461,0.6595476507054352,-0.02472234846640626,0.9837886147525098,-0.0050302665025933925,0.20017187773025802,-0.016458539434235944,0.6549427831606901,-0.031009700324207978,-0.0190306592013197,-0.026207429765050225,-0.015228372130435005,-0.019879771989449256,-0.00822078924284388,-0.010660700348797516,0.0011064925082306615,-0.011543964490550503,0.0006431312566011038,-0.022620451996142193,-0.010425433883825668,-0.03046679648733526,-0.018717642886994307,-0.010780825510033365,0.0010907111084112648,-0.022419730489295533,-0.010179554016327634,1.0,1.0,0.7776178957947053,0.8772930947157209,0.41385302472314683,0.6582608934823916,-0.05812036043425456,0.36313572109785813,-0.03374435802259173,0.3855965499176974,0.5349147970638217,0.7451634708193293,0.9638919066956966,1.00097528255697,-0.05729250115384582,0.3656985147979017,0.5335304295044382,0.7403906620614336
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,all,31157,A_SENDER_FINAL_strict,5707,0.04480084153674658,1.0,0.49142727333087904,0.010532026507864044,6.999999999999999,-0.0008962924604653544,6.999999999999999,49.99999999999999,1,0.023637698645689535,6.999999999999999,-0.0007965710123336942,6.999999999999999,-0.0017339132382538733,6.999999999999999,-0.0016691834660526434,6.999999999999999,-0.0019329482864527219,6.999999999999999,-0.0018101213330531708,12.000415527722556,-0.0005547296232780644,-0.0008962924604653544,1.0,-0.0007965710123336942,0.8887400569230663,-0.0017339132382538733,1.934539578023034,-0.0016691834660526434,1.862320101617283,-0.0019329482864527219,2.1566044251327705,-0.0018101213330531708,2.019565502217164,-0.0009264031384912913,1.0335947019015461,-0.001647510254525745,1.838139142295539,-0.0018168081495127041,2.0270260318483753,-0.0032219660309473113,0.001108897457663042,-0.0031754743889045077,0.001199788509104303,-0.0043133841334737555,0.0003489039172169846,-0.0039711215010114105,0.00035245505797018133,-0.004371075605337343,0.00014533764970485068,-0.004381572264588399,0.0002859276831781106,-0.0032841862059381204,0.0010810450351229981,-0.0039026309506413667,0.0003474481056027974,-0.00438961192373116,0.0002837631081512264,1.0,1.0,-0.28189369237965345,1.9808091975399609,-10.99965973965154,10.019482209086783,-7.597315210042456,8.441099888650193,-10.422766885023103,10.29130781277153,-11.180386174839734,10.263894811084658,0.6806749921221609,1.2514384498775664,-7.59405526722126,8.415535686460338,-11.21162333951684,10.265096364898579
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,all,31157,A_SENDER_FINAL_strict,5707,0.04480084153674658,1.0,0.49142727333087904,0.010532026507864044,49.99999999999999,0.0017630779795010695,6.999999999999999,49.99999999999999,1,0.026600529846883124,49.99999999999999,0.0007330361360932722,6.999999999999999,-0.0023953932821046218,6.999999999999999,-0.0025483026637563616,6.999999999999999,-0.0028391468433387516,6.999999999999999,-0.001954956120318483,49.99999999999999,0.0016326521561315593,0.0017630779795010695,1.0,0.0007330361360932722,0.4157706832120454,-0.0012703697173378355,-0.7205408564499997,-0.0008938931080418771,-0.5070071309578935,-0.0009867556427119771,-0.5596778215057836,-0.0004787884641334328,-0.27156397487814143,0.0016326521561315593,0.926023791978606,-0.0008497024771218922,-0.48194265199906133,-0.0005137202062924258,-0.29137690576669933,-0.00024103708792163082,0.0038289772041030334,-0.0010162947783022888,0.0025948419981885406,-0.0030569463082877474,0.0007506323349670442,-0.0027560109024308524,0.0010408246876978753,-0.003029393927060091,0.0010900352481990065,-0.002391229168290923,0.001632066971447067,-0.0003571815517646767,0.003668262615646195,-0.002716309881398902,0.0010857341157393288,-0.0024279443445987597,0.0015801492489550283,1.0,1.0,-2.170649517271003,3.6346884698548925,-9.925567016707824,9.611657122804893,-7.999936499803624,8.38896152459868,-9.06174989805616,9.570340642696316,-7.676386044184627,7.4896293503259175,0.6390635964304067,1.3941168004773992,-7.96048397469485,8.380064175849077,-7.683590804163258,7.6151982069041395
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,downstream_arrest,all,2627,A_SENDER_FINAL_strict,5707,0.04480084153674658,1.0,0.49142727333087904,0.010532026507864044,25.886802847174305,0.0035811917262324857,6.999999999999999,49.99999999999999,0,0.02750416329207069,49.99999999999999,0.0039575512930862455,49.99999999999999,0.0034806276992871282,49.99999999999999,0.008534936878856968,49.99999999999999,0.008587470232640901,22.94050866282016,0.003363008546805063,33.17229071222638,0.004329454299402334,0.0035811917262324857,1.0,0.0031081708420208076,0.8679152303556478,0.002745215082471864,0.7665646779989373,0.006585030160872684,1.8387817978682532,0.006731623292076123,1.8797159735309619,0.0034024828347652865,0.9500979268554253,0.004089779586176612,1.1420163729907795,0.006614486319115784,1.84700703697716,0.0038492003271602343,1.0748378253430462,-0.002649898868807457,0.009902664052669128,-0.002717368313825247,0.00907441850406705,-0.00352860042854366,0.00877450945855513,0.0013103694290538352,0.012310180340883126,0.0012358481116339537,0.01249846549586961,-0.003169451713761536,0.009476883541332977,-0.0023473540565315323,0.010366225060106921,0.0013350722246344648,0.01235077607081135,-0.0026688511077884425,0.00986275805013463,1.0,1.0,-0.5812735212754555,1.7439188551497635,-1.3421222655482032,2.1377658582639136,-6.197685050988506,9.443843342886785,-6.315645724201813,10.711038769895616,0.3971463649756801,1.6546356682708394,-0.06819576279513044,2.073974177027287,-6.200354329988379,9.223906731293669,0.26284461699590805,1.903011410710773
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,emt_ecm,all,2627,A_SENDER_FINAL_strict,5707,0.04480084153674658,1.0,0.49142727333087904,0.010532026507864044,9.846163141991457,0.0004605951483340404,6.999999999999999,49.99999999999999,0,0.030931684438028968,49.99999999999999,-0.0011179936759787591,49.99999999999999,-0.0007830642240039191,8.580270099696204,0.0014809715586359203,8.41830478842856,0.0011885106465657842,49.99999999999999,-0.00047822577656580004,6.999999999999999,0.001218098779571568,0.0004605951483340404,1.0,1.3101874214055412e-05,0.028445532397474264,0.00046128149945211163,1.0014901397041496,0.001331795658249139,2.891466970649183,0.0010566185463558651,2.294028823746026,0.0004023333051357776,0.8735074752545825,0.001089047295358453,2.3644350126081575,0.0014884894661503828,3.231665534329241,0.0009182210425066225,1.9935534402127375,-0.0056805114301119956,0.007743474798162241,-0.006407634714014991,0.00706614913174987,-0.005731872574856252,0.00772630595653216,-0.0047094514978486945,0.008005116733548043,-0.004976915167958703,0.007653808343735887,-0.005605057942578799,0.0076845650698124865,-0.005061014759380706,0.008393860763278846,-0.004493963975048822,0.007984070364651454,-0.005087858138975963,0.008304323985407648,1.0,1.0,-2.0819047276176823,3.718450065913579,-2.3405660742916505,4.9569427535511785,-7.008881577154748,7.5842369464202255,-7.26703605836692,6.376691011534595,-0.6072179389543529,4.116411620519229,-2.130492867320428,3.1781042165513234,-8.937505303767189,6.917475019053829,-1.0114916147526898,4.97841636389934
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,il6_jak_stat3,all,2627,A_SENDER_FINAL_strict,5707,0.04480084153674658,1.0,0.49142727333087904,0.010532026507864044,18.695488006392324,0.0055123628561184225,6.999999999999999,49.99999999999999,0,0.03789661007335531,8.811971839619346,0.0055216421507540536,49.99999999999999,-0.0009649390002097135,49.99999999999999,-0.002168733797570563,49.99999999999999,-0.0020101108538461503,6.999999999999999,0.0009258347979933902,15.705310438446888,0.005041928263814384,0.0055123628561184225,1.0,0.004166204790085596,0.7557929147318986,-0.00011077415327499623,-0.020095584446521503,-0.0013141703458185614,-0.23840417986270696,-0.0012476452903536091,-0.22633584234549994,0.00040419592033479637,0.07332534720318001,0.004956110090602371,0.8990899583290963,-0.0013603276510565894,-0.2467775954818903,0.00016338240948826193,0.029639269720228296,-0.001064953666030888,0.011606784909347644,-0.0020267900021936147,0.010307914801183322,-0.006171886780409775,0.005558978290562659,-0.00836611621848146,0.005229602766758314,-0.008092470753258989,0.005546608917237631,-0.00597540977505145,0.006217628668243488,-0.001313665479346232,0.011264182821860898,-0.008390459253518062,0.005180847875205665,-0.006347827316761187,0.00607220746772233,1.0,1.0,-0.902639271018106,1.6811397448453507,-6.6938526922294175,5.023219734169819,-8.089370853007562,5.256031705419798,-8.028554090723501,5.276368984303044,-6.424882799577495,4.7864814875593655,-0.04387780531502651,1.6710335499694169,-8.057356196689744,5.477394070407112,-6.558643670907132,5.2617311980544885
