feature_type,n_feat,n_rows,I_median,I_mean,I_q05,I_q95,I_max,frac_I_gt_005,counts_median,nonzero_median
Genomic Control,21,231,-0.0002947399613198,0.0006362547959171398,-0.0006704148919974,0.0057867574401745,0.0136581353443782,0.0,63.0,0.0003841202169646
Negative Control Probe,40,440,-0.00011823692024735,0.00011479802291856613,-0.00037629382358239996,-2.743796329246076e-05,0.0200791256274156,0.0,21.0,0.0001325612643934
Negative Control Codeword,609,6699,-4.192088167504938e-05,0.00013228857263167175,-0.000199972680305255,-5.978987446538877e-06,0.0833199662868321,0.0005971040453799074,7.0,4.291983647542303e-05
Unassigned Codeword,7806,85866,-3.608693859042091e-05,0.00010257077511372502,-0.000167912014104675,-5.775148710069944e-06,0.1666610384832695,0.00043090396664570375,6.0,3.608563637019739e-05
Deprecated Codeword,8,88,-1.6926330364928346e-05,0.013999535869807216,-0.000347548547012775,0.09422301819351123,0.1613016522349165,0.125,26.0,0.00015923744218435002
Gene Expression,5106,56166,0.00999062595770095,0.021836381656546888,-0.000413983064707275,0.08722591473663807,0.704971472300612,0.11647615995442083,5884.5,0.032882724961399254
