section,call,n_receivers,lam_naive,a7_beta_z,I_controls,SE_I,I_kernel,var_k,dI_from_a7_gradient,dI_as_frac_of_I_controls,beta_min_visible_to_moran
7259_liver_sbr_Male_26-U1,tierA_p95,108838,37.505625021398046,-0.056902634942235394,0.008987667179062457,0.00167377339694675,0.8400365996925062,0.03485077534189573,9.479281219309226e-05,0.010546987366635056,0.3381489177973856
7259_liver_sbr_Male_26-U1,cdkn1a_pos,109505,14.018593166345164,0.010834081351976598,0.007147021898453518,0.0016665190121339856,0.7462681700472584,0.023994114640891035,2.1017634369127537e-06,0.0002940754158550341,0.43143990351022543
7260_liver_sbr_Male_26-U1,tierA_p95,170648,17.941522231565532,-0.14796647659627182,0.022404119316106218,0.0013362099181690062,0.7659876906586052,0.03547921014890744,0.0005950074429224063,0.026557948318667368,0.3135844195478797
7260_liver_sbr_Male_26-U1,cdkn1a_pos,168700,49.99999999999999,0.1343923924220822,0.018204644939271424,0.0013424898234552676,0.8371539405190578,0.030995078798892926,0.00046864872631831745,0.025743359888735818,0.3216780768402576
7001_liver_sham_Male_52-U1,tierA_p95,149159,14.106781612764188,-0.18300505168357,0.045475996511579984,0.00142828865618429,0.7113709932739142,0.023032469514442218,0.0005487351922765308,0.012066479777673507,0.41754632203379666
7001_liver_sham_Male_52-U1,cdkn1a_pos,148011,49.99999999999999,0.16358622802188283,0.04462256402028453,0.0014330374872588113,0.7962605079409744,0.03146042686359048,0.0006703679838724311,0.015023071815588524,0.3382469426253817
7248_liver_sham_Male_26-U1,tierA_p95,195856,49.99999999999999,-0.19956076453382016,0.06032230372620829,0.0012576898800111748,0.8153987150570973,0.03247147493612568,0.001054441175816997,0.01748012112738448,0.30822350995254394
7248_liver_sham_Male_26-U1,cdkn1a_pos,193840,49.99999999999999,0.0701235276063377,0.05596344298458672,0.0012631616078485372,0.8237759636857153,0.03120989741912354,0.0001264238372246392,0.0022590432339814844,0.31346837170152325
7352_liver_sham_Male_2-U1,tierA_p95,115704,49.99999999999999,-0.13135931640046777,0.058610862529006366,0.0016362986998214807,0.7961786250813151,0.029932790360466973,0.00041122496978943514,0.00701619037914552,0.3705675886604714
7352_liver_sham_Male_2-U1,cdkn1a_pos,114236,22.98872832445815,0.06714848635872411,0.060948108583634523,0.0016448551990298802,0.7237567438298168,0.03094638763018296,0.0001009892249843104,0.0016569706153510976,0.38324592122383305
7435_liver_sham_Male_10-U1,tierA_p95,143046,49.99999999999999,-0.07961092962875642,0.07146100043543971,0.0014731636927071826,0.796815648787666,0.030937143416281145,0.00015623684336654592,0.0021863232030692823,0.3457175834064432
7435_liver_sham_Male_10-U1,cdkn1a_pos,129249,19.08679757578248,0.009652038020858688,0.06405898285075509,0.0015472385642582086,0.7597850583639568,0.019317540197698223,1.367352916364386e-06,2.134521741548802e-05,0.45916878029165764
7239_liver_sbr_Male_52-U1,tierA_p95,71945,28.499999999999996,-0.2787327023571562,0.042100389471111284,0.002061428629108618,0.8074879869105875,0.040780553430215014,0.002558379909663686,0.06076855681867769,0.35383806942402224
7239_liver_sbr_Male_52-U1,cdkn1a_pos,59412,6.999999999999999,-0.1719325996410557,0.03285078598332493,0.002254468088849704,0.4123114916609745,0.009556920026974159,0.00011648227675988956,0.0035457987769003762,1.069708257892494
7448_liver_sbr_Male_10-U1,tierA_p95,153724,49.99999999999999,-0.20521577652881395,0.030092277653342554,0.0014061494321799006,0.8429961440924502,0.0320657358325911,0.0011383827052552174,0.037829728888227554,0.32255021556268904
7448_liver_sbr_Male_10-U1,cdkn1a_pos,145887,6.999999999999999,-0.2488195453865592,0.02977432497409366,0.001440263198360305,0.5372635959199281,0.00852740285750703,0.0002836437246982505,0.009526453578546147,0.7929281425799042
7361_liver_sbr_Male_2-U1,tierA_p95,152105,49.99999999999999,-0.1813184329463865,0.03863250887378551,0.0014247813832102402,0.8519429471494089,0.03367525597176058,0.0009432033432611423,0.024414757693905886,0.3151580502303139
7361_liver_sbr_Male_2-U1,cdkn1a_pos,130512,33.699310093135864,-0.0612716491088904,0.03121822093826492,0.001531731177994854,0.6138420399136914,0.017968789496860232,4.140898527078912e-05,0.0013264364216230252,0.5270096278288633
7450_liver_sbr_Male_10-U1,tierA_p95,76482,49.99999999999999,-0.12194245826330276,0.04355756706909301,0.0020046049002369845,0.8240207519973733,0.03378743460722573,0.000414002781358025,0.009504726944489688,0.37947459668273414
7450_liver_sbr_Male_10-U1,cdkn1a_pos,71003,26.448852904970742,-0.04404762178712045,0.041377978964888526,0.0020744169310330978,0.6286557013882902,0.02569221575255345,3.1337139363471814e-05,0.0007573385686638559,0.5068224133316377
7250_liver_sham_Male_26-U1,tierA_p95,206766,49.99999999999999,-0.036912285801861344,0.02437690501766497,0.0012264396618516717,0.8007102972876406,0.0288038575592946,3.142446900048969e-05,0.0012891082349345674,0.32611821539066066
7250_liver_sham_Male_26-U1,cdkn1a_pos,132923,17.846159415179265,0.0348656329070361,0.03118633736883321,0.0015236560111863498,0.8114022239045214,0.015223873652646195,1.5016076465455925e-05,0.00048149535124514465,0.4966812668886308
