section,arm,band,n_cells,weights,mean_neighbours,islands,centring,field,kind,moran_I,E_I,z_rand,p_rand,z_norm,p_norm,p_sim,mean,sd,frac_nonzero
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,knn6,6.0,0,raw,neg_control_probe,control,0.000952926841935673,-7.850217843545158e-06,0.6231949493462287,0.5331564203069517,0.6221760595035228,0.5338261062938221,0.577,0.0028967076444821253,0.05504197980841968,0.0028260562385191467
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,knn6,6.0,0,raw,neg_control_codeword,control,0.010642960745026117,-7.850217843545158e-06,6.90004191616146,5.198719743132903e-12,6.89720838767523,5.303435919315368e-12,0.001,0.0128428555728259,0.11609751318528976,0.012481748386792897
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,knn6,6.0,0,raw,genomic_control,control,0.010809553659671834,-7.850217843545158e-06,7.008748736300516,2.404588342254153e-12,7.005089942631691,2.4682721777331166e-12,0.001,0.01271725307333616,0.12016472876826619,0.011869436201780416
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,knn6,6.0,0,raw,all_controls,control,0.011022839463727391,-7.850217843545158e-06,7.144787480830689,9.01352304769923e-13,7.143208687000776,9.117703748403746e-13,0.001,0.028456816290644185,0.176977114360359,0.026816133641059458
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,knn6,6.0,0,raw,neg_probe_rate,control,0.0009652600652224192,-7.850217843545158e-06,0.7256698147121826,0.4680412107386902,0.6301627575490488,0.5285881029679622,0.077,4.848521167724078e-06,0.0001828038431977744,0.0028260562385191467
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,knn6,6.0,0,raw,downstream_arrest,module,0.057120310816625296,-7.850217843545158e-06,36.99509268854212,1.3732707973092071e-299,36.99481972152448,1.3872191175308368e-299,0.001,6.85094108001545e-05,0.01577273079478552,0.47716389556152167
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,knn6,6.0,0,raw,emt_ecm,module,0.15496382142791473,-7.850217843545158e-06,100.35672334419692,0.0,100.35591817875884,0.0,0.001,0.040571726483866935,0.03904576813224902,0.900232364624056
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,knn6,6.0,0,raw,il6_jak_stat3,module,0.08725730503231734,-7.850217843545158e-06,56.51112356944088,0.0,56.51081057033649,0.0,0.001,0.013981934825891633,0.03559963276667908,0.5899235394784356
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,knn6,6.0,0,raw,interferon_response,module,0.1377021974772823,-7.850217843545158e-06,89.17841278179091,0.0,89.17770668742278,0.0,0.001,0.02972771521259193,0.033212687887865106,0.8287723925706122
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,knn6,6.0,0,raw,oxidative_stress,module,0.09161162465914487,-7.850217843545158e-06,59.330519053008494,0.0,59.33056297768576,0.0,0.001,0.06860431059469153,0.055925271585065765,0.877058703468199
7259_liver_sbr_Male_26-U1,sbr,in_band,127386,knn6,6.0,0,raw,secondary_senescence,module,0.07424625720929365,-7.850217843545158e-06,48.08528463641724,0.0,48.08516969751944,0.0,0.001,0.03765587929939632,0.023302190375203015,0.9516194872277959
