section,arm,band,n_cells,field,kind,frac_nonzero,band100um_ctcentred,band100um_raw,band30um_ctcentred,band30um_raw,band50um_ctcentred,band50um_raw,knn10_ctcentred,knn10_raw,knn20_ctcentred,knn20_raw,knn4_ctcentred,knn4_raw,knn6_ctcentred,knn6_raw,n_fits,a7_base,a7_n6,a7_n5,a7_n6n5,a7_n2,a7_frac_CI_excl_0
7001_liver_sham_Male_52-U1,sham,in_band,165961,all_controls,control,0.0587186146142768,0.0433638086984249,0.0443995487112908,0.0467476072564293,0.0482236668967708,0.0455188059938917,0.0467800737089976,0.0454581890907907,0.0470928252421917,0.0453076038828201,0.0467315053040977,0.0460145516393752,0.0478810100403712,0.0475042307799503,0.049194435208201,17.0,0.00048444933696383956,-0.011324171700134774,-0.011307155217637728,-0.006985842787582053,-0.003553241401609238,0.7058823529411765
7001_liver_sham_Male_52-U1,sham,in_band,165961,cell_area,technical,1.0,0.0387354715986906,0.0590371279786654,0.0701554848809091,0.1098868487399867,0.0557768855668758,0.0868885373708721,0.0709288734574195,0.1187441381955436,0.0595539334039645,0.0977116636535326,0.0807390711046125,0.1343728350153125,0.0783650158811571,0.1307475225425236,,,,,,,
7001_liver_sham_Male_52-U1,sham,in_band,165961,density_50um,technical,0.9998071836154278,0.5639774977486027,0.6465113384134049,0.8172503794244876,0.9259702861065215,0.7460991559348771,0.8571479717200778,0.8091209534244072,0.9192453351431172,0.7740561514779212,0.8878306985740058,0.8512940798263324,0.9524652199720796,0.8348765753157362,0.940045657677209,,,,,,,
7001_liver_sham_Male_52-U1,sham,in_band,165961,downstream_arrest,module,0.6771530660817903,0.014434240846497,0.0249239773435712,0.0374884483537689,0.0648036531925635,0.0245473041270323,0.0419833386008478,0.0398840300542257,0.0687269160128667,0.0290214588600109,0.0500291276418232,0.0573665470090056,0.1008365163687369,0.0492004147221676,0.0850172789611736,17.0,0.16834122991825437,0.10055304342173332,0.012825819225838992,0.011430750418404599,0.1630186011335766,
7001_liver_sham_Male_52-U1,sham,in_band,165961,emt_ecm,module,0.7672947258693308,0.0650357335907856,0.0840947258935285,0.1400751610700523,0.1789890002113565,0.1032809793412354,0.1326586542296219,0.1481445477205147,0.1895845194443381,0.1204965812069213,0.1524770196936581,0.1881780626203765,0.253353145302665,0.1701391743907103,0.2220541036595752,17.0,0.5474214358160012,0.2168388026948913,0.0712801956188372,-0.00453497743482835,0.5335197539675351,
7001_liver_sham_Male_52-U1,sham,in_band,165961,genomic_control,control,0.0096046661565066,0.0012522270667189,0.0013182722193951,0.0009568944714263,0.0010795014896513,0.0006403924746216,0.0007260352310012,0.0010138625741607,0.0011189360084715,0.0005145345881932,0.0006130184873654,0.0011210060041465,0.0012345813970137,0.0023126957602673,0.0024219014445774,17.0,-0.051900662920157284,-0.05173232629234741,-0.02244759447826811,-0.02247652382616818,-0.05078836468626481,0.23529411764705882
7001_liver_sham_Male_52-U1,sham,in_band,165961,il6_jak_stat3,module,0.3838793451473539,0.0384246037595573,0.0424985138701205,0.0995469038139582,0.1070949428242332,0.072953361062354,0.0803787141984666,0.1038380456314275,0.116277056037278,0.0861154502928163,0.0978139539394471,0.1239916862088712,0.1264801778483426,0.1145890971441148,0.1216950124171522,17.0,0.6583752174832531,0.41306622396994414,0.20225980853625064,0.12494627019078258,0.649788603011147,
7001_liver_sham_Male_52-U1,sham,in_band,165961,interferon_response,module,0.5081977091003308,0.0445956048056862,0.0508376898543293,0.1280203668587959,0.1530934742463289,0.0918496179870376,0.1083609108526257,0.1320643069870644,0.1634329871817144,0.1091928827819872,0.1333158428965137,0.1547983954635103,0.1927147232438862,0.1446277738604407,0.1798373869842796,17.0,0.5093318942124452,0.22783206735283132,0.0838627400252211,0.01715207374105016,0.5002284083606758,
7001_liver_sham_Male_52-U1,sham,in_band,165961,neg_control_codeword,control,0.0434077885768343,0.0416234716584834,0.0425669547552077,0.0452115837980106,0.0465028749479457,0.044459095381047,0.0455426163078676,0.0441981052239458,0.0456198250586232,0.0443072704359557,0.0455237473273703,0.0439838866760628,0.0455655430044525,0.0457545387246809,0.0471835993731029,17.0,0.001228860257727954,-0.013400988723883017,-0.01880887726033576,-0.01493634182456236,-0.0034546348309802866,0.7058823529411765
7001_liver_sham_Male_52-U1,sham,in_band,165961,neg_control_probe,control,0.0075017624622652,0.0052574325644247,0.0054577975952768,0.0062094055305828,0.0064730517855251,0.006436111483941,0.0067033248279561,0.0055492997139478,0.0058539810652004,0.0057893519854108,0.006086582612419,0.0049638043105899,0.005355600131275,0.0053797448407043,0.005751618114184,17.0,0.05086644220949301,0.04747698997456913,0.03059260321134303,0.030417118831213646,0.04962479740943256,0.47058823529411764
7001_liver_sham_Male_52-U1,sham,in_band,165961,neg_probe_rate,control,0.0075017624622652,0.0008626974742047,0.0009007425887841,-0.0006991864867374,-0.0006193602361888,0.0009553144635149,0.0010058614680097,-0.0006837246967574,-0.0006339868213546,0.0007184309956595,0.000771670608762,-0.0012257069490972,-0.0011773366156084,-0.0012988301688452,-0.0012517169178683,17.0,0.06264278157020134,0.06187978760292901,0.03787842105002447,0.03761330071553156,0.061864548802835616,0.4117647058823529
7001_liver_sham_Male_52-U1,sham,in_band,165961,oxidative_stress,module,0.9224094817457114,0.0417423781954647,0.0521444178943987,0.0714060145627728,0.0977005653297898,0.0578827206553926,0.0757600983088432,0.0723809958713406,0.102831867617284,0.062039817326259,0.0843632012076522,0.0867019738293802,0.1279181971551113,0.0807657882948094,0.1171130132180244,17.0,-0.3280299610634611,-0.2288876277959341,0.04259838815245518,0.04863742431509429,-0.3212377291686027,
7001_liver_sham_Male_52-U1,sham,in_band,165961,secondary_senescence,module,0.7813160923349461,0.0399536636863488,0.0595759838182872,0.0874853646213366,0.1218300065779856,0.0646952284971244,0.092571913648124,0.0895004621822127,0.1299481156921414,0.0736393381736219,0.1059834708834317,0.1086391797562058,0.1612030604935713,0.0999535866332753,0.1469808322935595,17.0,0.32199985194192743,0.14289978082977037,0.06581912155297054,0.014378942122158104,0.31357823114268785,
7001_liver_sham_Male_52-U1,sham,in_band,165961,tnfa_nfkb_proximal,module,0.3721898518326594,0.0606690162337019,0.058188320912422,0.1911841065848277,0.1899757211167997,0.1352388559222863,0.1327011213888857,0.2005754760330503,0.2016050936408598,0.163417869340828,0.162696159342863,0.2428725593456843,0.2436144186808833,0.2256281658584454,0.226464170161683,17.0,0.8393184538107503,0.39258081932825484,0.4000570967297466,0.20818908697593896,0.8283892883265682,
7001_liver_sham_Male_52-U1,sham,in_band,165961,transcript_counts,technical,1.0,0.1652141210622352,0.1475643289173445,0.2033043118486617,0.1892331982800481,0.187621154235077,0.1716125796384975,0.2001074891433188,0.1908956276503129,0.1893205369162936,0.1767622958948585,0.2032138213629055,0.1949226505813492,0.2059995758254419,0.1974087442547111,,,,,,,
7001_liver_sham_Male_52-U1,sham,in_band,165961,unassigned_codeword,technical,0.3144533956772977,0.2279342870926008,0.2267858879799254,0.250469365191869,0.2506387422972422,0.2410779727926011,0.2404033070504565,0.2447558089902802,0.2456695183075508,0.2398087944785296,0.2397559331142172,0.2436971455614025,0.2448652422879776,0.2470726236817522,0.2481111694160518,,,,,,,
7239_liver_sbr_Male_52-U1,sbr,over_ceiling,83392,all_controls,control,0.1169656561780506,0.0290219564870868,0.0324380683320352,0.0370317583936423,0.0430578381329127,0.0330857039646343,0.0377237811063665,0.0360123076639092,0.0429270996225034,0.0334387255908359,0.039472141826534,0.033376060644787,0.0400508236879078,0.0359313913531451,0.0429617383208751,12.0,-0.22533265099910593,-0.18767232432723466,0.02589315008974632,0.032484053653775886,-0.16730371551797263,0.4166666666666667
7239_liver_sbr_Male_52-U1,sbr,over_ceiling,83392,cell_area,technical,1.0,0.0271442265891932,0.0533683977738225,0.0450090095704598,0.0859544808379643,0.0372771498963025,0.0722356995446267,0.0480542498511007,0.0949005128269264,0.0420156411817814,0.0835870651901982,0.0425962564069781,0.083722017979663,0.0464240684766904,0.0940767650796339,,,,,,,
