cl,Hepatocytes,Biliary/ductular,Hepatic stellate cells,Portal fibroblasts,LSECs,Central venous LSECs,Portal endothelial cells,Kupffer cells,Inflammatory macs,T/NK cells,B-cells,Plasma,DC,vSMCs,Pericytes,Mesothelial cells,Proliferating
0,0.489,-0.281,-0.459,-0.523,-0.483,-0.399,-0.45,-0.513,-0.483,-0.253,-0.28,-0.346,-0.381,-0.302,-0.406,-0.283,-0.349
1,1.099,-0.121,-0.476,-0.519,-0.543,-0.44,-0.349,-0.41,-0.451,-0.269,-0.185,0.166,-0.395,-0.298,-0.444,-0.417,-0.264
2,0.591,-0.266,-0.261,-0.46,1.335,0.239,0.614,-0.27,-0.384,-0.255,-0.258,-0.191,0.023,-0.305,-0.139,-0.383,-0.255
3,-1.315,-0.29,1.272,2.046,0.195,-0.12,-0.169,-0.35,0.008,-0.159,-0.234,-0.424,-0.099,0.387,0.393,0.699,-0.28
4,-1.523,-0.306,0.894,1.433,0.594,0.149,3.172,-0.598,-0.138,-0.233,-0.279,-0.257,-0.176,4.369,1.86,-0.253,-0.278
5,0.037,-0.28,-0.057,-0.326,-0.072,-0.298,-0.404,3.004,1.295,-0.235,-0.185,-0.066,0.339,-0.298,0.104,-0.377,-0.195
6,0.16,-0.222,-0.04,-0.202,0.4,-0.114,-0.158,1.128,0.382,-0.181,-0.195,-0.034,0.112,-0.296,-0.043,-0.353,4.383
7,-1.162,-0.183,0.555,0.977,-0.244,-0.148,-0.353,1.652,2.847,0.192,0.132,-0.072,3.736,0.275,0.053,-0.095,0.239
8,0.022,-0.302,2.707,1.197,-0.129,-0.113,-0.228,0.099,-0.197,-0.242,-0.26,-0.374,-0.23,-0.24,2.239,0.194,-0.263
9,-0.543,-0.346,-0.034,-0.361,2.612,1.364,1.097,0.104,-0.186,-0.242,-0.288,-0.392,0.513,-0.313,0.114,-0.381,-0.237
10,0.707,-0.181,-0.476,-0.467,-0.562,-0.383,-0.449,-0.38,-0.399,-0.214,-0.204,0.047,-0.389,-0.304,-0.399,-0.328,-0.255
11,0.608,-0.273,-0.565,-0.518,-0.643,-0.357,-0.495,-0.549,-0.519,-0.251,-0.267,-0.313,-0.422,-0.316,-0.474,-0.425,-0.33
12,1.111,-0.229,-0.532,-0.55,-0.61,-0.425,-0.482,-0.385,-0.489,-0.274,-0.265,-0.149,-0.411,-0.319,-0.479,-0.397,-0.274
13,0.471,-0.249,-0.587,-0.539,-0.649,-0.362,-0.493,-0.442,-0.518,-0.247,-0.259,-0.288,-0.417,-0.312,-0.514,-0.315,-0.316
14,-0.511,-0.28,0.145,0.65,-0.179,-0.214,-0.28,0.21,0.383,4.31,-0.155,0.156,0.084,-0.044,0.068,-0.245,0.058
15,0.973,-0.192,-0.579,-0.554,-0.648,-0.437,-0.49,-0.326,-0.504,-0.261,-0.268,-0.111,-0.407,-0.317,-0.541,-0.373,-0.252
16,1.174,-0.096,-0.533,-0.548,-0.626,-0.454,-0.419,-0.302,-0.474,-0.27,-0.219,0.058,-0.402,-0.305,-0.559,-0.364,-0.237
17,-0.162,-0.272,-0.134,-0.277,0.066,-0.224,-0.272,0.401,-0.038,0.057,4.343,2.254,-0.052,-0.242,0.016,-0.217,-0.044
18,-1.137,-0.379,0.255,0.333,1.684,3.584,1.234,-0.544,-0.248,-0.251,-0.298,-0.59,-0.022,-0.005,-0.02,0.713,-0.295
19,1.374,-0.187,-0.521,-0.561,-0.638,-0.465,-0.424,-0.412,-0.499,-0.278,-0.237,-0.055,-0.417,-0.306,-0.571,-0.401,-0.278
20,-1.565,0.661,-0.351,-0.279,-0.259,0.046,-0.031,-0.572,0.577,-0.208,-0.19,1.281,-0.328,-0.29,-0.013,1.76,-0.179
21,-0.898,4.274,-0.223,0.048,-0.604,-0.429,-0.171,-0.544,0.036,-0.234,0.051,-0.298,-0.259,-0.219,-0.246,2.239,-0.098
