cl,Hepatocytes,Biliary/ductular,Hepatic stellate cells,Portal fibroblasts,LSECs,Central venous LSECs,Portal endothelial cells,Kupffer cells,Inflammatory macs,T/NK cells,B-cells,Plasma,DC,vSMCs,Pericytes,Mesothelial cells,Proliferating
0,-0.5,-0.276,-0.102,-0.287,3.332,2.125,2.036,-0.347,-0.32,-0.263,-0.263,-0.322,0.392,-0.268,0.058,-0.417,-0.24
1,-0.761,-0.267,0.138,-0.17,0.113,-0.261,-0.363,3.018,1.887,-0.236,-0.183,-0.214,0.329,-0.227,0.168,-0.496,-0.131
2,-0.375,-0.285,2.973,1.202,-0.04,0.148,-0.1,0.053,-0.209,-0.255,-0.253,-0.382,-0.223,-0.107,2.232,-0.126,-0.244
3,-1.7,-0.19,1.766,2.622,1.319,2.638,2.945,-0.512,0.292,-0.224,-0.233,-0.289,0.005,4.209,2.036,1.933,-0.212
4,0.836,-0.242,-0.192,-0.321,-0.326,-0.4,-0.304,0.693,0.105,-0.233,-0.24,-0.035,-0.261,-0.27,-0.213,-0.517,-0.214
5,0.731,-0.235,-0.464,-0.378,-0.561,-0.46,-0.442,-0.58,-0.567,-0.284,-0.265,-0.178,-0.394,-0.278,-0.44,-0.396,-0.324
6,-0.926,-0.256,-0.046,0.309,0.066,-0.023,-0.185,0.14,0.635,4.037,-0.153,0.27,0.006,-0.132,-0.007,-0.512,-0.022
7,0.914,-0.24,-0.522,-0.374,-0.59,-0.434,-0.483,-0.509,-0.552,-0.277,-0.268,-0.063,-0.402,-0.291,-0.446,-0.358,-0.32
8,1.265,-0.169,-0.378,-0.367,-0.548,-0.466,-0.306,-0.463,-0.519,-0.28,-0.262,0.071,-0.39,-0.262,-0.413,-0.403,-0.308
9,-1.076,4.224,-0.021,0.2,-0.477,-0.425,0.122,-0.623,0.151,-0.267,-0.125,-0.377,-0.288,0.039,0.119,2.266,-0.175
10,-0.948,-0.251,-0.256,-0.276,0.15,0.182,0.051,-0.598,-0.393,-0.231,-0.251,-0.392,-0.258,-0.221,-0.339,1.208,-0.333
11,1.127,-0.141,-0.422,-0.365,-0.587,-0.477,-0.359,-0.44,-0.519,-0.278,-0.258,0.068,-0.388,-0.269,-0.442,-0.302,-0.29
12,0.839,-0.192,-0.529,-0.369,-0.598,-0.443,-0.479,-0.43,-0.538,-0.273,-0.264,-0.034,-0.389,-0.286,-0.473,-0.183,-0.298
13,-1.18,-0.085,0.098,0.482,-0.072,-0.052,-0.396,0.992,2.021,0.367,0.027,0.105,3.646,0.025,0.12,0.193,0.248
14,0.83,-0.248,-0.462,-0.359,-0.461,-0.367,-0.368,-0.471,-0.523,-0.26,-0.261,-0.167,-0.382,-0.284,-0.427,-0.369,-0.271
15,0.868,-0.163,-0.416,-0.372,-0.533,-0.452,-0.338,-0.377,-0.504,-0.266,-0.253,-0.032,-0.378,-0.28,-0.482,-0.016,-0.255
16,0.809,-0.207,-0.452,-0.309,-0.468,-0.297,-0.434,-0.43,-0.427,-0.236,-0.234,-0.066,-0.258,-0.277,-0.433,-0.534,-0.316
17,0.346,-0.231,-0.51,-0.342,-0.6,-0.341,-0.493,-0.519,-0.541,-0.272,-0.247,-0.242,-0.403,-0.278,-0.45,-0.375,-0.321
18,-0.796,-0.297,-0.098,-0.28,0.34,-0.092,-0.169,0.175,-0.065,-0.047,4.203,2.335,-0.05,-0.275,-0.026,-0.312,-0.095
19,-0.305,-0.251,-0.104,-0.245,0.541,-0.103,0.064,1.229,0.586,-0.22,-0.22,-0.059,0.086,-0.268,-0.141,-0.283,4.121
