cl,Hepatocytes,Biliary/ductular,Hepatic stellate cells,Portal fibroblasts,LSECs,Central venous LSECs,Portal endothelial cells,Kupffer cells,Inflammatory macs,T/NK cells,B-cells,Plasma,DC,vSMCs,Pericytes,Mesothelial cells,Proliferating
0,-0.819,-0.207,3.122,2.762,0.191,-0.076,-0.112,0.18,-0.127,-0.291,-0.24,-0.418,-0.198,0.747,1.314,2.277,-0.325
1,-0.952,-0.441,0.045,0.089,-0.257,-0.296,-0.358,0.533,0.477,-0.183,-0.222,-0.336,-0.24,-0.085,-0.128,-0.126,-0.333
2,1.08,-0.031,-0.603,-0.582,-0.441,-0.371,-0.313,-0.691,-0.576,-0.362,-0.281,-0.198,-0.448,-0.489,-0.504,-0.378,-0.463
3,-0.384,-0.414,-0.013,0.087,0.091,-0.281,-0.371,3.195,1.925,-0.245,-0.069,-0.076,0.002,0.018,-0.257,-0.244,-0.106
4,0.725,-0.507,1.771,0.867,-0.09,-0.198,-0.183,-0.211,-0.51,-0.314,-0.298,-0.229,-0.341,-0.069,0.979,0.018,-0.374
5,-0.566,-0.387,-0.081,0.439,-0.274,-0.272,-0.341,0.448,0.228,3.882,-0.186,0.047,-0.177,-0.141,-0.106,-0.213,0.025
6,0.081,-0.507,-0.104,-0.331,2.698,1.317,1.485,-0.305,-0.574,-0.325,-0.309,-0.189,0.241,-0.279,0.237,-0.462,-0.375
7,-0.939,2.125,-0.297,-0.252,-0.434,-0.351,-0.148,-0.557,-0.17,-0.336,-0.174,-0.419,-0.408,-0.285,-0.238,0.314,-0.414
8,-0.947,2.676,-0.424,-0.358,-0.486,-0.256,-0.068,-0.404,0.395,-0.316,-0.076,-0.399,-0.364,-0.166,0.305,0.173,-0.332
9,0.23,1.511,-0.313,-0.376,-0.43,-0.363,-0.153,-0.57,-0.229,-0.346,-0.193,-0.272,-0.43,-0.381,-0.249,0.02,-0.353
10,-0.911,-0.244,-0.03,0.117,-0.203,0.017,-0.397,0.824,1.422,0.078,-0.141,-0.269,2.901,-0.017,-0.192,-0.325,1.894
11,1.732,-0.527,-0.743,-0.693,-0.492,-0.399,-0.37,-0.715,-0.739,-0.356,-0.319,0.094,-0.483,-0.531,-0.618,-0.519,-0.464
12,1.612,-0.54,-0.864,-0.698,-0.531,-0.405,-0.438,-0.751,-0.823,-0.356,-0.322,0.128,-0.486,-0.592,-0.62,-0.558,-0.447
13,-0.849,-0.666,-0.089,0.127,2.244,3.27,3.413,-0.128,-0.286,-0.275,-0.299,-0.088,-0.079,3.45,1.63,0.423,-0.395
14,0.634,-0.421,-0.842,-0.669,-0.469,-0.41,-0.437,-0.679,-0.451,-0.354,-0.289,-0.102,-0.453,-0.378,-0.609,-0.604,-0.291
15,-0.692,-0.468,-0.089,0.028,-0.235,-0.342,-0.391,0.39,0.123,0.228,4.048,2.993,0.445,-0.265,-0.255,0.275,-0.117
16,0.67,-0.22,0.206,0.096,-0.121,-0.226,-0.117,-0.226,0.019,0.177,-0.201,0.053,-0.297,-0.595,-0.192,-0.292,-0.31
17,1.297,-0.421,-0.501,-0.612,-0.421,-0.378,-0.31,-0.663,-0.59,-0.361,-0.317,-0.025,-0.447,-0.425,-0.388,-0.546,3.119
18,-1.004,-0.312,-0.15,-0.043,-0.34,0.021,-0.39,0.329,0.485,0.052,-0.111,-0.293,1.263,0.485,-0.11,0.767,0.061
