cl,Hepatocytes,Biliary/ductular,Hepatic stellate cells,Portal fibroblasts,LSECs,Central venous LSECs,Portal endothelial cells,Kupffer cells,Inflammatory macs,T/NK cells,B-cells,Plasma,DC,vSMCs,Pericytes,Mesothelial cells,Proliferating
0,0.482,-0.354,-0.704,-0.542,-0.602,-0.363,-0.416,-0.567,-0.638,-0.087,-0.254,-0.236,-0.425,-0.483,-0.612,-0.422,-0.414
1,0.87,-0.228,-0.481,-0.492,-0.501,-0.355,-0.333,-0.45,-0.445,-0.247,-0.274,-0.036,-0.413,-0.433,-0.558,-0.436,2.103
2,1.199,-0.238,-0.633,-0.509,-0.584,-0.398,-0.382,-0.441,-0.565,-0.25,-0.279,-0.01,-0.417,-0.454,-0.587,-0.367,-0.4
3,1.641,-0.23,-0.418,-0.424,-0.548,-0.395,-0.325,-0.466,-0.516,-0.3,-0.282,0.064,-0.419,-0.393,-0.536,-0.317,-0.404
4,1.068,-0.327,-0.628,-0.525,-0.552,-0.373,-0.415,-0.551,-0.558,-0.227,-0.271,-0.101,-0.426,-0.474,-0.571,-0.397,-0.413
5,0.961,-0.297,-0.327,-0.41,-0.38,-0.35,-0.345,1.36,0.37,-0.239,-0.22,-0.043,-0.266,-0.338,-0.351,-0.353,-0.279
6,1.265,-0.292,-0.596,-0.513,-0.568,-0.388,-0.348,-0.451,-0.465,-0.202,-0.265,-0.06,-0.417,-0.457,-0.593,-0.192,-0.348
7,0.828,-0.185,-0.597,-0.488,-0.569,-0.378,-0.398,-0.474,-0.227,-0.211,-0.253,-0.034,-0.365,-0.406,-0.594,-0.371,-0.348
8,-0.921,2.638,-0.081,-0.024,-0.554,-0.381,-0.243,-0.547,-0.068,-0.294,-0.197,-0.374,-0.362,-0.312,-0.171,1.188,-0.308
9,-1.478,3.449,-0.046,0.338,-0.611,-0.382,-0.252,-0.419,0.646,-0.263,-0.122,-0.37,-0.277,-0.226,0.62,2.094,-0.132
10,-0.538,-0.063,2.654,2.635,-0.205,-0.237,-0.282,-0.146,-0.044,-0.262,-0.248,-0.353,-0.207,0.369,0.595,1.924,-0.319
11,-0.256,-0.38,2.98,1.102,-0.099,-0.03,-0.12,0.278,-0.216,-0.268,-0.271,-0.352,-0.265,0.91,2.999,-0.332,-0.326
12,-0.787,-0.313,0.011,0.475,-0.253,-0.186,-0.319,0.44,0.361,4.047,-0.175,0.169,-0.052,0.072,-0.102,-0.284,-0.105
13,-0.657,-0.325,0.1,0.053,-0.179,-0.266,-0.407,3.462,2.903,-0.209,-0.048,0.008,0.305,-0.03,-0.165,-0.192,-0.129
14,0.104,-0.365,-0.596,-0.503,-0.387,-0.315,-0.375,-0.662,-0.584,-0.266,-0.29,-0.352,-0.402,-0.429,-0.56,-0.199,-0.428
15,-0.645,-0.315,-0.008,0.323,1.276,0.281,3.433,-0.657,-0.27,-0.287,-0.296,0.14,-0.08,4.03,1.201,-0.206,-0.359
16,-1.046,-0.114,0.242,0.488,-0.374,0.061,-0.34,0.613,1.401,0.029,-0.126,-0.348,3.336,0.465,-0.116,-0.093,0.3
17,-0.031,-0.363,-0.165,-0.383,2.388,0.635,0.978,-0.093,-0.33,-0.263,-0.274,-0.028,0.135,-0.365,0.221,-0.289,-0.312
18,-0.52,-0.29,-0.197,-0.206,-0.313,-0.325,-0.307,-0.222,0.086,0.548,0.642,0.031,1.516,-0.136,-0.075,-0.323,-0.192
19,-1.271,-0.432,-0.004,0.303,1.817,3.861,1.16,-0.579,-0.377,-0.267,-0.288,-0.539,-0.137,0.048,0.053,0.4,-0.41
20,-0.653,-0.362,-0.176,-0.247,0.098,-0.176,-0.239,0.599,-0.04,-0.036,4.232,2.66,-0.159,-0.293,-0.125,-0.16,-0.154
21,-0.633,-0.331,0.136,-0.008,2.093,0.789,0.604,0.034,-0.176,-0.263,-0.242,0.218,0.121,-0.276,0.509,-0.21,3.697
22,1.021,-0.286,-0.465,-0.443,-0.394,-0.329,-0.331,-0.062,-0.247,-0.186,-0.2,-0.054,-0.325,-0.389,-0.481,-0.46,-0.318
