cl,Hepatocytes,Biliary/ductular,Hepatic stellate cells,Portal fibroblasts,LSECs,Central venous LSECs,Portal endothelial cells,Kupffer cells,Inflammatory macs,T/NK cells,B-cells,Plasma,DC,vSMCs,Pericytes,Mesothelial cells,Proliferating
0,0.926,-0.384,-0.727,-0.533,-0.308,-0.3,-0.303,-0.332,-0.438,-0.261,-0.268,-0.094,-0.359,-0.287,-0.463,-0.318,-0.293
1,-0.46,-0.428,0.14,0.014,0.101,-0.22,-0.344,3.819,2.301,-0.192,-0.073,0.183,0.154,-0.077,-0.055,-0.279,-0.049
2,-1.079,2.636,-0.286,-0.28,-0.483,-0.307,-0.108,-0.477,-0.13,-0.259,-0.165,-0.39,-0.35,-0.266,-0.173,0.324,-0.193
3,-0.144,-0.353,3.463,1.997,0.051,-0.119,-0.154,0.04,-0.24,-0.246,-0.27,-0.373,-0.224,-0.044,1.513,0.048,-0.264
4,-0.043,-0.449,0.154,-0.414,3.078,1.067,1.556,-0.037,-0.441,-0.258,-0.304,-0.186,0.209,-0.285,-0.005,-0.294,-0.23
5,1.415,-0.462,-0.535,-0.574,-0.409,-0.328,-0.298,-0.464,-0.579,-0.265,-0.297,-0.066,-0.379,-0.305,-0.442,-0.309,-0.295
6,0.919,-0.489,-0.618,-0.527,-0.475,-0.283,-0.373,-0.519,-0.588,-0.254,-0.268,-0.178,-0.375,-0.309,-0.513,-0.304,-0.303
7,1.193,-0.44,-0.747,-0.64,-0.497,-0.352,-0.36,-0.489,-0.614,-0.27,-0.308,0.005,-0.38,-0.321,-0.546,-0.322,-0.304
8,1.164,-0.47,-0.586,-0.63,-0.444,-0.343,-0.365,-0.297,-0.483,-0.263,-0.269,0.02,-0.384,-0.306,-0.578,-0.328,-0.321
9,0.196,-0.446,-0.382,-0.437,-0.374,-0.279,-0.376,-0.517,-0.531,-0.252,-0.296,-0.375,-0.345,-0.234,-0.304,-0.287,-0.37
10,0.913,-0.356,-0.597,-0.493,-0.311,-0.338,-0.292,-0.342,-0.288,-0.238,-0.159,0.102,-0.375,-0.319,0.034,-0.315,-0.233
11,0.805,-0.381,-0.766,-0.578,-0.421,-0.363,-0.343,-0.457,-0.453,-0.255,-0.179,-0.085,-0.368,-0.326,-0.566,-0.313,-0.204
12,-0.679,-0.381,0.11,0.553,-0.111,-0.158,-0.29,0.461,0.437,4.396,-0.103,0.331,-0.075,0.135,0.127,-0.253,0.063
13,-1.214,1.449,0.48,0.324,-0.395,-0.289,-0.197,-0.38,-0.126,-0.259,-0.218,-0.424,-0.318,-0.193,0.204,0.134,-0.272
14,-0.88,-0.241,0.141,0.562,-0.312,-0.246,-0.405,0.969,1.575,-0.194,-0.19,-0.192,0.039,-0.068,-0.221,-0.261,-0.243
15,-1.016,-0.19,0.202,0.262,-0.205,0.177,-0.372,0.491,1.195,0.098,-0.075,-0.181,3.693,0.178,0.029,-0.26,0.588
16,-0.815,-0.426,0.242,0.105,0.074,-0.184,-0.305,0.579,0.155,0.169,4.459,3.02,-0.061,-0.169,-0.159,-0.251,-0.023
17,0.048,1.219,-0.112,-0.281,-0.359,-0.3,-0.111,-0.373,-0.234,-0.264,-0.216,-0.336,-0.348,-0.248,-0.142,0.092,-0.223
18,-1.131,2.633,-0.415,-0.158,-0.529,-0.241,-0.017,-0.263,0.698,-0.244,-0.11,-0.341,-0.22,-0.194,0.636,-0.016,-0.168
19,-0.928,-0.443,1.126,1.765,0.92,0.427,2.825,-0.014,0.182,-0.19,-0.257,0.394,-0.081,4.714,2.725,-0.214,-0.255
20,0.521,-0.232,-0.43,-0.524,0.05,-0.128,-0.103,-0.459,-0.444,-0.241,-0.271,-0.138,-0.274,-0.278,-0.32,-0.26,4.632
21,-0.902,-0.526,0.509,0.864,2.32,4.027,1.785,-0.185,-0.202,-0.255,-0.301,-0.491,-0.039,-0.035,-0.001,0.156,-0.29
22,1.641,-0.466,-0.745,-0.62,-0.424,-0.347,-0.32,-0.381,-0.554,-0.253,-0.243,0.098,-0.389,-0.301,-0.525,-0.31,-0.32
23,-0.522,-0.415,0.063,-0.116,-0.271,-0.26,-0.153,0.031,-0.036,0.508,0.622,-0.213,1.594,-0.131,0.029,-0.293,-0.17
24,0.074,0.04,0.317,0.359,-0.266,-0.313,-0.577,-0.404,-0.163,-0.257,-0.241,-0.089,-0.347,-0.33,-0.283,4.431,-0.259
