cl,Hepatocytes,Biliary/ductular,Hepatic stellate cells,Portal fibroblasts,LSECs,Central venous LSECs,Portal endothelial cells,Kupffer cells,Inflammatory macs,T/NK cells,B-cells,Plasma,DC,vSMCs,Pericytes,Mesothelial cells,Proliferating
0,1.385,-0.068,-0.411,-0.477,-0.562,-0.437,-0.295,-0.579,-0.742,-0.278,-0.284,-0.013,-0.443,-0.393,-0.548,-0.256,-0.371
1,1.311,-0.083,-0.386,-0.462,-0.53,-0.427,-0.275,-0.544,-0.674,-0.28,-0.27,-0.038,-0.44,-0.388,-0.47,-0.251,-0.363
2,1.566,-0.158,-0.355,-0.465,-0.52,-0.436,-0.249,-0.587,-0.695,-0.282,-0.284,-0.019,-0.449,-0.387,-0.518,-0.245,-0.342
3,1.325,-0.153,-0.454,-0.479,-0.583,-0.45,-0.316,-0.634,-0.747,-0.282,-0.283,-0.086,-0.452,-0.389,-0.519,-0.367,-0.411
4,1.255,-0.196,-0.373,-0.462,-0.5,-0.364,-0.316,-0.598,-0.685,-0.278,-0.273,-0.059,-0.438,-0.402,-0.446,-0.263,-0.39
5,0.591,-0.171,-0.342,-0.373,-0.442,-0.257,-0.276,-0.528,-0.232,-0.242,-0.255,-0.17,-0.412,-0.343,-0.472,-0.026,-0.31
6,0.175,-0.097,-0.475,-0.443,-0.495,-0.281,-0.374,-0.517,-0.061,-0.255,-0.232,-0.141,-0.397,-0.385,-0.46,-0.334,-0.251
7,0.28,-0.14,-0.451,-0.423,-0.467,-0.244,-0.376,-0.496,-0.121,-0.262,-0.24,-0.17,-0.409,-0.381,-0.408,-0.268,-0.262
8,0.94,-0.186,-0.414,-0.451,-0.546,-0.369,-0.323,-0.613,-0.673,-0.267,-0.262,-0.078,-0.441,-0.401,-0.466,-0.325,-0.376
9,-1.192,-0.213,1.887,2.661,0.299,-0.091,0.053,-0.127,0.135,-0.168,-0.19,-0.23,-0.112,3.245,1.049,2.017,-0.323
10,-0.772,4.62,-0.284,-0.0,-0.557,-0.446,-0.084,-0.64,-0.208,-0.25,-0.106,-0.308,-0.337,-0.241,-0.218,2.214,-0.311
11,-0.051,-0.257,-0.08,-0.36,2.624,1.513,0.824,-0.249,-0.347,-0.255,-0.272,-0.237,0.237,-0.381,0.154,-0.308,-0.289
12,-0.969,-0.271,-0.245,0.187,0.054,-0.089,-0.386,2.223,2.595,-0.186,-0.16,0.149,0.271,-0.294,-0.066,-0.236,-0.122
13,-0.989,-0.207,-0.405,-0.299,-0.36,-0.233,-0.376,0.074,0.427,-0.208,-0.241,-0.431,-0.236,-0.261,-0.239,0.138,-0.341
14,-0.606,-0.266,-0.002,0.478,-0.02,-0.093,-0.237,0.244,0.244,4.09,-0.17,0.129,-0.079,-0.16,0.068,-0.231,-0.016
15,-1.182,-0.249,0.314,0.712,1.02,0.061,3.673,-0.696,-0.348,-0.258,-0.267,0.046,-0.169,2.94,1.998,-0.397,-0.363
16,0.095,-0.247,-0.106,-0.313,0.043,-0.288,-0.308,1.877,0.743,-0.248,-0.234,-0.119,-0.055,-0.374,-0.035,-0.333,-0.242
17,-0.664,-0.298,-0.176,-0.302,0.075,-0.223,-0.37,2.483,1.226,-0.208,-0.13,0.051,0.417,-0.364,-0.162,-0.473,3.82
18,-1.224,-0.341,0.465,0.514,2.241,3.819,1.409,-0.484,-0.112,-0.243,-0.259,-0.47,0.018,0.255,-0.055,0.928,-0.319
19,-0.13,-0.27,2.704,1.057,-0.045,-0.025,-0.16,0.108,-0.235,-0.248,-0.259,-0.34,-0.242,-0.221,2.314,-0.14,-0.27
20,1.094,-0.07,-0.285,-0.468,-0.494,-0.415,-0.272,-0.572,-0.614,-0.274,-0.272,-0.095,-0.431,-0.396,-0.5,-0.302,2.119
21,-0.774,-0.246,-0.21,-0.163,-0.201,-0.189,-0.322,0.181,0.181,0.673,0.696,0.115,1.302,-0.3,-0.01,-0.108,-0.202
22,-1.05,-0.169,0.113,0.337,-0.138,0.055,-0.335,0.384,0.941,0.154,-0.088,-0.315,3.434,0.119,-0.048,-0.097,0.078
23,-0.416,-0.262,-0.028,-0.007,0.106,-0.091,-0.31,0.292,0.0,0.053,4.333,2.832,-0.136,-0.099,0.058,-0.337,-0.144
