cl,Hepatocytes,Biliary/ductular,Hepatic stellate cells,Portal fibroblasts,LSECs,Central venous LSECs,Portal endothelial cells,Kupffer cells,Inflammatory macs,T/NK cells,B-cells,Plasma,DC,vSMCs,Pericytes,Mesothelial cells,Proliferating
0,1.791,-0.405,-0.876,-0.875,-0.634,-0.435,-0.447,-0.425,-0.718,-0.302,-0.35,0.17,-0.467,-0.416,-0.758,-0.488,-0.429
1,0.995,-0.25,-0.599,-0.712,-0.536,-0.399,-0.457,-0.474,-0.421,-0.286,-0.294,-0.068,-0.438,-0.405,-0.535,-0.404,1.889
2,1.205,-0.491,-0.789,-0.777,-0.606,-0.358,-0.479,-0.455,-0.63,-0.247,-0.272,-0.069,-0.453,-0.419,-0.653,-0.408,-0.437
3,1.883,-0.44,-0.651,-0.784,-0.566,-0.417,-0.39,-0.451,-0.676,-0.329,-0.35,0.061,-0.463,-0.404,-0.627,-0.468,-0.411
4,0.825,0.927,-0.451,-0.585,-0.571,-0.4,-0.217,-0.465,-0.329,-0.339,-0.192,-0.212,-0.432,-0.384,-0.111,-0.121,-0.397
5,0.995,-0.478,-0.764,-0.796,-0.604,-0.414,-0.531,-0.512,-0.661,-0.303,-0.342,-0.208,-0.462,-0.406,-0.62,-0.375,-0.456
6,-1.223,-0.46,-0.387,-0.227,-0.322,-0.279,-0.286,-0.226,-0.117,-0.162,-0.268,-0.345,-0.253,-0.02,-0.318,1.68,-0.471
7,0.246,-0.431,2.978,1.99,-0.094,-0.157,-0.27,-0.218,-0.386,-0.314,-0.312,-0.335,-0.307,-0.222,1.467,0.788,-0.381
8,-0.375,-0.38,0.486,-0.035,2.766,1.436,1.66,-0.286,-0.39,-0.324,-0.324,-0.265,0.1,-0.347,0.191,-0.305,-0.393
9,1.058,-0.5,-0.275,-0.614,1.407,0.502,0.833,-0.4,-0.594,-0.327,-0.35,-0.136,-0.209,-0.388,-0.302,-0.464,-0.356
10,-0.613,1.352,0.313,0.15,-0.457,-0.346,-0.164,-0.357,-0.112,-0.331,-0.118,-0.381,-0.378,-0.336,0.201,0.264,-0.387
11,-0.679,2.512,-0.466,-0.507,-0.641,-0.407,-0.104,-0.456,0.05,-0.326,-0.01,-0.379,-0.401,-0.382,0.319,0.182,-0.36
12,-0.186,0.624,0.256,0.281,0.606,0.054,0.356,-0.372,-0.205,-0.294,-0.225,-0.205,-0.247,-0.336,0.203,0.004,3.705
13,-1.116,-0.569,1.304,1.819,0.55,-0.002,1.636,0.122,0.339,-0.209,-0.209,-0.034,-0.154,4.495,2.546,-0.132,-0.404
14,-0.944,-0.653,0.797,1.01,1.77,3.667,1.784,-0.063,-0.121,-0.316,-0.315,-0.496,-0.232,0.492,0.375,0.664,-0.433
15,-0.907,-0.378,0.272,0.575,-0.273,-0.073,-0.438,0.61,1.227,0.256,-0.089,-0.116,1.742,0.325,-0.022,-0.222,0.275
16,-0.004,-0.42,0.316,0.146,-0.291,-0.284,-0.443,1.4,1.701,-0.226,-0.085,0.375,-0.089,-0.179,-0.055,-0.302,-0.269
17,0.571,-0.284,-0.199,0.054,-0.201,-0.258,-0.416,-0.228,-0.237,0.622,-0.175,-0.117,-0.144,-0.368,-0.244,-0.177,-0.251
18,0.123,-0.479,0.06,-0.212,-0.061,-0.185,-0.29,-0.062,-0.255,-0.077,4.174,2.869,-0.253,-0.265,-0.179,-0.242,-0.28
19,-1.205,2.83,-0.788,-0.248,-0.578,-0.422,0.096,-0.451,0.111,-0.282,-0.035,-0.203,-0.295,-0.266,-0.219,1.848,-0.353
20,-0.338,-0.429,0.195,0.638,-0.269,-0.213,-0.358,0.056,0.161,3.982,-0.174,0.099,-0.112,0.05,0.127,-0.306,-0.167
21,-0.686,-0.215,0.1,0.258,-0.399,-0.104,-0.397,0.024,0.649,-0.116,-0.131,-0.214,2.952,0.068,-0.025,-0.251,0.371
22,-1.406,-0.671,-0.708,-0.395,0.328,-0.155,-0.406,3.843,1.724,-0.261,-0.171,-0.07,0.18,0.239,-0.628,-0.46,0.741
23,-0.011,-0.311,-0.124,-0.158,-0.324,-0.349,-0.271,-0.154,-0.109,0.511,0.617,0.278,0.812,-0.128,-0.133,-0.306,-0.347
