cl,Hepatocytes,Biliary/ductular,Hepatic stellate cells,Portal fibroblasts,LSECs,Central venous LSECs,Portal endothelial cells,Kupffer cells,Inflammatory macs,T/NK cells,B-cells,Plasma,DC,vSMCs,Pericytes,Mesothelial cells,Proliferating
0,-0.62,2.111,-0.348,-0.364,-0.511,-0.333,-0.076,-0.442,-0.221,-0.306,-0.131,-0.339,-0.359,-0.302,-0.187,0.599,-0.292
1,0.682,0.748,-0.388,-0.478,-0.497,-0.34,-0.174,-0.46,-0.347,-0.296,-0.203,-0.193,-0.399,-0.289,-0.25,-0.093,-0.294
2,-1.168,2.249,-0.521,-0.226,-0.514,-0.344,-0.135,-0.365,0.011,-0.284,-0.111,-0.149,-0.314,-0.059,-0.266,1.713,-0.255
3,-0.89,2.386,-0.325,-0.227,-0.551,-0.273,-0.02,-0.257,0.636,-0.258,-0.069,-0.356,-0.217,-0.249,0.632,0.884,-0.231
4,-0.705,1.013,1.596,1.055,-0.179,-0.248,-0.04,-0.274,-0.158,-0.292,-0.183,-0.363,-0.262,-0.137,0.623,0.811,-0.29
5,-0.9,0.816,-0.453,-0.35,-0.527,-0.318,-0.353,-0.462,-0.339,-0.307,-0.209,-0.432,-0.398,-0.268,-0.266,0.282,-0.339
6,-0.475,0.804,-0.228,-0.226,0.97,0.128,0.705,-0.38,-0.138,-0.189,-0.193,0.065,-0.134,-0.239,0.094,0.265,4.429
7,1.43,-0.486,-0.788,-0.691,-0.551,-0.359,-0.474,-0.444,-0.687,-0.236,-0.29,0.09,-0.43,-0.349,-0.618,-0.593,-0.353
8,0.844,-0.424,-0.62,-0.622,-0.471,-0.34,-0.485,-0.47,-0.393,-0.243,-0.249,0.002,-0.393,-0.32,-0.518,-0.588,1.619
9,1.659,-0.527,-0.716,-0.676,-0.522,-0.347,-0.453,-0.48,-0.664,-0.272,-0.298,0.134,-0.432,-0.341,-0.591,-0.672,-0.36
10,1.665,-0.508,-0.592,-0.675,-0.457,-0.333,-0.332,-0.483,-0.658,-0.247,-0.28,-0.003,-0.429,-0.339,-0.604,-0.393,-0.317
11,1.066,-0.579,-0.741,-0.642,-0.495,-0.343,-0.532,-0.534,-0.686,-0.3,-0.306,-0.249,-0.423,-0.342,-0.593,-0.568,-0.382
12,0.377,-0.518,1.802,0.823,-0.112,-0.167,-0.236,-0.267,-0.413,-0.279,-0.28,-0.317,-0.299,-0.182,0.653,0.731,-0.314
13,-0.741,-0.499,3.036,1.962,0.114,-0.015,-0.175,-0.011,-0.196,-0.264,-0.28,-0.4,-0.139,0.059,1.548,1.494,-0.331
14,-0.9,-0.35,0.142,0.321,-0.258,0.038,-0.393,0.481,1.228,0.167,-0.13,-0.258,3.798,0.211,-0.016,-0.415,0.21
15,0.101,-0.549,-0.142,-0.465,2.768,1.193,1.654,-0.354,-0.522,-0.288,-0.31,-0.15,0.202,-0.31,-0.221,-0.557,-0.289
16,-1.096,-0.658,0.114,0.803,2.333,4.315,1.821,-0.134,-0.211,-0.273,-0.308,-0.512,-0.042,0.006,-0.013,0.612,-0.338
17,-0.419,-0.361,0.168,0.235,-0.168,-0.225,-0.405,2.108,2.702,-0.171,0.076,0.351,0.161,-0.048,-0.14,-0.154,-0.157
18,-0.422,-0.473,0.071,0.542,-0.19,-0.176,-0.312,0.206,0.315,4.328,-0.15,0.076,-0.074,0.023,-0.007,-0.38,-0.106
19,0.061,-0.634,-0.357,-0.431,0.173,-0.223,-0.413,3.562,1.121,-0.251,-0.22,0.118,0.195,-0.239,-0.151,-0.634,0.036
20,-1.288,-0.596,1.026,1.789,0.996,0.27,2.448,-0.217,0.04,-0.242,-0.275,-0.169,-0.124,4.9,2.537,-0.468,-0.302
21,-0.96,-0.573,-0.134,-0.039,-0.37,-0.261,-0.479,0.221,0.437,-0.164,-0.229,-0.404,-0.203,0.028,-0.175,-0.295,-0.358
22,0.257,-0.46,0.037,0.181,-0.319,-0.273,-0.463,0.163,0.383,0.573,-0.115,0.178,0.075,-0.224,-0.269,-0.722,-0.194
23,1.108,-0.498,-0.582,-0.623,0.011,-0.248,0.194,-0.396,-0.457,-0.289,-0.168,0.163,-0.366,-0.327,-0.412,-0.604,-0.001
24,-0.224,-0.503,0.075,-0.084,0.131,-0.115,-0.176,0.148,-0.064,0.081,4.557,3.041,-0.145,-0.196,-0.196,0.576,-0.219
25,1.819,-0.592,-0.86,-0.701,-0.516,-0.366,-0.395,-0.37,-0.782,-0.333,-0.308,0.011,-0.444,-0.336,-0.565,-0.649,-0.362
26,-0.26,-0.34,-0.274,-0.193,-0.287,-0.296,-0.299,-0.088,0.061,0.636,0.661,0.064,1.595,-0.13,-0.028,-0.182,-0.21
