gene_name,gene_id,feature_type
ALG11,ENSG00000253710,Gene Expression
ALG13,ENSG00000101901,Gene Expression
ALG2,ENSG00000119523,Gene Expression
ALG6,ENSG00000088035,Gene Expression
ALG9,ENSG00000086848,Gene Expression
ALK,ENSG00000171094,Gene Expression
ALKBH5,ENSG00000091542,Gene Expression
ALOX12,ENSG00000108839,Gene Expression
ALOX15,ENSG00000161905,Gene Expression
ALOX15B,ENSG00000179593,Gene Expression
ALOX5,ENSG00000012779,Gene Expression
ALPK1,ENSG00000073331,Gene Expression
ALPK3,ENSG00000136383,Gene Expression
ALPL,ENSG00000162551,Gene Expression
ALX1,ENSG00000180318,Gene Expression
ALYREF,ENSG00000183684,Gene Expression
AMACR,ENSG00000242110,Gene Expression
AMER1,ENSG00000184675,Gene Expression
AMFR,ENSG00000159461,Gene Expression
AMH,ENSG00000104899,Gene Expression
AMIGO1,ENSG00000181754,Gene Expression
AMIGO3,ENSG00000176020,Gene Expression
AMOT,ENSG00000126016,Gene Expression
ANAPC1,ENSG00000153107,Gene Expression
ANGPT1,ENSG00000154188,Gene Expression
ANGPT2,ENSG00000091879,Gene Expression
ANGPTL2,ENSG00000136859,Gene Expression
ANGPTL3,ENSG00000132855,Gene Expression
ANGPTL4,ENSG00000167772,Gene Expression
ANGPTL6,ENSG00000130812,Gene Expression
ANGPTL7,ENSG00000171819,Gene Expression
ANGPTL8,ENSG00000130173,Gene Expression
ANK1,ENSG00000029534,Gene Expression
ANKHD1,ENSG00000131503,Gene Expression
ANKK1,ENSG00000170209,Gene Expression
ANKRD13A,ENSG00000076513,Gene Expression
ANKRD13D,ENSG00000172932,Gene Expression
ANKRD17,ENSG00000132466,Gene Expression
ANKRD30A,ENSG00000148513,Gene Expression
ANKRD40,ENSG00000154945,Gene Expression
ANKRD44,ENSG00000065413,Gene Expression
ANKRD6,ENSG00000135299,Gene Expression
ANKS1A,ENSG00000064999,Gene Expression
ANKS6,ENSG00000165138,Gene Expression
ANKZF1,ENSG00000163516,Gene Expression
ANO1,ENSG00000131620,Gene Expression
ANO3,ENSG00000134343,Gene Expression
ANP32E,ENSG00000143401,Gene Expression
ANPEP,ENSG00000166825,Gene Expression
ANTXR1,ENSG00000169604,Gene Expression
ANXA10,ENSG00000109511,Gene Expression
ANXA2,ENSG00000182718,Gene Expression
ANXA3,ENSG00000138772,Gene Expression
ANXA5,ENSG00000164111,Gene Expression
ANXA8,ENSG00000265190,Gene Expression
AOAH,ENSG00000136250,Gene Expression
AOC3,ENSG00000131471,Gene Expression
AOX1,ENSG00000138356,Gene Expression
AP1B1,ENSG00000100280,Gene Expression
AP1M1,ENSG00000072958,Gene Expression
AP1S3,ENSG00000152056,Gene Expression
AP2A1,ENSG00000196961,Gene Expression
AP2A2,ENSG00000183020,Gene Expression
AP2M1,ENSG00000161203,Gene Expression
AP3B2,ENSG00000103723,Gene Expression
AP3D1,ENSG00000065000,Gene Expression
AP3M2,ENSG00000070718,Gene Expression
AP5B1,ENSG00000254470,Gene Expression
APAF1,ENSG00000120868,Gene Expression
APC,ENSG00000134982,Gene Expression
APCDD1,ENSG00000154856,Gene Expression
APELA,ENSG00000248329,Gene Expression
APEX1,ENSG00000100823,Gene Expression
APEX2,ENSG00000169188,Gene Expression
APH1B,ENSG00000138613,Gene Expression
API5,ENSG00000166181,Gene Expression
APLF,ENSG00000169621,Gene Expression
APLN,ENSG00000171388,Gene Expression
APLNR,ENSG00000134817,Gene Expression
APMAP,ENSG00000101474,Gene Expression
APOB,ENSG00000084674,Gene Expression
APOBEC3B,ENSG00000179750,Gene Expression
APOBEC3C,ENSG00000244509,Gene Expression
APOBEC3D,ENSG00000243811,Gene Expression
APOBEC3F,ENSG00000128394,Gene Expression
APOBEC3G,ENSG00000239713,Gene Expression
APOC1,ENSG00000130208,Gene Expression
APOE,ENSG00000130203,Gene Expression
APOL1,ENSG00000100342,Gene Expression
APOL2,ENSG00000128335,Gene Expression
APOL3,ENSG00000128284,Gene Expression
APOL6,ENSG00000221963,Gene Expression
APOLD1,ENSG00000178878,Gene Expression
APOM,ENSG00000204444,Gene Expression
APP,ENSG00000142192,Gene Expression
APPBP2,ENSG00000062725,Gene Expression
APTX,ENSG00000137074,Gene Expression
AQP3,ENSG00000165272,Gene Expression
AQP4,ENSG00000171885,Gene Expression
AQP5,ENSG00000161798,Gene Expression
AQP7,ENSG00000165269,Gene Expression
AQP8,ENSG00000103375,Gene Expression
AQP9,ENSG00000103569,Gene Expression
AR,ENSG00000169083,Gene Expression
ARC,ENSG00000198576,Gene Expression
AREG,ENSG00000109321,Gene Expression
ARF1,ENSG00000143761,Gene Expression
ARF6,ENSG00000165527,Gene Expression
ARFIP1,ENSG00000164144,Gene Expression
ARG1,ENSG00000118520,Gene Expression
ARG2,ENSG00000081181,Gene Expression
ARHGAP35,ENSG00000160007,Gene Expression
ARHGAP36,ENSG00000147256,Gene Expression
ARHGEF2,ENSG00000116584,Gene Expression
ARHGEF7,ENSG00000102606,Gene Expression
ARID1A,ENSG00000117713,Gene Expression
ARID3B,ENSG00000179361,Gene Expression
ARL4D,ENSG00000175906,Gene Expression
ARL8B,ENSG00000134108,Gene Expression
ARMC5,ENSG00000140691,Gene Expression
ARMC7,ENSG00000125449,Gene Expression
ARMH3,ENSG00000120029,Gene Expression
ARNT,ENSG00000143437,Gene Expression
ARNTL,ENSG00000133794,Gene Expression
ARR3,ENSG00000120500,Gene Expression
ARRB1,ENSG00000137486,Gene Expression
ARRB2,ENSG00000141480,Gene Expression
ARRDC3,ENSG00000113369,Gene Expression
ART1,ENSG00000129744,Gene Expression
