gene_name,gene_id,feature_type
IL4R,ENSG00000077238,Gene Expression
IL5,ENSG00000113525,Gene Expression
IL5RA,ENSG00000091181,Gene Expression
IL6,ENSG00000136244,Gene Expression
IL6R,ENSG00000160712,Gene Expression
IL6ST,ENSG00000134352,Gene Expression
IL7,ENSG00000104432,Gene Expression
IL7R,ENSG00000168685,Gene Expression
IL9,ENSG00000145839,Gene Expression
IL9R,ENSG00000124334,Gene Expression
ILDR2,ENSG00000143195,Gene Expression
ILF3,ENSG00000129351,Gene Expression
ILK,ENSG00000166333,Gene Expression
IMMT,ENSG00000132305,Gene Expression
IMPDH1,ENSG00000106348,Gene Expression
IMPDH2,ENSG00000178035,Gene Expression
IMPG1,ENSG00000112706,Gene Expression
INA,ENSG00000148798,Gene Expression
INCA1,ENSG00000196388,Gene Expression
ING1,ENSG00000153487,Gene Expression
INHA,ENSG00000123999,Gene Expression
INHBA,ENSG00000122641,Gene Expression
INHBB,ENSG00000163083,Gene Expression
INKA2,ENSG00000197852,Gene Expression
INMT,ENSG00000241644,Gene Expression
INO80D,ENSG00000114933,Gene Expression
INPP4B,ENSG00000109452,Gene Expression
INPP5D,ENSG00000168918,Gene Expression
INPPL1,ENSG00000165458,Gene Expression
INSC,ENSG00000188487,Gene Expression
INSL3,ENSG00000248099,Gene Expression
INSL4,ENSG00000120211,Gene Expression
INSM1,ENSG00000173404,Gene Expression
INSR,ENSG00000171105,Gene Expression
INSRR,ENSG00000027644,Gene Expression
INVS,ENSG00000119509,Gene Expression
IPO11,ENSG00000086200,Gene Expression
IPO5,ENSG00000065150,Gene Expression
IPO7,ENSG00000205339,Gene Expression
IPO9,ENSG00000198700,Gene Expression
IPP,ENSG00000197429,Gene Expression
IQGAP1,ENSG00000140575,Gene Expression
IQGAP2,ENSG00000145703,Gene Expression
IQSEC1,ENSG00000144711,Gene Expression
IRAK1,ENSG00000184216,Gene Expression
IRAK2,ENSG00000134070,Gene Expression
IRAK4,ENSG00000198001,Gene Expression
IRF1,ENSG00000125347,Gene Expression
IRF2BP1,ENSG00000170604,Gene Expression
IRF2BPL,ENSG00000119669,Gene Expression
IRF3,ENSG00000126456,Gene Expression
IRF4,ENSG00000137265,Gene Expression
IRF5,ENSG00000128604,Gene Expression
IRF7,ENSG00000185507,Gene Expression
IRF8,ENSG00000140968,Gene Expression
IRGM,ENSG00000237693,Gene Expression
IRGQ,ENSG00000167378,Gene Expression
IRS1,ENSG00000169047,Gene Expression
IRS2,ENSG00000185950,Gene Expression
IRS4,ENSG00000133124,Gene Expression
IRX1,ENSG00000170549,Gene Expression
ISL1,ENSG00000016082,Gene Expression
ISOC2,ENSG00000063241,Gene Expression
ITCH,ENSG00000078747,Gene Expression
ITGA1,ENSG00000213949,Gene Expression
ITGA2,ENSG00000164171,Gene Expression
ITGA2B,ENSG00000005961,Gene Expression
ITGA3,ENSG00000005884,Gene Expression
ITGA4,ENSG00000115232,Gene Expression
ITGA5,ENSG00000161638,Gene Expression
ITGA6,ENSG00000091409,Gene Expression
ITGAD,ENSG00000156886,Gene Expression
ITGAE,ENSG00000083457,Gene Expression
ITGAL,ENSG00000005844,Gene Expression
ITGAM,ENSG00000169896,Gene Expression
ITGAV,ENSG00000138448,Gene Expression
ITGAX,ENSG00000140678,Gene Expression
ITGB1BP2,ENSG00000147166,Gene Expression
ITGB2,ENSG00000160255,Gene Expression
ITGB3,ENSG00000259207,Gene Expression
ITGB4,ENSG00000132470,Gene Expression
ITGB5,ENSG00000082781,Gene Expression
ITGB6,ENSG00000115221,Gene Expression
ITGB7,ENSG00000139626,Gene Expression
ITIH1,ENSG00000055957,Gene Expression
ITIH5,ENSG00000123243,Gene Expression
ITK,ENSG00000113263,Gene Expression
ITM2A,ENSG00000078596,Gene Expression
ITPKA,ENSG00000137825,Gene Expression
ITPR1,ENSG00000150995,Gene Expression
ITPR3,ENSG00000096433,Gene Expression
ITPRID2,ENSG00000138434,Gene Expression
IVNS1ABP,ENSG00000116679,Gene Expression
JAG1,ENSG00000101384,Gene Expression
JAK1,ENSG00000162434,Gene Expression
JAK2,ENSG00000096968,Gene Expression
JAK3,ENSG00000105639,Gene Expression
JAM2,ENSG00000154721,Gene Expression
JAM3,ENSG00000166086,Gene Expression
JAZF1,ENSG00000153814,Gene Expression
JCHAIN,ENSG00000132465,Gene Expression
JDP2,ENSG00000140044,Gene Expression
JMJD4,ENSG00000081692,Gene Expression
JPH1,ENSG00000104369,Gene Expression
JPH2,ENSG00000149596,Gene Expression
JPT2,ENSG00000206053,Gene Expression
JRK,ENSG00000234616,Gene Expression
JUP,ENSG00000173801,Gene Expression
KANK2,ENSG00000197256,Gene Expression
KAT2A,ENSG00000108773,Gene Expression
KAT2B,ENSG00000114166,Gene Expression
KAT5,ENSG00000172977,Gene Expression
KATNA1,ENSG00000186625,Gene Expression
KCNA3,ENSG00000177272,Gene Expression
KCNA4,ENSG00000182255,Gene Expression
KCNA5,ENSG00000130037,Gene Expression
KCNAB3,ENSG00000170049,Gene Expression
KCNB1,ENSG00000158445,Gene Expression
KCNC1,ENSG00000129159,Gene Expression
KCNC3,ENSG00000131398,Gene Expression
KCNC4,ENSG00000116396,Gene Expression
KCNE1,ENSG00000180509,Gene Expression
KCNF1,ENSG00000162975,Gene Expression
KCNH1,ENSG00000143473,Gene Expression
KCNH2,ENSG00000055118,Gene Expression
KCNH3,ENSG00000135519,Gene Expression
KCNH4,ENSG00000089558,Gene Expression
KCNH5,ENSG00000140015,Gene Expression
KCNH6,ENSG00000173826,Gene Expression
KCNIP2,ENSG00000120049,Gene Expression
KCNJ1,ENSG00000151704,Gene Expression
KCNJ10,ENSG00000177807,Gene Expression
KCNJ11,ENSG00000187486,Gene Expression
KCNJ12,ENSG00000184185,Gene Expression
KCNJ13,ENSG00000115474,Gene Expression
KCNJ15,ENSG00000157551,Gene Expression
KCNJ16,ENSG00000153822,Gene Expression
KCNJ2,ENSG00000123700,Gene Expression
KCNJ6,ENSG00000157542,Gene Expression
KCNJ8,ENSG00000121361,Gene Expression
KCNJ9,ENSG00000162728,Gene Expression
KCNK1,ENSG00000135750,Gene Expression
KCNK10,ENSG00000100433,Gene Expression
KCNK12,ENSG00000184261,Gene Expression
KCNK13,ENSG00000152315,Gene Expression
KCNK15,ENSG00000124249,Gene Expression
KCNK16,ENSG00000095981,Gene Expression
KCNK17,ENSG00000124780,Gene Expression
KCNK18,ENSG00000186795,Gene Expression
KCNK2,ENSG00000082482,Gene Expression
KCNK3,ENSG00000171303,Gene Expression
KCNK4,ENSG00000182450,Gene Expression
KCNK6,ENSG00000099337,Gene Expression
KCNK9,ENSG00000169427,Gene Expression
KCNMA1,ENSG00000156113,Gene Expression
KCNMB1,ENSG00000145936,Gene Expression
KCNN3,ENSG00000143603,Gene Expression
KCNN4,ENSG00000104783,Gene Expression
KCNQ1,ENSG00000053918,Gene Expression
KCNQ2,ENSG00000075043,Gene Expression
KCNQ4,ENSG00000117013,Gene Expression
KCNRG,ENSG00000198553,Gene Expression
KCNS1,ENSG00000124134,Gene Expression
KCNT1,ENSG00000107147,Gene Expression
KCNT2,ENSG00000162687,Gene Expression
KCNU1,ENSG00000215262,Gene Expression
KCNV1,ENSG00000164794,Gene Expression
KCTD10,ENSG00000110906,Gene Expression
KCTD11,ENSG00000213859,Gene Expression
KCTD20,ENSG00000112078,Gene Expression
KCTD5,ENSG00000167977,Gene Expression
KCTD9,ENSG00000104756,Gene Expression
KDM1A,ENSG00000004487,Gene Expression
KDM3A,ENSG00000115548,Gene Expression
KDM4A,ENSG00000066135,Gene Expression
KDM5B,ENSG00000117139,Gene Expression
KDM5D,ENSG00000012817,Gene Expression
KDM6A,ENSG00000147050,Gene Expression
KDM6B,ENSG00000132510,Gene Expression
KDM8,ENSG00000155666,Gene Expression
KDR,ENSG00000128052,Gene Expression
KEAP1,ENSG00000079999,Gene Expression
KEL,ENSG00000197993,Gene Expression
KHDC3L,ENSG00000203908,Gene Expression
KHDRBS1,ENSG00000121774,Gene Expression
KHK,ENSG00000138030,Gene Expression
KHSRP,ENSG00000088247,Gene Expression
KIAA0408,ENSG00000189367,Gene Expression
KIAA1191,ENSG00000122203,Gene Expression
KIAA2013,ENSG00000116685,Gene Expression
KIF11,ENSG00000138160,Gene Expression
KIF1A,ENSG00000130294,Gene Expression
KIF20A,ENSG00000112984,Gene Expression
KIF2A,ENSG00000068796,Gene Expression
KIF2C,ENSG00000142945,Gene Expression
KIF5B,ENSG00000170759,Gene Expression
KIR2DL1,ENSG00000125498,Gene Expression
KIR2DL4,ENSG00000189013,Gene Expression
KIR3DL1,ENSG00000167633,Gene Expression
KISS1R,ENSG00000116014,Gene Expression
KIT,ENSG00000157404,Gene Expression
KITLG,ENSG00000049130,Gene Expression
KL,ENSG00000133116,Gene Expression
KLF12,ENSG00000118922,Gene Expression
KLF14,ENSG00000266265,Gene Expression
KLF16,ENSG00000129911,Gene Expression
KLF17,ENSG00000171872,Gene Expression
KLF4,ENSG00000136826,Gene Expression
KLF5,ENSG00000102554,Gene Expression
KLHDC2,ENSG00000165516,Gene Expression
KLHL1,ENSG00000150361,Gene Expression
KLHL13,ENSG00000003096,Gene Expression
KLHL14,ENSG00000197705,Gene Expression
KLHL24,ENSG00000114796,Gene Expression
KLHL26,ENSG00000167487,Gene Expression
KLHL4,ENSG00000102271,Gene Expression
KLHL8,ENSG00000145332,Gene Expression
KLK10,ENSG00000129451,Gene Expression
KLK15,ENSG00000174562,Gene Expression
KLK4,ENSG00000167749,Gene Expression
KLK6,ENSG00000167755,Gene Expression
KLRB1,ENSG00000111796,Gene Expression
KLRC1,ENSG00000134545,Gene Expression
KLRC2,ENSG00000205809,Gene Expression
KLRD1,ENSG00000134539,Gene Expression
KLRF1,ENSG00000150045,Gene Expression
KLRG1,ENSG00000139187,Gene Expression
KLRK1,ENSG00000213809,Gene Expression
KMO,ENSG00000117009,Gene Expression
KMT2A,ENSG00000118058,Gene Expression
KMT2D,ENSG00000167548,Gene Expression
KNDC1,ENSG00000171798,Gene Expression
KNSTRN,ENSG00000128944,Gene Expression
KPNA1,ENSG00000114030,Gene Expression
KPNA2,ENSG00000182481,Gene Expression
KPNA3,ENSG00000102753,Gene Expression
KPNA6,ENSG00000025800,Gene Expression
KPNB1,ENSG00000108424,Gene Expression
KPRP,ENSG00000203786,Gene Expression
KRAS,ENSG00000133703,Gene Expression
KRT20,ENSG00000171431,Gene Expression
KRTCAP2,ENSG00000163463,Gene Expression
KXD1,ENSG00000105700,Gene Expression
L1CAM,ENSG00000198910,Gene Expression
LACC1,ENSG00000179630,Gene Expression
LACRT,ENSG00000135413,Gene Expression
LAD1,ENSG00000159166,Gene Expression
LAG3,ENSG00000089692,Gene Expression
LAIR1,ENSG00000167613,Gene Expression
LAIR2,ENSG00000167618,Gene Expression
LAMA3,ENSG00000053747,Gene Expression
LAMB3,ENSG00000196878,Gene Expression
LAMC1,ENSG00000135862,Gene Expression
LAMC2,ENSG00000058085,Gene Expression
LAMP1,ENSG00000185896,Gene Expression
LAMP2,ENSG00000005893,Gene Expression
LAMP3,ENSG00000078081,Gene Expression
LANCL1,ENSG00000115365,Gene Expression
LANCL2,ENSG00000132434,Gene Expression
LAPTM4B,ENSG00000104341,Gene Expression
LARP4,ENSG00000161813,Gene Expression
LARP4B,ENSG00000107929,Gene Expression
LASP1,ENSG00000002834,Gene Expression
LAT,ENSG00000213658,Gene Expression
LATS1,ENSG00000131023,Gene Expression
LATS2,ENSG00000150457,Gene Expression
LBH,ENSG00000213626,Gene Expression
LBP,ENSG00000129988,Gene Expression
LBX1,ENSG00000138136,Gene Expression
LCAT,ENSG00000213398,Gene Expression
LCK,ENSG00000182866,Gene Expression
LDB3,ENSG00000122367,Gene Expression
LDHA,ENSG00000134333,Gene Expression
LDLR,ENSG00000130164,Gene Expression
LDLRAD4,ENSG00000168675,Gene Expression
LEF1,ENSG00000138795,Gene Expression
LENG8,ENSG00000167615,Gene Expression
LEP,ENSG00000174697,Gene Expression
LEPR,ENSG00000116678,Gene Expression
LEPROTL1,ENSG00000104660,Gene Expression
LGALS13,ENSG00000105198,Gene Expression
LGALS14,ENSG00000006659,Gene Expression
LGALS2,ENSG00000100079,Gene Expression
LGALS8,ENSG00000116977,Gene Expression
LGALS9,ENSG00000168961,Gene Expression
LGALSL,ENSG00000119862,Gene Expression
LGMN,ENSG00000100600,Gene Expression
LGR4,ENSG00000205213,Gene Expression
LGR5,ENSG00000139292,Gene Expression
LGR6,ENSG00000133067,Gene Expression
LHCGR,ENSG00000138039,Gene Expression
LIF,ENSG00000128342,Gene Expression
LIFR,ENSG00000113594,Gene Expression
LIG3,ENSG00000005156,Gene Expression
LIG4,ENSG00000174405,Gene Expression
LILRA1,ENSG00000104974,Gene Expression
LILRA2,ENSG00000239998,Gene Expression
LILRA4,ENSG00000239961,Gene Expression
LILRA5,ENSG00000187116,Gene Expression
LILRA6,ENSG00000244482,Gene Expression
LILRB1,ENSG00000104972,Gene Expression
LILRB2,ENSG00000131042,Gene Expression
LILRB3,ENSG00000204577,Gene Expression
LILRB4,ENSG00000186818,Gene Expression
LILRB5,ENSG00000105609,Gene Expression
LIM2,ENSG00000105370,Gene Expression
LIMK1,ENSG00000106683,Gene Expression
LIN28A,ENSG00000131914,Gene Expression
LIN28B,ENSG00000187772,Gene Expression
LINGO2,ENSG00000174482,Gene Expression
LINS1,ENSG00000140471,Gene Expression
LIPA,ENSG00000107798,Gene Expression
LIPC,ENSG00000166035,Gene Expression
LIPE,ENSG00000079435,Gene Expression
LIPF,ENSG00000182333,Gene Expression
LIPG,ENSG00000101670,Gene Expression
LMBR1L,ENSG00000139636,Gene Expression
LMNB1,ENSG00000113368,Gene Expression
LMO1,ENSG00000166407,Gene Expression
LMO2,ENSG00000135363,Gene Expression
LMX1B,ENSG00000136944,Gene Expression
LONP1,ENSG00000196365,Gene Expression
LONRF3,ENSG00000175556,Gene Expression
LOX,ENSG00000113083,Gene Expression
LOXL1,ENSG00000129038,Gene Expression
LOXL2,ENSG00000134013,Gene Expression
LPA,ENSG00000198670,Gene Expression
LPAR1,ENSG00000198121,Gene Expression
LPAR3,ENSG00000171517,Gene Expression
LPAR5,ENSG00000184574,Gene Expression
LPAR6,ENSG00000139679,Gene Expression
LPCAT1,ENSG00000153395,Gene Expression
LPIN1,ENSG00000134324,Gene Expression
LPL,ENSG00000175445,Gene Expression
LPXN,ENSG00000110031,Gene Expression
LRATD2,ENSG00000168672,Gene Expression
LRBA,ENSG00000198589,Gene Expression
LRCH1,ENSG00000136141,Gene Expression
LRG1,ENSG00000171236,Gene Expression
LRIF1,ENSG00000121931,Gene Expression
LRP1,ENSG00000123384,Gene Expression
LRP2,ENSG00000081479,Gene Expression
LRP5,ENSG00000162337,Gene Expression
LRP6,ENSG00000070018,Gene Expression
LRPPRC,ENSG00000138095,Gene Expression
LRRC15,ENSG00000172061,Gene Expression
LRRC20,ENSG00000172731,Gene Expression
LRRC3,ENSG00000160233,Gene Expression
LRRC32,ENSG00000137507,Gene Expression
LRRC38,ENSG00000162494,Gene Expression
LRRC3B,ENSG00000179796,Gene Expression
LRRC45,ENSG00000169683,Gene Expression
LRRC47,ENSG00000130764,Gene Expression
LRRC59,ENSG00000108829,Gene Expression
LRRK2,ENSG00000188906,Gene Expression
LRRTM1,ENSG00000162951,Gene Expression
LRTM1,ENSG00000144771,Gene Expression
LSG1,ENSG00000041802,Gene Expression
LSM12,ENSG00000161654,Gene Expression
LTA,ENSG00000226979,Gene Expression
LTA4H,ENSG00000111144,Gene Expression
LTB4R,ENSG00000213903,Gene Expression
LTB4R2,ENSG00000213906,Gene Expression
LTBP1,ENSG00000049323,Gene Expression
LTBP2,ENSG00000119681,Gene Expression
LTBR,ENSG00000111321,Gene Expression
LTK,ENSG00000062524,Gene Expression
LUC7L,ENSG00000007392,Gene Expression
LURAP1,ENSG00000171357,Gene Expression
LY75,ENSG00000054219,Gene Expression
LY9,ENSG00000122224,Gene Expression
LY96,ENSG00000154589,Gene Expression
LYAR,ENSG00000145220,Gene Expression
LYN,ENSG00000254087,Gene Expression
LYVE1,ENSG00000133800,Gene Expression
LZIC,ENSG00000162441,Gene Expression
LZTS1,ENSG00000061337,Gene Expression
MAB21L1,ENSG00000180660,Gene Expression
MAB21L2,ENSG00000181541,Gene Expression
MACC1,ENSG00000183742,Gene Expression
MAD1L1,ENSG00000002822,Gene Expression
MAD2L1,ENSG00000164109,Gene Expression
MADCAM1,ENSG00000099866,Gene Expression
MAEA,ENSG00000090316,Gene Expression
MAF,ENSG00000178573,Gene Expression
MAFB,ENSG00000204103,Gene Expression
MAFF,ENSG00000185022,Gene Expression
MAGEA1,ENSG00000198681,Gene Expression
MAGEA10,ENSG00000124260,Gene Expression
MAGEA11,ENSG00000185247,Gene Expression
MAGEA12,ENSG00000213401,Gene Expression
MAGEA3,ENSG00000221867,Gene Expression
MAGEA4,ENSG00000147381,Gene Expression
MAGEB2,ENSG00000099399,Gene Expression
MAGEC1,ENSG00000155495,Gene Expression
MAGEC2,ENSG00000046774,Gene Expression
MAGI1,ENSG00000151276,Gene Expression
MAGI3,ENSG00000081026,Gene Expression
MAK,ENSG00000111837,Gene Expression
MAL,ENSG00000172005,Gene Expression
MAL2,ENSG00000147676,Gene Expression
MALL,ENSG00000144063,Gene Expression
MALT1,ENSG00000172175,Gene Expression
MAMDC2,ENSG00000165072,Gene Expression
MAML2,ENSG00000184384,Gene Expression
MAN1A1,ENSG00000111885,Gene Expression
MAN1B1,ENSG00000177239,Gene Expression
MAN2B1,ENSG00000104774,Gene Expression
MANEA,ENSG00000172469,Gene Expression
MAOA,ENSG00000189221,Gene Expression
MAOB,ENSG00000069535,Gene Expression
MAP1A,ENSG00000166963,Gene Expression
MAP1B,ENSG00000131711,Gene Expression
MAP1LC3A,ENSG00000101460,Gene Expression
MAP1LC3B,ENSG00000140941,Gene Expression
MAP1S,ENSG00000130479,Gene Expression
MAP2,ENSG00000078018,Gene Expression
MAP2K1,ENSG00000169032,Gene Expression
MAP2K4,ENSG00000065559,Gene Expression
MAP2K5,ENSG00000137764,Gene Expression
MAP3K1,ENSG00000095015,Gene Expression
MAP3K14,ENSG00000006062,Gene Expression
MAP3K15,ENSG00000180815,Gene Expression
MAP3K20,ENSG00000091436,Gene Expression
MAP3K5,ENSG00000197442,Gene Expression
MAP3K7,ENSG00000135341,Gene Expression
MAP3K7CL,ENSG00000156265,Gene Expression
MAP4,ENSG00000047849,Gene Expression
MAP4K2,ENSG00000168067,Gene Expression
MAP4K3,ENSG00000011566,Gene Expression
MAP4K4,ENSG00000071054,Gene Expression
MAP4K5,ENSG00000012983,Gene Expression
MAP7,ENSG00000135525,Gene Expression
MAP7D1,ENSG00000116871,Gene Expression
MAPK1,ENSG00000100030,Gene Expression
MAPK10,ENSG00000109339,Gene Expression
MAPK11,ENSG00000185386,Gene Expression
MAPK12,ENSG00000188130,Gene Expression
MAPK14,ENSG00000112062,Gene Expression
MAPK15,ENSG00000181085,Gene Expression
MAPK3,ENSG00000102882,Gene Expression
MAPK7,ENSG00000166484,Gene Expression
MAPK8,ENSG00000107643,Gene Expression
MAPK8IP1,ENSG00000121653,Gene Expression
MAPK8IP2,ENSG00000008735,Gene Expression
MAPK8IP3,ENSG00000138834,Gene Expression
MAPK9,ENSG00000050748,Gene Expression
MAPKAPK2,ENSG00000162889,Gene Expression
MAPRE2,ENSG00000166974,Gene Expression
MAPT,ENSG00000186868,Gene Expression
MARCO,ENSG00000019169,Gene Expression
MARK2,ENSG00000072518,Gene Expression
MAS1,ENSG00000130368,Gene Expression
MASP1,ENSG00000127241,Gene Expression
MASP2,ENSG00000009724,Gene Expression
MAT1A,ENSG00000151224,Gene Expression
MAVS,ENSG00000088888,Gene Expression
MAX,ENSG00000125952,Gene Expression
MBL2,ENSG00000165471,Gene Expression
MBNL1,ENSG00000152601,Gene Expression
MC1R,ENSG00000258839,Gene Expression
MC3R,ENSG00000124089,Gene Expression
MC4R,ENSG00000166603,Gene Expression
MCAM,ENSG00000076706,Gene Expression
MCCC1,ENSG00000078070,Gene Expression
MCEMP1,ENSG00000183019,Gene Expression
MCHR1,ENSG00000128285,Gene Expression
MCHR2,ENSG00000152034,Gene Expression
MCM2,ENSG00000073111,Gene Expression
MCM3,ENSG00000112118,Gene Expression
MCM3AP,ENSG00000160294,Gene Expression
MCM4,ENSG00000104738,Gene Expression
MCM5,ENSG00000100297,Gene Expression
MCM6,ENSG00000076003,Gene Expression
MCM7,ENSG00000166508,Gene Expression
MCM9,ENSG00000111877,Gene Expression
MCPH1,ENSG00000147316,Gene Expression
MCTP2,ENSG00000140563,Gene Expression
MCTS1,ENSG00000232119,Gene Expression
MDC1,ENSG00000137337,Gene Expression
MDFIC,ENSG00000135272,Gene Expression
MDM1,ENSG00000111554,Gene Expression
MDM2,ENSG00000135679,Gene Expression
MDM4,ENSG00000198625,Gene Expression
ME1,ENSG00000065833,Gene Expression
MECOM,ENSG00000085276,Gene Expression
MED1,ENSG00000125686,Gene Expression
MED12,ENSG00000184634,Gene Expression
MED12L,ENSG00000144893,Gene Expression
MEF2A,ENSG00000068305,Gene Expression
MEF2C,ENSG00000081189,Gene Expression
MEG3,ENSG00000214548,Gene Expression
MEGF10,ENSG00000145794,Gene Expression
MEGF8,ENSG00000105429,Gene Expression
MEIOB,ENSG00000162039,Gene Expression
MEIS1,ENSG00000143995,Gene Expression
MEIS2,ENSG00000134138,Gene Expression
MEIS3,ENSG00000105419,Gene Expression
MELK,ENSG00000165304,Gene Expression
MELTF,ENSG00000163975,Gene Expression
MEN1,ENSG00000133895,Gene Expression
MEPCE,ENSG00000146834,Gene Expression
MERTK,ENSG00000153208,Gene Expression
MEST,ENSG00000106484,Gene Expression
MET,ENSG00000105976,Gene Expression
METRNL,ENSG00000176845,Gene Expression
METTL16,ENSG00000127804,Gene Expression
METTL18,ENSG00000171806,Gene Expression
METTL2A,ENSG00000087995,Gene Expression
METTL3,ENSG00000165819,Gene Expression
MFAP5,ENSG00000197614,Gene Expression
MFF,ENSG00000168958,Gene Expression
MFGE8,ENSG00000140545,Gene Expression
MFN2,ENSG00000116688,Gene Expression
MFRP,ENSG00000235718,Gene Expression
MFSD5,ENSG00000182544,Gene Expression
MGAM,ENSG00000257335,Gene Expression
MGMT,ENSG00000170430,Gene Expression
MIAT,ENSG00000225783,Gene Expression
MICA,ENSG00000204520,Gene Expression
MICAL2,ENSG00000133816,Gene Expression
MICB,ENSG00000204516,Gene Expression
MID2,ENSG00000080561,Gene Expression
MIEN1,ENSG00000141741,Gene Expression
MIIP,ENSG00000116691,Gene Expression
MINDY1,ENSG00000143409,Gene Expression
MINDY2,ENSG00000128923,Gene Expression
MINPP1,ENSG00000107789,Gene Expression
MIPOL1,ENSG00000151338,Gene Expression
MITD1,ENSG00000158411,Gene Expression
MITF,ENSG00000187098,Gene Expression
MKI67,ENSG00000148773,Gene Expression
MKNK1,ENSG00000079277,Gene Expression
MKRN2,ENSG00000075975,Gene Expression
MKRN3,ENSG00000179455,Gene Expression
MKX,ENSG00000150051,Gene Expression
MLANA,ENSG00000120215,Gene Expression
MLF1,ENSG00000178053,Gene Expression
MLH1,ENSG00000076242,Gene Expression
MLPH,ENSG00000115648,Gene Expression
MLXIP,ENSG00000175727,Gene Expression
MLXIPL,ENSG00000009950,Gene Expression
MMACHC,ENSG00000132763,Gene Expression
MMADHC,ENSG00000168288,Gene Expression
MME,ENSG00000196549,Gene Expression
MMEL1,ENSG00000142606,Gene Expression
MMP11,ENSG00000099953,Gene Expression
MMP12,ENSG00000262406,Gene Expression
MMP13,ENSG00000137745,Gene Expression
MMP14,ENSG00000157227,Gene Expression
MMP19,ENSG00000123342,Gene Expression
MMP2,ENSG00000087245,Gene Expression
MMP21,ENSG00000154485,Gene Expression
MMP25,ENSG00000008516,Gene Expression
MMP8,ENSG00000118113,Gene Expression
MMP9,ENSG00000100985,Gene Expression
MMRN2,ENSG00000173269,Gene Expression
MNDA,ENSG00000163563,Gene Expression
MNS1,ENSG00000138587,Gene Expression
MNX1,ENSG00000130675,Gene Expression
MOB2,ENSG00000182208,Gene Expression
MOB4,ENSG00000115540,Gene Expression
MOG,ENSG00000204655,Gene Expression
MON2,ENSG00000061987,Gene Expression
MOV10,ENSG00000155363,Gene Expression
MPDU1,ENSG00000129255,Gene Expression
MPDZ,ENSG00000107186,Gene Expression
MPHOSPH9,ENSG00000051825,Gene Expression
MPI,ENSG00000178802,Gene Expression
MPL,ENSG00000117400,Gene Expression
MPLKIP,ENSG00000168303,Gene Expression
MPO,ENSG00000005381,Gene Expression
MPP7,ENSG00000150054,Gene Expression
MPPED1,ENSG00000186732,Gene Expression
MPPED2,ENSG00000066382,Gene Expression
MPZ,ENSG00000158887,Gene Expression
MPZL1,ENSG00000197965,Gene Expression
MR1,ENSG00000153029,Gene Expression
MRAP,ENSG00000170262,Gene Expression
MRAP2,ENSG00000135324,Gene Expression
MRC1,ENSG00000260314,Gene Expression
MRC2,ENSG00000011028,Gene Expression
MRE11,ENSG00000020922,Gene Expression
MRFAP1L1,ENSG00000178988,Gene Expression
MRGPRX2,ENSG00000183695,Gene Expression
MRM3,ENSG00000171861,Gene Expression
MRPL45,ENSG00000278845,Gene Expression
MRTFA,ENSG00000196588,Gene Expression
MRTFB,ENSG00000186260,Gene Expression
MS4A1,ENSG00000156738,Gene Expression
MS4A2,ENSG00000149534,Gene Expression
MS4A4A,ENSG00000110079,Gene Expression
MS4A6A,ENSG00000110077,Gene Expression
MSC,ENSG00000178860,Gene Expression
MSH2,ENSG00000095002,Gene Expression
MSH3,ENSG00000113318,Gene Expression
MSH6,ENSG00000116062,Gene Expression
MSI1,ENSG00000135097,Gene Expression
MSI2,ENSG00000153944,Gene Expression
MSLN,ENSG00000102854,Gene Expression
MSN,ENSG00000147065,Gene Expression
MSR1,ENSG00000038945,Gene Expression
MST1,ENSG00000173531,Gene Expression
MST1R,ENSG00000164078,Gene Expression
MSTN,ENSG00000138379,Gene Expression
MT1A,ENSG00000205362,Gene Expression
MTA1,ENSG00000182979,Gene Expression
MTA2,ENSG00000149480,Gene Expression
MTAP,ENSG00000099810,Gene Expression
MTCH2,ENSG00000109919,Gene Expression
MTCL1,ENSG00000168502,Gene Expression
MTERF2,ENSG00000120832,Gene Expression
MTFR1L,ENSG00000117640,Gene Expression
MTHFD1,ENSG00000100714,Gene Expression
MTHFR,ENSG00000177000,Gene Expression
MTNR1A,ENSG00000168412,Gene Expression
MTNR1B,ENSG00000134640,Gene Expression
MTOR,ENSG00000198793,Gene Expression
MTPAP,ENSG00000107951,Gene Expression
MTR,ENSG00000116984,Gene Expression
MTRES1,ENSG00000130349,Gene Expression
MTREX,ENSG00000039123,Gene Expression
MTRF1,ENSG00000120662,Gene Expression
MUC1,ENSG00000185499,Gene Expression
MUC16,ENSG00000181143,Gene Expression
MUC19,ENSG00000205592,Gene Expression
MUC4,ENSG00000145113,Gene Expression
MUC5AC,ENSG00000215182,Gene Expression
MUC5B,ENSG00000117983,Gene Expression
MUTYH,ENSG00000132781,Gene Expression
MVD,ENSG00000167508,Gene Expression
MVP,ENSG00000013364,Gene Expression
MX1,ENSG00000157601,Gene Expression
MXD1,ENSG00000059728,Gene Expression
MXRA7,ENSG00000182534,Gene Expression
MYB,ENSG00000118513,Gene Expression
MYBBP1A,ENSG00000132382,Gene Expression
MYBL2,ENSG00000101057,Gene Expression
MYC,ENSG00000136997,Gene Expression
MYCBP,ENSG00000214114,Gene Expression
MYCL,ENSG00000116990,Gene Expression
MYCN,ENSG00000134323,Gene Expression
MYD88,ENSG00000172936,Gene Expression
MYEF2,ENSG00000104177,Gene Expression
MYH1,ENSG00000109061,Gene Expression
