section,arm,band,call,celltype,module,n,lam,beta_naive,sd_y,sf_tech,sf_cum_tech,sf_seg,sf_cum_seg,sf_dens,sf_cum_dens,sf_comp,sf_cum_comp,sf_anat,sf_cum_anat
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,downstream_arrest,31135,47.71172235375296,-0.0008533625478575008,0.015144602687612956,0.44675406935683093,0.44675406935683093,1.0284691895855067,0.476776408142634,-0.06765755582165178,-0.2973786800521907,0.6240760363500356,-0.2877870798518059,0.8531966206260345,-0.1532888662852121
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,emt_ecm,31135,14.433898670314731,0.003181226676717074,0.027022232769950437,0.3443787980223012,0.3443787980223012,0.9726205235424688,0.294694694171786,-0.23506974964681826,-0.1272707747090829,0.3926772279726046,-0.09971906461577235,0.08012918569056861,-0.2937036602916205
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,il6_jak_stat3,31135,16.99573561445576,0.0012835297493201028,0.028302122665172704,-0.4580953449846928,-0.4580953449846928,1.0361178547609942,-0.38317823215740493,-0.8972722942326025,-0.6470049789454282,0.2628297716987932,-0.5546989826993183,-0.6007518566860208,-0.8761792066093304
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,interferon_response,31135,30.58868673923077,0.0007536314790126794,0.026954413042720757,-0.13519634165907318,-0.13519634165907318,1.0010008094527456,-0.07815289334929922,-2.6387180465641524,-1.163023283122057,-0.6238919562608111,-1.0675810194117272,-1.3280311957940572,-1.6787069379492199
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,oxidative_stress,31135,6.999999999999999,-0.021956397337145002,0.051343194922992205,0.18510176598600794,0.18510176598600794,1.0088760514982007,0.19059679964400145,0.3765802493189574,0.18661947302491366,0.8582703564908456,0.2002335176525962,0.5932058978307633,0.15783914697486
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,secondary_senescence,31135,6.999999999999999,-0.0019786928446775425,0.02125051841280121,0.5214458659408303,0.5214458659408303,1.0079805893729203,0.525293274849603,1.1593914274908017,0.8080540639059086,1.1813687931216819,0.7589298620809679,1.435894624421049,0.9720180026434723
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,31135,49.99999999999999,0.0029194971202736843,0.025674373423007366,0.5056396075456008,0.5056396075456008,1.0095149810775539,0.5355590282684083,-0.3275381536452807,0.23932979360668402,0.340395068442787,0.30819494473049014,-0.22294656182915823,-0.054040345628257005
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,downstream_arrest,2623,37.61610348963306,0.004870410775980187,0.02542213261309838,1.2785338851236385,1.2785338851236385,1.055852915807449,1.2803617423299607,1.6574639965171647,1.9116357112923332,1.085254049270641,1.9091749005640783,0.9126644554388803,1.8482707101133222
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,emt_ecm,2623,9.480712249261526,0.003917482497759169,0.032213957928586015,1.2010765898054494,1.2010765898054494,1.0674517045174043,1.1941782926285704,0.8861090131229828,1.1082936666832799,1.4601871250431522,1.0638970062676143,0.6161071744776871,0.9194644035213801
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,DC,il6_jak_stat3,2623,13.378373147160561,0.009192734451848275,0.03611818651713276,0.3308656063087452,0.3308656063087452,1.0289637138701608,0.33692091513267725,0.30755378713903936,0.18626546010991285,0.5993739055570964,0.20693814074435446,0.2836668962752732,0.08351237959702836
