section,arm,week,call,celltype,module,n,lam,n_perm,beta_obs,N1_null_mean,N1_null_sd,N1_null_lo,N1_null_hi,N1_sf,N1_p,N1_full_null_mean,N1_full_sf,N3_null_mean,N3_null_sd,N3_null_lo,N3_null_hi,N3_sf,N3_p,N3_full_null_mean,N3_full_sf,N4_null_mean,N4_null_sd,N4_null_lo,N4_null_hi,N4_sf,N4_p,N4_full_null_mean,N4_full_sf,beta_obs_full
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,31140,44.99999999999999,1000,-0.000782051672611926,-0.000548997542764083,0.0004820136075437673,-0.0015190294764247528,0.00039591589501323507,0.29800349262022535,0.308,-7.272285783419713e-06,1.022687593023361,2.5138529452503496e-05,0.0006151060603936409,-0.0010933231397798854,0.0012021917818248204,1.032144333082934,0.218,5.437418707828815e-06,0.9830367031199343,0.0008958381737836399,0.0003666536566872712,0.00031739915361948535,0.0015714807108199583,2.145497420639336,0.624,0.0006186841862504924,-0.9301297344010482,0.00032054020785420446
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,31140,44.99999999999999,1000,0.004428515106894481,0.003251822381475874,0.0009516337692203151,0.001500143410641454,0.00518571763699777,0.2657081881885617,0.11,0.00012205754338112398,1.3792645674633628,-9.36776610406758e-05,0.0018479697836981334,-0.0036046468102566647,0.00392773551411078,1.0211532892582516,0.02,-1.576507211411516e-05,0.9510138161824312,-0.0020511213141240236,0.0012282934517296644,-0.0038913690323436156,0.0002558905166329247,1.4631623161747287,0.005,-0.0002727938073698021,0.15235861305404563,-0.0003218269088448786
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,31140,12.409338956728524,1000,0.0014015979952371536,0.0011333533823311241,0.0006759835471208936,-0.00016740863600647678,0.0024298747206084313,0.19138484345551726,0.35,-2.6801133134636463e-05,0.9797017227760363,-9.115440835841782e-05,0.0011371480754858627,-0.0023390623962439737,0.002131171851321017,1.0650360578911888,0.221,-6.425218640852713e-05,0.9513375540722722,3.218719384517641e-05,0.0009791493521899431,-0.002000457640749811,0.0019471403754672957,0.977035359671922,0.147,0.0001153923014892315,1.0873942498391085,-0.0013203649176194894
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,31140,38.9986759023191,1000,0.0016625159323060096,0.0018309976985711614,0.0008099264953710614,0.0002107583350492498,0.0033850128304234,-0.10134144460886911,0.579,-4.0652258086868123e-05,0.9138141397421918,-0.00010097229303725345,0.000934941274766257,-0.001935333283988693,0.0015659542720520142,1.060734631816249,0.066,-2.7450139815607334e-05,0.9418036284934082,-0.0005221345029234716,0.0007141545421509309,-0.001974806235564675,0.0007628505047237067,1.314062856648381,0.059,0.0001341923439258957,1.2844979134135965,-0.00047168129395314763
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,31140,6.999999999999999,1000,-0.018637952695566826,-0.0037717260608910066,0.0012574159673421567,-0.006347935265660185,-0.001338228248980783,0.7976319544051563,0.0,5.149176978553875e-05,1.08422062196565,0.00010470108430049437,0.003100285001196251,-0.005452680676774134,0.0064026130683161,1.0056176279664772,0.0,4.825120429171033e-05,1.0789203100410965,-0.0010846242006196808,0.002414300684712061,-0.005754006967287975,0.003418675690344871,0.9418056146865494,0.0,0.00027939119310622354,1.4569759430125397,-0.0006113914690221598
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,31140,44.99999999999999,1000,0.0036820397035792368,0.0017235925391765681,0.001237563778931885,-0.0007757095385681538,0.004160019706491395,0.5318919191715673,0.055,-0.00010892091807686625,1.498871153436754,5.4148106016821404e-05,0.0012898150235931794,-0.0024382025066862416,0.0023996786684513547,0.98529399181541,0.002,5.408961542432454e-05,0.75226293248244,0.0015176773821292755,0.001157377728763218,-0.0008098327919270073,0.0036714828506730123,0.587816127932034,0.024,0.0010773228858084348,-3.9342708467421064,0.00021833476906111594
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,31140,44.99999999999999,1000,0.0022888821284604865,0.002189204605079614,0.0009126740580548459,0.00036636927992149984,0.003923848371261836,0.043548561169428124,0.478,-0.00011451145973688462,0.8739644673450534,-4.681130052986245e-05,0.0007658717305489213,-0.0016900577912799444,0.001438816853528217,1.020451599471987,0.003,2.036287695986727e-05,1.02241213281117,-0.0004654693624028243,0.0005757091426326123,-0.001259941702112449,0.0011972866825406964,1.2033610016938274,0.0,0.00039123805900146736,1.430611025957033,-0.000908564889001485
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,downstream_arrest,2627,7.342076815787144,1000,0.005629792046289989,-0.0009589699840640789,0.0021430102348872922,-0.0052036508827251575,0.0032996282724345755,1.170338438112654,0.018,-0.00021101849180759619,1.021982821541303,-0.0003057762067887775,0.004720914562694569,-0.008995127939764907,0.00920256472380454,1.0543139434413538,0.25,-0.000259387718974365,1.027021678940906,0.0003213076361550087,0.004036270288886728,-0.007851559331582362,0.007880751647457336,0.9429272638290878,0.165,0.00036151491005775047,0.9623392353710607,0.009599245092861286
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,emt_ecm,2627,6.999999999999999,1000,-0.00567803624701726,0.00046607678143573285,0.0028240920311072924,-0.005046143487970921,0.0060324507980279675,1.082084150427988,0.05,-0.00010570453303280988,0.9857951672700678,0.00012096487053290337,0.006580019638687182,-0.012329445910951977,0.013018523208869629,1.0213039975918519,0.39,0.00010764620447618973,1.014465759269962,-0.0029946879447662294,0.006279623575784934,-0.014503976573889112,0.008963232416623959,0.4725838627149704,0.433,-0.0011776861456752235,0.8417396659565899,-0.007441448628259492
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,il6_jak_stat3,2627,44.99999999999999,1000,0.010127339574281245,0.004339986283735895,0.0036660486050966177,-0.002506313880064742,0.0117143659424623,0.5714584020903721,0.06,-0.0003237602443820536,0.8509176805928966,2.2259129586710647e-05,0.0023786446801006976,-0.004502685628860862,0.00487647391675953,0.9978020753206263,0.0,4.624639975408563e-05,1.0212951424988155,0.001321010483307214,0.002196922341204743,-0.003186145374161471,0.005814062235601704,0.869559969465034,0.001,0.0008745476590387397,1.4027041482205374,-0.002171687733794591
