section,arm,week,call,scope,celltype,module,n,lam,n_perm,beta_obs,sender_set,n_senders_used,n_solid_tiles,tile_cell_coverage,N3_orig_null_mean,N3_orig_null_sd,N3_orig_null_lo,N3_orig_null_hi,N3_orig_sf,N3_orig_p,N3_occ_null_mean,N3_occ_null_sd,N3_occ_null_lo,N3_occ_null_hi,N3_occ_sf,N3_occ_p,N3_occ15_null_mean,N3_occ15_null_sd,N3_occ15_null_lo,N3_occ15_null_hi,N3_occ15_sf,N3_occ15_p,N3_swap_null_mean,N3_swap_null_sd,N3_swap_null_lo,N3_swap_null_hi,N3_swap_sf,N3_swap_p,N3_snap_null_mean,N3_snap_null_sd,N3_snap_null_lo,N3_snap_null_hi,N3_snap_sf,N3_snap_p,N4_orig_null_mean,N4_orig_null_sd,N4_orig_null_lo,N4_orig_null_hi,N4_orig_sf,N4_orig_p,N4_occ_null_mean,N4_occ_null_sd,N4_occ_null_lo,N4_occ_null_hi,N4_occ_sf,N4_occ_p,N4_occ15_null_mean,N4_occ15_null_sd,N4_occ15_null_lo,N4_occ15_null_hi,N4_occ15_sf,N4_occ15_p,N4_swap_null_mean,N4_swap_null_sd,N4_swap_null_lo,N4_swap_null_hi,N4_swap_sf,N4_swap_p,N3_tile_null_mean,N3_tile_null_sd,N3_tile_null_lo,N3_tile_null_hi,N3_tile_sf,N3_tile_p,N4_tile_null_mean,N4_tile_null_sd,N4_tile_null_lo,N4_tile_null_hi,N4_tile_sf,N4_tile_p
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,downstream_arrest,29523,6.999999999999999,1000,-0.000923491259203359,A_SENDER_FINAL_strict,11409,5,0.461,7.805430433898311e-06,0.0007846206725557722,-0.001595864055433211,0.0014738163973013099,1.0084520891303634,0.248,-0.00022830280989664915,0.0004650146083509101,-0.0011300812848476919,0.0006843976044396865,0.7527829228252877,0.081,0.000226663230044698,0.0005742540899383374,-0.0008322326825893842,0.0013125846465107077,1.2454416625883682,0.134,-0.0002942760130988418,0.00030620703715087056,-0.0008803500986636692,0.00029167869152048445,0.6813440190514676,0.02,3.788725884216878e-05,0.0005118357034211723,-0.0009855813593794146,0.0009470068204817819,1.0410261152605298,0.063,0.0009243157705287442,0.0007271254583000297,-0.000373883668639724,0.0023699999511835757,2.00089281984769,0.481,-9.674224288074238e-05,0.00046681750640038984,-0.0009234912592033578,0.0005854260626850678,0.8952429252398164,0.0,0.0006274490901994107,0.0006390288115077201,-0.0008013704198684414,0.0020518454837424233,1.6794315419299948,0.266,0.000567117626723329,0.0004792361821806276,-0.00030385178593361425,0.0015182412665995662,1.614101780684473,0.223,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,emt_ecm,29523,20.177866835741543,1000,0.0036900538435137875,A_SENDER_FINAL_strict,11409,5,0.461,-0.00015053073055052557,0.0020093424487738244,-0.0036765203919644925,0.00422530419351595,1.0407936406714287,0.067,1.5364507199427634e-06,0.0012861864859246232,-0.0024418529648539042,0.0025795286203627397,0.9995836237667254,0.013,-0.0017103289185969304,0.0016161964378392174,-0.00441665680287477,0.0010186940024545382,1.4634970087505013,0.124,0.002680416282024464,0.0007211849108895817,0.0012500197219112708,0.00405467117483912,0.2736105228556542,0.085,-0.0001393288639213088,0.0016920448430612696,-0.0032298513517604833,0.0036666676403364963,1.0377579487535704,0.033,-0.002154529302179539,0.0013701306497596569,-0.004457755514092755,0.0003283007345635861,1.58387475997584,0.179,0.0005767700629147612,0.0016768954309352535,-0.0021256832024340346,0.0036900538435137888,0.843696030634192,0.089,-0.0017196776703190565,0.0011680964309062727,-0.0038388427263186618,0.002202265830420144,1.466030508834398,0.05,-0.0019776624508976077,0.0011950396877270838,-0.004014333556139531,9.436841776578955e-05,1.5359440633566512,0.087,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,il6_jak_stat3,29523,11.58882939190469,1000,0.0022812767042757155,A_SENDER_FINAL_strict,11409,5,0.461,-4.5330423134904524e-05,0.000950139642140913,-0.0018405596095033717,0.0018469615340043549,1.0198706378099347,0.013,0.0003362805902687481,0.000874719851195796,-0.0019974265754208243,0.002096525585351806,0.8525910558598747,0.013,-0.000105149313734365,0.0009637219511940115,-0.0020313506441042304,0.0017229258773083875,1.0460923103003188,0.019,0.0012411388584061612,0.0006371841620008273,1.622722550324154e-05,0.0024846275412390723,0.45594549925489575,0.054,-2.08914265787051e-05,0.0007503348462113308,-0.0014595865777748446,0.001498650804245555,1.0091577784227352,0.0,4.330548316070078e-05,0.0008258090660000913,-0.0016515234812099857,0.0016804473404272028,0.9810169967196286,0.004,0.0006459342701049232,0.0013491339219546985,-0.002159387557364779,0.0022812767042757155,0.7168540454148892,0.089,-0.000494519406822902,0.0009102575627816021,-0.001968082792970045,0.001918759764963407,1.2167730928457918,0.022,-6.723991087436612e-05,0.0006770147435164413,-0.001403641883269744,0.0011587842124311221,1.0294746843941995,0.002,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,interferon_response,29523,49.99999999999999,1000,0.0029182073233707823,A_SENDER_FINAL_strict,11409,5,0.461,-3.8690191314833005e-05,0.0008576103389860531,-0.00163773403519372,0.001460567063474376,1.013258205133329,0.001,0.0006830513747853557,0.001073525799066434,-0.0010623300209633422,0.002918207323370778,0.7659345964506826,0.019,-0.00017533917526815727,0.0009520606314093156,-0.0019067911320832043,0.0017214044425957911,1.0600845504923295,0.005,0.0029134577871332504,0.0010795852464390834,0.0008311785663293026,0.005022501337540762,0.0016275527100129937,0.5,-7.873995851162167e-05,0.0007892295174964946,-0.0015813686896791503,0.0012701625756034241,1.0269823044720037,0.001,-0.0004994553369045135,0.0007714677470318736,-0.002275966180681961,0.000780281680331158,1.1711514233086082,0.005,0.0007716880974460401,0.001931873762902118,-0.002264939618135127,0.003673808301519575,0.7355609071137983,0.165,-0.0011458156088416627,0.0011625268961407377,-0.0028945994408150323,0.0029182073233707815,1.3926436616292726,0.032,-0.0004891488710946778,0.0006972967736811462,-0.0021210521120176426,0.0005914221632093646,1.167619643463052,0.002,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,oxidative_stress,29523,6.999999999999999,1000,-0.024018298675953707,A_SENDER_FINAL_strict,11409,5,0.461,-0.000167359707613572,0.0028048095570764597,-0.005536080931956564,0.0052055655079364365,0.9930319915714461,0.0,-0.0024560658450287704,0.0031515793624517455,-0.006103118722492513,0.001512740134436095,0.8977418892917799,0.0,-0.0018068361774872391,0.0020491708998222656,-0.005814397132640404,0.002222346909922557,0.9247725160776612,0.0,-0.003982880269983217,0.00106334397183264,-0.006006485696473989,-0.0019367463005156137,0.8341730892883458,0.0,0.0010630138516898571,0.0016796017010652332,-0.002017010571217617,0.004462791961495024,1.0442584991564832,0.0,-0.001174085491500824,0.002095365398196532,-0.004890849276030537,0.0029105512092077505,0.9511170417463299,0.0,-0.0064765425743809404,0.006053282487706785,-0.024018298675953707,-0.0009077065970082335,0.7303496529142162,0.089,-0.0027259356828289723,0.0030410937363559054,-0.0068571453113227855,0.0014321576286058905,0.8865058795543214,0.013,0.0005037240140389164,0.0015398634957544607,-0.0021771991026695403,0.0031503114793986395,1.020972510202949,0.0,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,secondary_senescence,29523,6.999999999999999,1000,-0.0018194176781025266,A_SENDER_FINAL_strict,11409,5,0.461,2.346359225875022e-05,0.001422572295086933,-0.0026998807077077314,0.0028637254452785667,1.0128962098923984,0.2,-7.569120456902072e-05,0.000691702845467265,-0.0013750957735292452,0.0011502677160036352,0.9583981152431369,0.028,-0.00023098162231418987,0.0009314795971786463,-0.00201595376495153,0.0015908842642460054,0.8730464010028303,0.05,1.3339588408890927e-05,0.0004450929981029872,-0.0009237343374574528,0.0008686777778806751,1.0073317900388892,0.0,-1.980623788634986e-05,0.0008429878356213645,-0.0016252661587537074,0.001748681737227434,0.9891139686479217,0.032,0.0001375999791243027,0.0007874646697411057,-0.0014005338936220531,0.0016664048084189522,1.0756285820349982,0.023,-0.00026499604232394316,0.0007859734926425034,-0.0018194176781025247,0.0012781982999957881,0.854351177570008,0.0,-0.0003607203484320738,0.0007513821544436457,-0.0021556961895530264,0.000903677705354922,0.8017385712068767,0.027,6.0062376008084344e-05,0.0005243784629343144,-0.0009445910846213521,0.0010859006070800092,1.033011867880015,0.001,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,Biliary/ductular,tnfa_nfkb_proximal,29523,49.99999999999999,1000,0.004075138560118785,A_SENDER_FINAL_strict,11409,5,0.461,-5.117022220865506e-05,0.0007885178691616848,-0.0017305049745011093,0.0013496779471586136,1.0125566827860604,0.001,0.0009261067912415055,0.0012281824828694735,-0.0008687549022721134,0.004075138560118781,0.7727422570842571,0.015,-7.234491387339505e-05,0.0013237840595566898,-0.002067193434578421,0.0023166472202382016,1.0177527494602014,0.0,0.0034308141945625452,0.0010905754472540316,0.001353730602451337,0.005608454378522113,0.1581110325577393,0.273,-6.563795682192819e-05,0.000747349828205685,-0.0017582230172581747,0.0012562960116789894,1.016106926391238,0.0,-0.00024335009391200296,0.0006859460749981528,-0.0010983417965835546,0.0012884351882428817,1.0597157839719957,0.004,0.002306383374205251,0.0016615681473148964,-0.00032688473925482825,0.004416476614850127,0.4340355940834506,0.076,-0.00013293600397316896,0.0011075704516745597,-0.0014450784119710862,0.00399670730118628,1.0326212230607674,0.008,-0.00029283508841948834,0.0005723019489412626,-0.001184920432061728,0.0010295172160342092,1.0718589280092976,0.001,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,DC,downstream_arrest,2489,6.999999999999999,1000,0.0036078052713061828,A_SENDER_FINAL_strict,11409,5,0.461,-0.00012500891595151805,0.00360253264312782,-0.006857568893191675,0.007300668365311335,1.0346495740625876,0.323,-0.0007673487149894916,0.002630351353912473,-0.006361496213431627,0.003919524621261373,1.2126912782938748,0.174,0.00042156936014948587,0.0032334129347087845,-0.005482770246625628,0.006787961931321091,0.8831507444422411,0.256,-0.0007975281705143945,0.0018088944372030543,-0.004232603122073844,0.0027723641898431384,1.221056323870178,0.068,0.0023086564338914576,0.002404775027753347,-0.0022540147838168074,0.007217544486568635,0.3600939462412772,0.306,0.00017439120360918824,0.003257449874932912,-0.006145066354918227,0.0062616034633746626,0.9516628003744639,0.28,-0.0008355345613459107,0.0026651553450655944,-0.0050371553697749465,0.004010336156332859,1.2315908145018621,0.244,0.00032385647684103267,0.003302802469660156,-0.005399921936826385,0.006365155382655765,0.9102344909197988,0.317,0.0006217680742538301,0.002259073164526264,-0.0037598914128578647,0.004958338944455098,0.8276603010703172,0.129,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,DC,emt_ecm,2489,49.99999999999999,1000,0.004991964190456274,A_SENDER_FINAL_strict,11409,5,0.461,-1.4655488807945954e-05,0.0036158786590614923,-0.00624242653428808,0.007274851460302182,1.0029358160933857,0.201,0.0010000236073189246,0.004725749993227557,-0.007038304866446525,0.008385535292291142,0.7996733211286277,0.401,-0.0017707561327411265,0.003979152241803569,-0.00873903934530436,0.00549898572682992,1.3547213211437874,0.274,0.004549976731894418,0.004537862733480771,-0.00407721924789398,0.013356553591079873,0.08853978948944688,0.486,-0.00028545002146469024,0.0034585750330983207,-0.0059125461538300245,0.00678827446404624,1.0571819048723183,0.158,-0.0022501796226678983,0.002258051579173562,-0.006120669045892137,0.002062857202154751,1.4507603694292983,0.101,-0.0010201454915263744,0.0038557728495756,-0.006660033347003131,0.004991964190456275,1.2043575339496038,0.163,-0.0015842548211006142,0.0023420730127130095,-0.006229370298468856,0.004547927837165569,1.3173610147543566,0.082,-0.002289750715209613,0.00202991174826823,-0.005603533739457408,0.0018625666965505633,1.4586873278432564,0.086,,,,,,,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,full,DC,il6_jak_stat3,2489,8.563960425689007,1000,0.01261260809567915,A_SENDER_FINAL_strict,11409,5,0.461,-1.793146070123805e-05,0.00419180393708532,-0.008189903449768922,0.008850046260204232,1.001421709179038,0.001,-0.0010472079172549208,0.004707302561018833,-0.011137446446415731,0.008527746733120942,1.0830286574601231,0.021,0.0003098748223985039,0.004036585857061111,-0.007738029513841853,0.008066725191003304,0.9754313445682451,0.001,0.002594922292704036,0.002538287965404841,-0.0023130552584807885,0.007622555352806771,0.7942596588255993,0.0,-0.00043699704352654316,0.0030888907623036863,-0.006248222181790642,0.005763262370484352,1.034647635145046,0.0,0.0010822210539648887,0.00399234584933059,-0.006588159386077706,0.009279886925168986,0.9141952999922642,0.004,0.0017416594918457044,0.00394192818796453,-0.002751656117383913,0.012612608095679151,0.8619112336930246,0.089,-0.00020308505487696559,0.0037696611141414668,-0.007104881416808293,0.00733331440456744,1.0161017494031659,0.013,0.0008205114451920308,0.003038074463480083,-0.0046685781419993945,0.006770336610866058,0.9349451406903603,0.0,,,,,,,,,,,,
