section,celltype,module,n,lam,beta_obs,N3_var_p_naive,N3_var_cov_p_rscount,N3_var_cov_p_rscount_1s,N3_var_beta_p_rscount,N3_var_beta_p_rscount_1s,N3_var_cov_p_rsker10,N3_var_cov_p_rsker20,N3_var_cov_p_rsker30,N3_var_cov_p_raw,N4_var_p_naive,N4_var_cov_p_rscount,N4_var_cov_p_rscount_1s,N4_var_beta_p_rscount,N4_var_beta_p_rscount_1s,N4_var_cov_p_rsker10,N4_var_cov_p_rsker20,N4_var_cov_p_rsker30,N4_var_cov_p_raw
7259_liver_sbr_Male_26-U1,Biliary/ductular,emt_ecm,31135,14.178039470333344,0.003181226676717,0.012,0.0009990009990009,0.0009990009990009,0.0019980019980019,0.0019980019980019,0.0039960039960039,0.0009990009990009,0.0029970029970029,0.0099900099900099,0.004,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009
7259_liver_sbr_Male_26-U1,Biliary/ductular,tnfa_nfkb_proximal,31135,49.99999999999999,0.0029194971202736,0.02,0.0069930069930069,0.0039960039960039,0.0069930069930069,0.0039960039960039,0.0429570429570429,0.0129870129870129,0.0099900099900099,0.0279720279720279,0.029,0.0029970029970029,0.0019980019980019,0.0029970029970029,0.0019980019980019,0.0219780219780219,0.0069930069930069,0.0059940059940059,0.0339660339660339
7259_liver_sbr_Male_26-U1,DC,il6_jak_stat3,2623,13.48099749887925,0.0091927344518482,0.071,0.0089910089910089,0.0049950049950049,0.0139860139860139,0.0059940059940059,0.0059940059940059,0.0159840159840159,0.0179820179820179,0.0459540459540459,0.091,0.0089910089910089,0.0019980019980019,0.0249750249750249,0.0149850149850149,0.0119880119880119,0.0149850149850149,0.0139860139860139,0.0459540459540459
7259_liver_sbr_Male_26-U1,Endothelial,emt_ecm,12292,30.20149733539872,0.0167840415113921,0.0,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0039960039960039,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0039960039960039,0.0009990009990009,0.0009990009990009,0.0009990009990009
7259_liver_sbr_Male_26-U1,Endothelial,interferon_response,12292,6.999999999999999,0.0076233404574255,0.007,0.0149850149850149,0.0079920079920079,0.0009990009990009,0.0009990009990009,0.0279720279720279,0.0069930069930069,0.0149850149850149,0.0819180819180819,0.011,0.0679320679320679,0.0319680319680319,0.0009990009990009,0.0009990009990009,0.1048951048951049,0.0759240759240759,0.0969030969030969,0.0899100899100899
7259_liver_sbr_Male_26-U1,Endothelial,secondary_senescence,12292,49.99999999999999,0.0037511832900996,0.034,0.0089910089910089,0.0039960039960039,0.0049950049950049,0.0029970029970029,0.0069930069930069,0.0069930069930069,0.0079920079920079,0.0549450549450549,0.027,0.0139860139860139,0.0069930069930069,0.0079920079920079,0.0029970029970029,0.0469530469530469,0.0479520479520479,0.0579420579420579,0.0429570429570429
7259_liver_sbr_Male_26-U1,Endothelial,tnfa_nfkb_proximal,12292,6.999999999999999,0.0102522368295608,0.0,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0089910089910089,0.0019980019980019,0.0009990009990009,0.0049950049950049,0.0,0.0049950049950049,0.0029970029970029,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0029970029970029,0.0099900099900099
7259_liver_sbr_Male_26-U1,Hepatocytes,emt_ecm,28529,6.999999999999999,0.01776269830407,0.0,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0209790209790209,0.0019980019980019,0.0009990009990009,0.0009990009990009,0.001,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0039960039960039,0.0029970029970029,0.0019980019980019,0.0019980019980019
7259_liver_sbr_Male_26-U1,Hepatocytes,il6_jak_stat3,28529,6.999999999999999,0.0098901215346668,0.0,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0429570429570429,0.0049950049950049,0.0019980019980019,0.0029970029970029,0.001,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0079920079920079,0.0039960039960039,0.0019980019980019,0.0019980019980019
7259_liver_sbr_Male_26-U1,Hepatocytes,interferon_response,28529,6.999999999999999,0.0088948883689033,0.0,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0609390609390609,0.0029970029970029,0.0009990009990009,0.0019980019980019,0.001,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0309690309690309,0.0079920079920079,0.0049950049950049,0.0019980019980019
7259_liver_sbr_Male_26-U1,Hepatocytes,secondary_senescence,28529,49.99999999999999,0.0026253766699645,0.015,0.0079920079920079,0.0019980019980019,0.0019980019980019,0.0009990009990009,0.1878121878121878,0.0449550449550449,0.0179820179820179,0.0419580419580419,0.014,0.0289710289710289,0.0179820179820179,0.0109890109890109,0.0059940059940059,0.1838161838161838,0.0719280719280719,0.0389610389610389,0.0329670329670329
7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,28529,8.14292620081837,0.0039136135956993,0.0,0.0059940059940059,0.0019980019980019,0.0009990009990009,0.0009990009990009,0.0419580419580419,0.0249750249750249,0.0149850149850149,0.0289710289710289,0.001,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0089910089910089,0.0039960039960039,0.0079920079920079,0.0079920079920079
7259_liver_sbr_Male_26-U1,Macrophages,emt_ecm,12526,36.94920399670096,0.0145120150585668,0.0,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0119880119880119,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.001,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0019980019980019
7259_liver_sbr_Male_26-U1,Macrophages,il6_jak_stat3,12526,6.999999999999999,0.0105617595373955,0.003,0.0019980019980019,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0029970029970029,0.0009990009990009,0.0019980019980019,0.0119880119880119,0.0,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0099900099900099
7259_liver_sbr_Male_26-U1,Macrophages,interferon_response,12526,6.999999999999999,0.0113143088574367,0.005,0.0029970029970029,0.0029970029970029,0.0009990009990009,0.0009990009990009,0.0049950049950049,0.0069930069930069,0.0059940059940059,0.0099900099900099,0.002,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0019980019980019,0.0159840159840159,0.0049950049950049,0.0029970029970029,0.0059940059940059
7259_liver_sbr_Male_26-U1,Macrophages,tnfa_nfkb_proximal,12526,49.99999999999999,0.0039690489336154,0.039,0.0129870129870129,0.0049950049950049,0.0129870129870129,0.0049950049950049,0.0389610389610389,0.0109890109890109,0.0119880119880119,0.0479520479520479,0.016,0.0069930069930069,0.0029970029970029,0.0039960039960039,0.0009990009990009,0.0129870129870129,0.0149850149850149,0.0129870129870129,0.0309690309690309
