section,arm,band,call,celltype,module,n,sender_density_per_um2,d_poisson_um,median_nn_um,sd_y,lam_raw,beta_raw,railed_raw,lam_poisson,beta_poisson,railed_poisson,lam_nn,beta_nn,railed_nn
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Hepatocytes,downstream_arrest,28561,0.00035787575935724084,24.829710325307353,6.744689781971417,0.01179016687785641,50.0,-0.0027004500062346483,1,2.0137166058291935,-0.0027004500062346483,1,7.413239395183186,-0.0027004500062346487,1
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Hepatocytes,emt_ecm,28561,0.00035787575935724084,24.829710325307353,6.744689781971417,0.017968605221938636,7.361938632551807,0.016761076946342497,0,0.2964971615093008,0.0167610769463425,0,1.0915162699150818,0.0167610769463425,0
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Hepatocytes,il6_jak_stat3,28561,0.00035787575935724084,24.829710325307353,6.744689781971417,0.01778614589014712,7.000000000000001,0.007888581168188618,1,0.28192032481608714,0.007888581168188618,1,1.037853515325646,0.007888581168188621,1
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Hepatocytes,interferon_response,28561,0.00035787575935724084,24.829710325307353,6.744689781971417,0.01636102221657424,7.000000000000001,0.01108538588626518,1,0.28192032481608714,0.011085385886265177,1,1.037853515325646,0.011085385886265179,1
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Hepatocytes,oxidative_stress,28561,0.00035787575935724084,24.829710325307353,6.744689781971417,0.04054484730219194,7.000000000000001,-0.01881191100796633,1,0.28192032481608714,-0.018811911007966326,1,1.037853515325646,-0.01881191100796633,1
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Hepatocytes,secondary_senescence,28561,0.00035787575935724084,24.829710325307353,6.744689781971417,0.021118032827508404,7.000000000000001,0.012670844807324938,1,0.28192032481608714,0.012670844807324935,1,1.037853515325646,0.012670844807324937,1
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Hepatocytes,tnfa_nfkb_proximal,28561,0.00035787575935724084,24.829710325307353,6.744689781971417,0.013953709791208304,7.000000000000001,0.002753982578020863,1,0.28192032481608714,0.0027539825780208624,1,1.037853515325646,0.002753982578020863,1
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,downstream_arrest,31155,0.00035787575935724084,24.829710325307353,6.744689781971417,0.015131849952171459,50.0,-0.0008392316613676222,1,2.0137166058291935,-0.0008392316613676222,1,7.413239395183186,-0.0008392316613676222,1
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,emt_ecm,31155,0.00035787575935724084,24.829710325307353,6.744689781971417,0.02699004720724252,50.0,0.004648086890612067,1,2.0137166058291935,0.0046480868906120685,1,7.413239395183186,0.0046480868906120685,1
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,il6_jak_stat3,31155,0.00035787575935724084,24.829710325307353,6.744689781971417,0.028281439851022244,12.188035829473574,0.0014163860387201202,0,0.49086500284504253,0.0014163860387201208,0,1.8070565472191535,0.0014163860387201202,0
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,interferon_response,31155,0.00035787575935724084,24.829710325307353,6.744689781971417,0.026896626624977986,40.868941774896264,0.001707705043399409,0,1.6459693342955006,0.0017077050433994092,0,6.059424984102176,0.0017077050433994096,0
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,oxidative_stress,31155,0.00035787575935724084,24.829710325307353,6.744689781971417,0.051395737573639216,7.000000000000001,-0.018689767008089143,1,0.28192032481608714,-0.01868976700808914,1,1.037853515325646,-0.018689767008089147,1
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,secondary_senescence,31155,0.00035787575935724084,24.829710325307353,6.744689781971417,0.03831747973408257,50.0,0.0039925453727734815,1,2.0137166058291935,0.0039925453727734815,1,7.413239395183186,0.0039925453727734815,1
7259_liver_sbr_Male_26-U1,sbr,in_band,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,31155,0.00035787575935724084,24.829710325307353,6.744689781971417,0.025665428197533785,50.0,0.0024603594311306144,1,2.0137166058291935,0.0024603594311306144,1,7.413239395183186,0.0024603594311306152,1
7259_liver_sbr_Male_26-U1,sbr,in_band,cdkn1a_pos,Hepatocytes,downstream_arrest,27171,0.0003204389574759945,26.240079054074016,6.744689781971417,0.011888572941234283,50.0,0.005295193771691827,1,1.905482064172251,0.005295193771691827,1,7.413239395183186,0.005295193771691828,1
7259_liver_sbr_Male_26-U1,sbr,in_band,cdkn1a_pos,Hepatocytes,emt_ecm,27171,0.0003204389574759945,26.240079054074016,6.744689781971417,0.01835596833928116,7.000000000000001,0.009648880445387994,1,0.2667674889841152,0.009648880445387998,1,1.037853515325646,0.009648880445388,1
7259_liver_sbr_Male_26-U1,sbr,in_band,cdkn1a_pos,Hepatocytes,il6_jak_stat3,27171,0.0003204389574759945,26.240079054074016,6.744689781971417,0.018226005424843365,7.000000000000001,0.013189955266124442,1,0.2667674889841152,0.013189955266124442,1,1.037853515325646,0.013189955266124449,1
7259_liver_sbr_Male_26-U1,sbr,in_band,cdkn1a_pos,Hepatocytes,interferon_response,27171,0.0003204389574759945,26.240079054074016,6.744689781971417,0.016707872105411734,7.000000000000001,0.011389745756430335,1,0.2667674889841152,0.011389745756430337,1,1.037853515325646,0.011389745756430337,1
7259_liver_sbr_Male_26-U1,sbr,in_band,cdkn1a_pos,Hepatocytes,oxidative_stress,27171,0.0003204389574759945,26.240079054074016,6.744689781971417,0.041552652569808585,50.0,0.012308125854858567,1,1.905482064172251,0.012308125854858572,1,7.413239395183186,0.012308125854858569,1
7259_liver_sbr_Male_26-U1,sbr,in_band,cdkn1a_pos,Hepatocytes,secondary_senescence,27171,0.0003204389574759945,26.240079054074016,6.744689781971417,0.021414743031243525,7.000000000000001,0.012661746576821838,1,0.2667674889841152,0.012661746576821842,1,1.037853515325646,0.012661746576821845,1
7259_liver_sbr_Male_26-U1,sbr,in_band,cdkn1a_pos,Hepatocytes,tnfa_nfkb_proximal,27171,0.0003204389574759945,26.240079054074016,6.744689781971417,0.014048562348014456,7.000000000000001,0.009855734833251906,1,0.2667674889841152,0.009855734833251906,1,1.037853515325646,0.00985573483325191,1
7259_liver_sbr_Male_26-U1,sbr,in_band,cdkn1a_pos,Biliary/ductular,downstream_arrest,32233,0.0003204389574759945,26.240079054074016,6.744689781971417,0.015225994274394777,50.0,0.0008853742943807205,1,1.905482064172251,0.0008853742943807207,1,7.413239395183186,0.00088537429438072,1
7259_liver_sbr_Male_26-U1,sbr,in_band,cdkn1a_pos,Biliary/ductular,emt_ecm,32233,0.0003204389574759945,26.240079054074016,6.744689781971417,0.027035011783114588,7.361938632551807,0.0038166009131634098,0,0.2805608404372851,0.003816600913163411,0,1.0915162699150818,0.003816600913163411,0
7259_liver_sbr_Male_26-U1,sbr,in_band,cdkn1a_pos,Biliary/ductular,il6_jak_stat3,32233,0.0003204389574759945,26.240079054074016,6.744689781971417,0.0283754303626371,7.000000000000001,0.001741666149666983,1,0.2667674889841152,0.0017416661496669824,1,1.037853515325646,0.001741666149666982,1
