section,arm,week,call,scope,celltype,module,n,lam,n_perm,beta_obs,cov_obs,sender_set,n_senders_used,shift_radius_um,tissue_frac_bbox,N3_var_n_valid,N3_var_frac_cells_retained,N3_var_null_mean,N3_var_null_sd,N3_var_null_lo,N3_var_null_hi,N3_var_sf,N3_var_sf_wm,N3_var_beta_obs_wm,N3_var_p_naive,N3_var_cov_S0,N3_var_cov_p_rscount,N3_var_cov_p_rscount_1s,N3_var_beta_S0,N3_var_beta_p_rscount,N3_var_beta_p_rscount_1s,N3_var_cov_p_rsker10,N3_var_cov_p_rsker20,N3_var_cov_p_rsker30,N3_var_cov_p_raw,N4_var_n_valid,N4_var_frac_cells_retained,N4_var_null_mean,N4_var_null_sd,N4_var_null_lo,N4_var_null_hi,N4_var_sf,N4_var_sf_wm,N4_var_beta_obs_wm,N4_var_p_naive,N4_var_cov_S0,N4_var_cov_p_rscount,N4_var_cov_p_rscount_1s,N4_var_beta_S0,N4_var_beta_p_rscount,N4_var_beta_p_rscount_1s,N4_var_cov_p_rsker10,N4_var_cov_p_rsker20,N4_var_cov_p_rsker30,N4_var_cov_p_raw
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,downstream_arrest,31135,47.54182525407475,1000,-0.0008533625478575182,-2.6173758159944373e-05,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6269912638509716,-7.99387696744178e-06,0.0007048672273430761,-0.0013685806706515225,0.0013131368533311288,0.990632496132492,1.0551762653137498,-0.0008599701854142541,0.235,-0.004566829920419295,0.14085914085914086,0.9310689310689311,-0.14901723694612512,0.12387612387612387,0.936063936063936,0.16983016983016982,0.13286713286713286,0.16383616383616384,0.24775224775224775,1000,0.6290888068090573,3.5603612944218105e-05,0.0006914483983267344,-0.0011644245531264453,0.0015067088343886468,1.0417215555494037,1.070166358806122,-0.0007979716238556034,0.224,-0.004815625476023506,0.11888111888111888,0.958041958041958,-0.1567023780072219,0.1068931068931069,0.9660339660339661,0.027972027972027972,0.1008991008991009,0.13086913086913088,0.23776223776223776
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,emt_ecm,31135,14.178039470333344,1000,0.003181226676717009,0.00013022855709637186,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6269912638509716,-7.284602573883351e-05,0.0012687484038930229,-0.002589683890467045,0.0024566636434319626,1.0228987221413628,1.028771092482912,0.00287200652339319,0.012,0.023422513931538817,0.000999000999000999,0.000999000999000999,0.5736111824811561,0.001998001998001998,0.001998001998001998,0.003996003996003996,0.000999000999000999,0.002997002997002997,0.00999000999000999,1000,0.6290888068090573,5.463058427145008e-05,0.001148344162214291,-0.001956741762462484,0.0025070406151463894,0.9828271953484847,0.9752464701483791,0.002833661312065846,0.004,0.022585291751873616,0.000999000999000999,0.000999000999000999,0.5511402619785185,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,il6_jak_stat3,31135,17.345738419684505,1000,0.0012835297493201153,5.6862511460324355e-05,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6269912638509716,4.976019204474446e-06,0.0011466425829542316,-0.002366898894287149,0.002232082061399641,0.9961231757915153,1.0766853604085527,0.0013501947621757959,0.254,0.009987455955111638,0.11188811188811189,0.05094905094905095,0.22537686894451853,0.14685314685314685,0.07192807192807193,0.27672327672327673,0.14885114885114886,0.14485514485514486,0.22277722277722278,1000,0.6290888068090573,-5.7225017172090825e-05,0.0010887377288692512,-0.002229035686375132,0.0021577075686047896,1.0445840988122035,0.9441603025162176,0.0011853524662486798,0.226,0.010437132865436686,0.09290709290709291,0.04595404595404595,0.2363413473965789,0.11588411588411589,0.057942057942057944,0.12987012987012986,0.11488511488511488,0.12787212787212787,0.1878121878121878
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,interferon_response,31135,30.20149733539872,1000,0.0007536314790125304,3.146162253342325e-05,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6269912638509716,1.7564959772980594e-05,0.0011566867310505858,-0.002127001900844094,0.0023561798235732265,0.9766929059332877,0.6362879356256985,0.0008392479800879075,0.499,0.005422863237603971,0.3886113886113886,0.19480519480519481,0.12975001639242453,0.4005994005994006,0.1998001998001998,0.47952047952047955,0.4095904095904096,0.41358641358641357,0.4865134865134865,1000,0.6290888068090573,0.0001135550665090882,0.0011564942544209432,-0.002224906162302208,0.002478114757373812,0.8493228193468281,-0.4403733771081154,0.0005718685802925536,0.478,0.004747925961186151,0.4385614385614386,0.21978021978021978,0.11282937457952445,0.45254745254745254,0.22777222777222778,0.3016983016983017,0.2957042957042957,0.32967032967032966,0.4745254745254745
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,oxidative_stress,31135,6.999999999999999,1000,-0.021956397337145002,-0.0004216260561351749,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6269912638509716,0.0002815956601696146,0.0029665000657144286,-0.0054362293941233,0.006141295908827948,1.0128252215445757,1.012253928945398,-0.02224771961664518,0.0,-0.07517517555612141,0.000999000999000999,1.0,-3.9199989138443048,0.000999000999000999,1.0,0.004995004995004995,0.000999000999000999,0.000999000999000999,0.000999000999000999,1000,0.6290888068090573,-0.0006423715286715126,0.003069859760058727,-0.00680061804034593,0.005007312521238822,0.9707433091682681,0.9680799970380459,-0.020638921544458348,0.001,-0.07221329895421898,0.001998001998001998,0.999000999000999,-3.757126734816172,0.001998001998001998,0.999000999000999,0.001998001998001998,0.001998001998001998,0.001998001998001998,0.001998001998001998
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,secondary_senescence,31135,6.999999999999999,1000,-0.0019786928446775998,-3.799660060773826e-05,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6269912638509716,-0.0002253700607319069,0.0012346341077485367,-0.0026822951488401224,0.0021653413554967435,0.8861015435831185,0.860646872143831,-0.0019079784441314506,0.107,-0.005989387811269773,0.04695304695304695,0.9790209790209791,-0.309066713417688,0.061938061938061936,0.97002997002997,0.0979020979020979,0.08691308691308691,0.08191808191808192,0.0899100899100899,1000,0.6290888068090573,-8.616821125435118e-05,0.0012239514575174907,-0.0026077443170918735,0.0021318258726252958,0.9564519518599709,0.9591204257201029,-0.002263465589423836,0.105,-0.006412321349267465,0.026973026973026972,0.9820179820179821,-0.33360449876652903,0.03796203796203796,0.973026973026973,0.013986013986013986,0.024975024975024976,0.025974025974025976,0.08391608391608392
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,tnfa_nfkb_proximal,31135,49.99999999999999,1000,0.002919497120273685,8.548609036744102e-05,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6269912638509716,-2.727031927040123e-06,0.0013058226693990216,-0.002562382363949589,0.0025163281628699,1.0009340759092047,0.992484571946365,0.002526119487054842,0.02,0.01509799435594619,0.006993006993006993,0.003996003996003996,0.5151146285557208,0.006993006993006993,0.003996003996003996,0.04295704295704296,0.012987012987012988,0.00999000999000999,0.027972027972027972,1000,0.6290888068090573,6.933897092532812e-06,0.0013104632722058965,-0.0027657664596449595,0.002368138384311048,0.9976249686823179,0.9685533564463578,0.0022883441946603515,0.029,0.015029183910192265,0.002997002997002997,0.001998001998001998,0.5134116497271896,0.002997002997002997,0.001998001998001998,0.02197802197802198,0.006993006993006993,0.005994005994005994,0.03396603396603397
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,DC,downstream_arrest,2623,36.94920399670096,1000,0.004870410775980182,0.00018123071980416468,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6162352268394967,0.00038387855474456467,0.0036245337430749953,-0.006905925047069649,0.007348095268088774,0.921181482958733,0.9834709566282506,0.005652541264820281,0.182,0.008543634587167172,0.1258741258741259,0.057942057942057944,0.2295492398361843,0.12187812187812187,0.054945054945054944,0.052947052947052944,0.12487512487512488,0.17082917082917082,0.18681318681318682,1000,0.6150937857415174,0.0003357123486343758,0.003804399610846969,-0.0074618990272507565,0.007317473885547619,0.9310710401902778,0.9608761408393275,0.006068841727360002,0.179,0.008619963670186491,0.11388611388611389,0.04995004995004995,0.23201361888289088,0.1008991008991009,0.04095904095904096,0.01098901098901099,0.0959040959040959,0.1108891108891109,0.1978021978021978
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,DC,emt_ecm,2623,9.472463873139185,1000,0.003917482497759235,0.00011825053237181742,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6162352268394967,-0.00022514737289677556,0.005365785321840015,-0.010200874443406694,0.010691066320700394,1.0574724642740734,-1.040192302170079,0.0024194980636467857,0.474,0.006397701582922881,0.25674325674325676,0.11688311688311688,0.21195379657161226,0.3256743256743257,0.15284715284715283,0.2827172827172827,0.3336663336663337,0.3306693306693307,0.4145854145854146,1000,0.6150937857415174,0.00011797558985560614,0.004982882176507512,-0.009542530486169916,0.009767200825764193,0.969884845708159,1.58253059573827,0.000537256520085868,0.445,0.005901928348331017,0.25274725274725274,0.13486513486513488,0.19439822995886283,0.3246753246753247,0.17182817182817184,0.24775224775224775,0.2127872127872128,0.2807192807192807,0.37662337662337664
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,DC,il6_jak_stat3,2623,13.48099749887925,1000,0.009192734451848218,0.00037516108568271217,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6162352268394967,-0.00034352359390996855,0.005129676724192612,-0.010949246923878381,0.009271717802688963,1.037369032653924,1.1030874756849456,0.009329349778456774,0.071,0.019822803833424836,0.008991008991008992,0.004995004995004995,0.48791375551129185,0.013986013986013986,0.005994005994005994,0.005994005994005994,0.015984015984015984,0.017982017982017984,0.04595404595404595,1000,0.6150937857415174,-8.343624937373545e-05,0.005291788949201036,-0.01036877877134496,0.010295615789743537,1.009076325418816,0.9996737275739908,0.009621591472717161,0.091,0.01935184164061922,0.008991008991008992,0.001998001998001998,0.4746066289187938,0.024975024975024976,0.014985014985014986,0.011988011988011988,0.014985014985014986,0.013986013986013986,0.04595404595404595
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,DC,interferon_response,2623,35.13265199376635,1000,0.007225603428995759,0.0002779389852459355,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6162352268394967,4.897341435295231e-05,0.004996901488601562,-0.009836598376701023,0.00924580077954795,0.9932222388297114,0.9648287825854748,0.005923363152289484,0.148,0.014116647575880237,0.052947052947052944,0.027972027972027972,0.36718558637546117,0.05194805194805195,0.028971028971028972,0.012987012987012988,0.030969030969030968,0.056943056943056944,0.14785214785214784,1000,0.6150937857415174,0.0002880951463321663,0.005158943250554718,-0.010043429063997491,0.01035605711091527,0.9601285693072963,0.7211486556876181,0.004394770632037512,0.16,0.013632199725450567,0.06593406593406594,0.030969030969030968,0.35495114581035514,0.06693306693306693,0.030969030969030968,0.01098901098901099,0.023976023976023976,0.030969030969030968,0.14985014985014986
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,DC,oxidative_stress,2623,42.98209161773131,1000,-0.014258851623238727,-0.00047317775671123596,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6162352268394967,-0.0004410701632652221,0.008103292125855388,-0.01649922479777428,0.014163843520889688,0.9690669224338953,1.2620675257643175,-0.014072609767598753,0.074,-0.023405476850177357,0.026973026973026972,0.983016983016983,-0.7069739107960513,0.025974025974025976,0.985014985014985,0.0919080919080919,0.03596403596403597,0.056943056943056944,0.08491508491508491,1000,0.6150937857415174,0.00024006901374133937,0.007825221731732966,-0.01568724851720567,0.015571461850418801,1.0168364900683924,-0.44834397540855797,-0.008384474649291656,0.066,-0.024599754293639742,0.017982017982017984,0.99000999000999,-0.741823761993919,0.01898101898101898,0.989010989010989,0.028971028971028972,0.028971028971028972,0.057942057942057944,0.06993006993006994
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,DC,secondary_senescence,2623,49.99999999999999,1000,-0.003514512654569425,-0.00010184914391322569,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,1000,0.6162352268394967,-0.0001804437818779424,0.0037241660486108837,-0.0072416034489466465,0.007781934953974102,0.9486575239263012,0.9565907109276368,-0.0038151983551424564,0.336,-0.00492207383226319,0.2707292707292707,0.8681318681318682,-0.1705845266563218,0.23576423576423577,0.8891108891108891,0.4195804195804196,0.3646353646353646,0.36063936063936064,0.36563436563436563,1000,0.6150937857415174,0.00019365766619892154,0.00374190459554617,-0.006754266837642028,0.007907210681761897,1.0551022816626185,1.0425523499315774,-0.0028681095798644804,0.338,-0.005511560203591243,0.22077922077922077,0.8861138861138861,-0.18972507860002533,0.1968031968031968,0.903096903096903,0.24975024975024976,0.24675324675324675,0.24975024975024976,0.35364635364635366
