section,arm,week,call,scope,celltype,module,n,lam,n_perm,beta_obs,cov_obs,sender_set,n_senders_used,shift_radius_um,tissue_frac_bbox,beta_obs_full,N3_var_n_valid,N3_var_frac_cells_retained,N3_var_null_mean,N3_var_null_sd,N3_var_null_lo,N3_var_null_hi,N3_var_sf,N3_var_sf_wm,N3_var_beta_obs_wm,N3_var_p_naive,N3_var_cov_S0,N3_var_cov_p_rscount,N3_var_cov_p_rscount_1s,N3_var_beta_S0,N3_var_beta_p_rscount,N3_var_beta_p_rscount_1s,N3_var_cov_p_rsker10,N3_var_cov_p_rsker20,N3_var_cov_p_rsker30,N3_var_cov_p_raw,N3_var_full_null_mean,N3_var_full_sf,N3_var_full_sf_wm,N4_var_n_valid,N4_var_frac_cells_retained,N4_var_null_mean,N4_var_null_sd,N4_var_null_lo,N4_var_null_hi,N4_var_sf,N4_var_sf_wm,N4_var_beta_obs_wm,N4_var_p_naive,N4_var_cov_S0,N4_var_cov_p_rscount,N4_var_cov_p_rscount_1s,N4_var_beta_S0,N4_var_beta_p_rscount,N4_var_beta_p_rscount_1s,N4_var_cov_p_rsker10,N4_var_cov_p_rsker20,N4_var_cov_p_rsker30,N4_var_cov_p_raw,N4_var_full_null_mean,N4_var_full_sf,N4_var_full_sf_wm
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,downstream_arrest,31135,47.54182525407475,200,-0.0008533625478575182,-2.6173758159944373e-05,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,5.1953458870248875e-05,200,0.6378278464750281,-1.0072478418162633e-05,0.0007321851913369321,-0.0013383852260991339,0.0013516960363000232,0.9881967184481544,1.0895723582034322,-0.0008452278902996709,0.27,-0.004542332532989555,0.16417910447761194,0.9353233830845771,-0.14805918668238904,0.14427860696517414,0.945273631840796,0.01990049751243781,0.004975124378109453,0.04477611940298507,0.27860696517412936,-2.002705821584369e-06,1.0385480748564986,0.38428503361992183,200,0.633092018628553,0.00011578474720846222,0.0006756248354781472,-0.001186229597357553,0.0014794328203525768,1.1356806055048412,1.1967478798258673,-0.0008099138899103328,0.22,-0.00523196906544017,0.08955223880597014,0.9701492537313433,-0.17015635008995608,0.07960199004975124,0.9751243781094527,0.03482587064676617,0.08955223880597014,0.06467661691542288,0.22388059701492538,9.920585800662351e-05,-0.9095140181981936,3.137128663849233
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,emt_ecm,31135,14.178039470333344,200,0.003181226676717009,0.00013022855709637186,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,-0.0007526427875876304,200,0.6378278464750281,7.63009330257403e-05,0.001289728414860768,-0.002578487701798397,0.0024642544828815697,0.9760152479594814,0.9806048605122868,0.002868834795581082,0.02,0.0223577063927641,0.004975124378109453,0.004975124378109453,0.5451419351182114,0.014925373134328358,0.004975124378109453,0.014925373134328358,0.004975124378109453,0.004975124378109453,0.024875621890547265,-6.694721743588225e-06,0.9911050476348201,-0.6776955082197265,200,0.633092018628553,-2.0437549381571476e-05,0.0011217507234247321,-0.0018813611755070252,0.002061272769858057,1.0064244241163798,0.998738796057975,0.002872131713087722,0.005,0.022984650130661827,0.004975124378109453,0.004975124378109453,0.5621266258494061,0.004975124378109453,0.004975124378109453,0.014925373134328358,0.004975124378109453,0.004975124378109453,0.004975124378109453,-1.9537857091302505e-05,0.9740409960561435,0.7246168568826711
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,il6_jak_stat3,31135,17.345738419684505,200,0.0012835297493201153,5.6862511460324355e-05,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,-0.001145758229217516,200,0.6378278464750281,6.378113311145477e-05,0.0010999475225711417,-0.0019963076073753437,0.002401080336949662,0.9503080211851423,1.6715179664540127,0.001289969050258249,0.22,0.009526062771434758,0.1044776119402985,0.05970149253731343,0.21415524102268715,0.1791044776119403,0.08955223880597014,0.0845771144278607,0.0845771144278607,0.0845771144278607,0.1890547263681592,5.050734634249841e-05,1.0440820280007868,1.0420328144886613,200,0.633092018628553,-0.0002636694874739091,0.0009817607371306824,-0.001946247687939231,0.0015067279942887713,1.2054253028522126,1.1836404632869546,0.0012039200963767037,0.195,0.011845260698967583,0.03980099502487562,0.029850746268656716,0.2716468139932367,0.04477611940298507,0.03482587064676617,0.19900497512437812,0.11940298507462686,0.11940298507462686,0.16417910447761194,-0.00032918739786743755,0.7126903482139921,0.7482588225826557
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,interferon_response,31135,30.20149733539872,200,0.0007536314790125304,3.146162253342325e-05,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,-0.0012205962226842489,200,0.6378278464750281,0.0001285479068457036,0.0012239061292730533,-0.0020546038261232934,0.0030772938022389945,0.829428692370789,-0.5456072963213905,0.0008124969990451064,0.445,0.004608837205039263,0.43283582089552236,0.20398009950248755,0.10974796058617457,0.44776119402985076,0.21393034825870647,0.7611940298507462,0.5522388059701493,0.47761194029850745,0.4427860696517413,9.070699499571669e-05,1.0743136782745732,1.9824495825013586,200,0.633092018628553,1.2460532622625399e-06,0.001107252318150818,-0.002241944600552377,0.001970452223184644,0.9983466013602627,0.8079351705849437,0.0006073554928643493,0.505,0.005515982597973045,0.38308457711442784,0.19900497512437812,0.13209876203371884,0.39303482587064675,0.20398009950248755,0.2835820895522388,0.3781094527363184,0.39303482587064675,0.48756218905472637,-3.482404950216085e-05,0.971469640119336,1.0086466007604724
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,oxidative_stress,31135,6.999999999999999,200,-0.021956397337145002,-0.0004216260561351749,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,-0.002671822982783597,200,0.6378278464750281,0.0001505439075857314,0.0028051548796743492,-0.005653727344126921,0.005090255062948559,1.0068564940447242,1.00682547223323,-0.02225355996934041,0.0,-0.0745052422721654,0.004975124378109453,1.0,-3.881387744677548,0.004975124378109453,1.0,0.009950248756218905,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.00017533418807067318,1.065623429845642,1.1439136098069824,200,0.633092018628553,-0.0004182131919385984,0.002859729925011859,-0.0057861444303189055,0.00557207975717732,0.9809525585861447,0.9787990537644268,-0.020663640313104338,0.0,-0.07269175132795704,0.004975124378109453,1.0,-3.7815292065218795,0.004975124378109453,1.0,0.024875621890547265,0.004975124378109453,0.004975124378109453,0.004975124378109453,-0.0002421820253283541,0.9093570094692275,6.556541854878366
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,secondary_senescence,31135,6.999999999999999,200,-0.0019786928446775998,-3.799660060773826e-05,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,-0.0015699318831342323,200,0.6378278464750281,-2.686744007603107e-05,0.001244262289174157,-0.002171821035798354,0.0023307186426608437,0.9864216216537597,0.964539798330719,-0.0019446106250061363,0.11,-0.006602871150623036,0.029850746268656716,1.0,-0.3426883493878441,0.04477611940298507,0.9900497512437811,0.06965174129353234,0.12437810945273632,0.09950248756218906,0.09950248756218906,9.327184357227662e-05,1.0594113952167579,1.1310414518983507,200,0.633092018628553,8.950508977486733e-05,0.0011727760318325181,-0.002256399238714887,0.002281267166170818,1.0452344536523812,1.0359729424196147,-0.0022139838043282907,0.1,-0.00696405803961517,0.01990049751243781,0.9900497512437811,-0.3631202538372242,0.01990049751243781,0.9900497512437811,0.03980099502487562,0.06467661691542288,0.06467661691542288,0.08955223880597014,0.00011907746331396196,1.0758488088516518,1.068517714111672
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,Biliary/ductular,tnfa_nfkb_proximal,31135,49.99999999999999,200,0.002919497120273685,8.548609036744102e-05,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,-0.00015707288535597383,200,0.6378278464750281,3.1123878060349744e-05,0.0012729575819868365,-0.002496617854017696,0.002380574422793176,0.9893393016748611,0.9854427643037366,0.002479679790664206,0.01,0.014863644980620734,0.004975124378109453,0.004975124378109453,0.5071211064558084,0.004975124378109453,0.004975124378109453,0.06965174129353234,0.014925373134328358,0.014925373134328358,0.024875621890547265,3.48294976797133e-05,1.2217409936844243,-1.3062778344068355,200,0.633092018628553,-0.00021816021125901488,0.0013580864837053745,-0.003038100569348095,0.002192209684543051,1.0747252702337187,1.0897575523564313,0.002291385187485011,0.04,0.016155568421716233,0.004975124378109453,0.004975124378109453,0.5508887267030422,0.004975124378109453,0.004975124378109453,0.03482587064676617,0.004975124378109453,0.004975124378109453,0.04477611940298507,-0.0001271262131654911,0.19065462586120244,-1.567194341404463
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,DC,downstream_arrest,2623,36.94920399670096,200,0.004870410775980182,0.00018123071980416468,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,0.008454275182954213,200,0.6283415935951201,0.00045650577174063684,0.003484693030158032,-0.0064553380156455184,0.0072230274565837785,0.9062695545123165,0.9670683932211426,0.005846028441706925,0.17,0.008397721004005546,0.13432835820895522,0.05472636815920398,0.22493449681604072,0.11940298507462686,0.04477611940298507,0.06965174129353234,0.2537313432835821,0.22885572139303484,0.1791044776119403,0.0004419431585323181,0.9477254822006057,0.9374567637747054,200,0.6196263820053374,-0.00016929118885409395,0.003957172837946116,-0.010270649369762188,0.0072572274721268435,1.0347591192285057,1.076310606911265,0.006115249159613292,0.195,0.009558135917553369,0.07960199004975124,0.04477611940298507,0.25682537899524044,0.07960199004975124,0.04477611940298507,0.1044776119402985,0.06467661691542288,0.05970149253731343,0.19402985074626866,-0.00023360103690900282,1.0276311134726248,1.0561679522689482
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,DC,emt_ecm,2623,9.472463873139185,200,0.003917482497759235,0.00011825053237181742,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,0.0029295460151485394,200,0.6283415935951201,-0.0003261802347724007,0.005656362482474502,-0.01029363569176323,0.011246992441073744,1.083262716542824,-5.580761818582664,0.0022369817988604117,0.505,0.006517073786206,0.2935323383084577,0.14427860696517414,0.21625887745253883,0.35323383084577115,0.1691542288557214,0.2935323383084577,0.35323383084577115,0.3482587064676617,0.4527363184079602,-0.00022133666662921899,1.0755532309390936,1.5040371391815097,200,0.6196263820053374,0.0003608092449139716,0.005079726977488073,-0.008914153271876031,0.008852899444493415,0.9078976753258371,2.6704250190323067,0.000663084218524242,0.47,0.005557984957326894,0.27860696517412936,0.14427860696517414,0.1812495981901296,0.39800995024875624,0.20398009950248755,0.13432835820895522,0.1791044776119403,0.21393034825870647,0.417910447761194,9.585164662526055e-06,0.996728105783981,1.5353415824171304
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,full,DC,il6_jak_stat3,2623,13.48099749887925,200,0.009192734451848218,0.00037516108568271217,A_SENDER_FINAL_strict,5707,1737.890634059906,0.6732,0.0006062010587531547,200,0.6283415935951201,-0.0005892032336372497,0.005482322318027621,-0.011092284446965195,0.009563336912946176,1.0640944472750204,0.8123567806252231,0.009352364523451838,0.105,0.02018419590782735,0.01990049751243781,0.014925373134328358,0.49849175028849985,0.024875621890547265,0.01990049751243781,0.009950248756218905,0.009950248756218905,0.024875621890547265,0.07462686567164178,-0.0009516081214477065,2.569789606446731,4.028006254257105,200,0.6196263820053374,0.00044960276789483123,0.00514800473523262,-0.008131090117430021,0.010976547047542865,0.9510915092511524,0.936594824310497,0.009529035436302766,0.065,0.018327517531204197,0.01990049751243781,0.009950248756218905,0.445553749806009,0.04975124378109453,0.03980099502487562,0.19900497512437812,0.13930348258706468,0.09950248756218906,0.05472636815920398,0.0004736729578949993,0.21862070173671685,-6.611991554338102
