section,arm,week,call,celltype,module,n,lam,n_perm,beta_obs,N1_null_mean,N1_null_sd,N1_null_lo,N1_null_hi,N1_sf,N1_p,N3_null_mean,N3_null_sd,N3_null_lo,N3_null_hi,N3_sf,N3_p,N4_null_mean,N4_null_sd,N4_null_lo,N4_null_hi,N4_sf,N4_p
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,downstream_arrest,29523,44.99999999999999,200,-0.0011522827408416824,-0.0007415760941606998,0.0005720286608842499,-0.0019450125951455057,0.0003050694209389819,0.3564287063615852,0.215,1.6064068781749445e-05,0.0005879294084088517,-0.0009921041484400052,0.0011913638451494786,1.013941082524603,0.035,0.0008413205278033184,0.00037705407176449245,0.0002783417214629494,0.0015560146659563373,1.7301337579601146,0.175
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,emt_ecm,29523,29.290349801189254,200,0.006428859015275397,0.0033681178556730276,0.0008567753638160961,0.0018228327820469102,0.005066304751301336,0.4760939930911293,0.0,-6.590818629467754e-05,0.0018015528969918429,-0.003326896966472417,0.0037934109594182945,1.0102519259075484,0.0,-0.002073661092119581,0.0012734471058608828,-0.003953326810487212,-0.00024567478502974215,1.3225550734885343,0.005
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,il6_jak_stat3,29523,8.077197307646747,200,0.0029294994906544575,0.0010535304481675708,0.0005839172104560544,-2.4774174115581826e-07,0.002151442878184145,0.6403718616342174,0.0,-5.528156808886036e-06,0.0010698984446509806,-0.001944096370727881,0.002076161522343986,1.001887065291024,0.0,-5.8252341231798986e-05,0.0009857194408482786,-0.001794672194196489,0.0017232402958297622,1.0198847418876953,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,interferon_response,29523,44.99999999999999,200,0.004746789720603109,0.002664886324608574,0.0010028751981590797,0.0007813932673162004,0.00462795761062574,0.4385918733577303,0.02,-6.646377215621892e-05,0.0008705015002097738,-0.0016714597489367296,0.0014208798947611167,1.0140018362026315,0.0,-0.0005071244744966328,0.0008786274993666675,-0.0024429482661441873,0.0006470542128178337,1.1068352516850484,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,oxidative_stress,29523,6.999999999999999,200,-0.02372028860344803,-0.0040261276429094115,0.0009168182139351763,-0.005568874273712917,-0.002182063764078723,0.8302664984302018,0.0,6.12527614055133e-05,0.00249701575704308,-0.004634321617348958,0.004530032614052295,1.0025822941039852,0.0,-0.0014164880780828627,0.0022452926272361817,-0.004506416669960753,0.0021803880992789983,0.9402836912415576,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,secondary_senescence,29523,44.99999999999999,200,0.007419386417247914,0.0029793177740374925,0.0015604646285079658,-6.173329584017597e-05,0.006040370602565289,0.5984414874104083,0.0,3.270683021718217e-05,0.0011499544270848138,-0.001957670553772721,0.00212824370094453,0.9955917068639062,0.0,0.0016829535080881333,0.0011581356496008206,-0.0005888299104935827,0.003809925211340063,0.773168101316875,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,tnfa_nfkb_proximal,29523,44.99999999999999,200,0.004820683370329658,0.003172742456979898,0.0011346879537761383,0.0010380135908245746,0.0054694799528073705,0.3418479885014864,0.075,-2.8948911974050508e-05,0.0006673365958175373,-0.0014812910659794149,0.0013271547718831562,1.0060051469366822,0.0,-0.00028864288888640044,0.0006483051041800464,-0.0010511846761485258,0.0009661086780886203,1.0598759276875431,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,DC,downstream_arrest,2489,11.279942334352274,200,0.005919143670568766,-0.0012932131460434212,0.001875640073903055,-0.004894053501964211,0.002138556979961829,1.218479769712898,0.015,-3.7821944164210684e-05,0.002899579927522922,-0.005810034586503015,0.0055830901826776965,1.0063897662008559,0.03,0.000800627956704796,0.0021307188623062743,-0.0029054742712287455,0.0052138122199305425,0.864739225593444,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,DC,emt_ecm,2489,6.999999999999999,200,-0.006238704704812619,0.0002766271565717391,0.0020895806603293383,-0.0037153134866310692,0.004121934897081972,1.0443404792597966,0.0,0.00018897939182191032,0.004950680657997029,-0.009130988665753405,0.010390470312102702,1.030291446824872,0.21,-0.0022436130830347954,0.005181035815122451,-0.011155301455221634,0.0072593866378190645,0.6403719699533074,0.295
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,DC,il6_jak_stat3,2489,6.999999999999999,200,0.015179494048028212,0.0021011990369241475,0.0025381641340231423,-0.0032472656483263254,0.007030956725471203,0.8615764774322574,0.0,0.0001442430390920302,0.004763608768138393,-0.007936765760318478,0.009354244689005763,0.9904975067920154,0.005,0.00027519000008805925,0.005038217228087148,-0.010049059080796412,0.010873449945055489,0.9818709372514425,0.0
