section,arm,week,call,celltype,module,n,lam,n_perm,beta_obs,sender_set,N1_null_mean,N1_null_sd,N1_null_lo,N1_null_hi,N1_sf,N1_p,N3_null_mean,N3_null_sd,N3_null_lo,N3_null_hi,N3_sf,N3_p,N4_null_mean,N4_null_sd,N4_null_lo,N4_null_hi,N4_sf,N4_p
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,Biliary/ductular,downstream_arrest,31147,6.999999999999999,1000,-0.0009581129387547185,A_sender_for_downstream_arrest,-0.0002815087964352547,0.00037486612175586143,-0.0010126555716973575,0.00046902636866630565,0.7061841197957955,0.038,-2.098935861549205e-05,0.0008708640915946188,-0.0016525055751067073,0.0017518802478343524,0.9780930224752289,0.278,0.0009117018453532834,0.0008918117418941279,-0.0006678836557655287,0.00271677167069253,1.9515598928642413,0.469
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,DC,downstream_arrest,2625,14.911122358641625,1000,0.0037698748563775564,A_sender_for_downstream_arrest,-0.0011371856580094399,0.002139797714045218,-0.005300564948796346,0.0030573758996422745,1.3016507712678167,0.119,7.123078737585419e-06,0.0027765437719183507,-0.004885436887691177,0.005647722945302286,0.9981105264739664,0.181,0.0004842170174220725,0.002484532425317351,-0.004062106763645382,0.005769113965441324,0.8715562091927495,0.134
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,Endothelial,downstream_arrest,12298,49.99999999999999,1000,-0.0029772286972969473,A_sender_for_downstream_arrest,-0.0013748723959146466,0.0007292264401819496,-0.002729396197235431,7.996471249778515e-05,0.5382039689584796,0.014,2.312384475710029e-05,0.0008706033645808888,-0.0018251205697755013,0.0013969522690413189,1.0077669024143474,0.0,-0.0013533304333250738,0.0007335529268822696,-0.002342813451553244,0.0002711429063569119,0.5454395443138867,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,Hepatocytes,downstream_arrest,28548,49.99999999999999,1000,-0.002208767184967724,A_sender_for_downstream_arrest,-0.0003720137739244531,0.0004834373603219453,-0.001342360904777976,0.0005191572995089245,0.8315740217184142,0.0,2.642059613560329e-05,0.0012557854024918345,-0.001708781678291984,0.0028098872257729065,1.0119616935254265,0.082,-0.0019280659606566329,0.0012901600045923949,-0.0033850847988456624,0.0005289424123190094,0.12708502110202835,0.508
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,Macrophages,downstream_arrest,12538,49.99999999999999,1000,-0.0038853626489892307,A_sender_for_downstream_arrest,-0.002641011991483696,0.0008676340297328067,-0.004312351276545379,-0.0009708726701643675,0.3202662839797593,0.077,8.120608243265358e-07,0.0006554934550208336,-0.0012004199942197693,0.0013633655413330932,1.000209005155423,0.0,-0.00031391101429329403,0.0006215430585448673,-0.0013382060719604435,0.0009873412635266453,0.9192067658407749,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,Mesenchymal,downstream_arrest,14357,49.99999999999999,1000,-0.002292300974797508,A_sender_for_downstream_arrest,-0.0011864007831961084,0.0006989579160054755,-0.0026007188564226257,0.0002452309756784954,0.48244109467304575,0.06,2.797536868788742e-05,0.0006754902345416479,-0.001120871383168973,0.001305053241694241,1.0122040556608665,0.0,0.0002842450784065012,0.0006449636099893859,-0.0008472207655308886,0.0016004664697208887,1.123999894224889,0.001
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,T/NK cells,downstream_arrest,5979,14.911122358641625,1000,0.0010770009246492886,A_sender_for_downstream_arrest,0.00040871676348486316,0.000980719689188117,-0.0015022975624405057,0.002482497535936727,0.6205047236909694,0.297,-5.223922027260669e-05,0.0015607002461989826,-0.00289770328529679,0.0029757451231903135,1.0485043411542267,0.504,1.60458535487683e-05,0.0014696423143875708,-0.0026247636798616583,0.0031028181475206314,0.985101355828461,0.48
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,Biliary/ductular,emt_ecm,31147,12.18803582947357,1000,0.005751018903817684,A_sender_for_emt_ecm,0.0019240514426933017,0.0006543426802967612,0.0005937941722164775,0.0032046125759703386,0.6654416417556785,0.0,3.4704983791973564e-06,0.0020081947984729887,-0.003421303798043758,0.004659792810866325,0.999396541997646,0.011,-0.0022808639460586448,0.0017409848661423103,-0.005297474000914409,0.0009382157597715558,1.3966017125321124,0.009
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,DC,emt_ecm,2627,19.185852382096297,1000,0.005257236643487009,A_sender_for_emt_ecm,0.0015165391705269228,0.0028002939434085307,-0.003730637546424995,0.006914260147842937,0.7115330213629044,0.095,0.0002125490423903877,0.004142855355049895,-0.007302193893240262,0.008561246038952716,0.959570196891611,0.219,-0.0028106041739051433,0.0035710788004952006,-0.009165902290161137,0.004772816657669605,1.53461625650561,0.294
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,Endothelial,emt_ecm,12292,25.962470509255517,1000,0.015641989632181982,A_sender_for_emt_ecm,0.008247821665893385,0.0011843320107948823,0.005958859644620947,0.010392252896770206,0.4727127520322456,0.0,-4.120337555662924e-06,0.0017980347634249444,-0.00356817161543183,0.0035911569521479263,1.0002634151826304,0.0,0.0006286336395251004,0.0012498033779484194,-0.0020124655155178226,0.002856046186652711,0.9598111458767533,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,Hepatocytes,emt_ecm,28534,6.999999999999999,1000,0.02193862756826204,A_sender_for_emt_ecm,0.0019236019669979986,0.0005319582749569347,0.0007981589598983879,0.002933441372721516,0.9123189469800372,0.0,5.885106428382693e-05,0.0028041749015841615,-0.004906123095077212,0.005240434169300075,0.9973174682827942,0.0,0.0009908701793503152,0.0019616702668234062,-0.0035550923637694023,0.00570013050091759,0.9548344500462839,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,Macrophages,emt_ecm,12535,17.345738419684505,1000,0.014226233422592558,A_sender_for_emt_ecm,0.007667832815097646,0.0013129708206078775,0.005077293093011016,0.010309345529367407,0.4610075212936948,0.0,3.092961966181777e-05,0.0028795577998333237,-0.0052947581241284585,0.005824475970982259,0.9978258743025614,0.0,-0.0019848949106604837,0.0023621861508257573,-0.0063726961837830155,0.0025292268154700442,1.1395235725225967,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,Mesenchymal,emt_ecm,14355,11.019082036984365,1000,0.026241008978106467,A_sender_for_emt_ecm,0.009855953761641511,0.0016829949060783412,0.00661905886563575,0.013014126800784962,0.6244064483242782,0.0,-9.42912845513783e-05,0.005134427475031704,-0.009389677820749535,0.010167391770313536,1.0035932796879132,0.0,-0.0028054289644503325,0.004004068109516205,-0.01088534310839481,0.004444675111543283,1.1069101026866373,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierApm_p95,T/NK cells,emt_ecm,5984,49.99999999999999,1000,0.008352240179850512,A_sender_for_emt_ecm,0.006769347039131587,0.0026970241030924557,0.001396827435618223,0.011999841758614991,0.1895171961814028,0.273,-0.00020063196478541475,0.003178879686557476,-0.006164145070756212,0.006220722297413631,1.0240213356494983,0.004,-0.0031311581300200904,0.001867303598356228,-0.006201389974921802,0.0010426454003734083,1.3748884206627463,0.0
