section,arm,A,B,n,n_strata,n_A,n_B,n_both,exp_both_marginal,ratio_marginal,exp_both_stratified,sd_both_stratified,ratio_stratified,z
7361_liver_sbr_Male_2-U1,SBR,tierA_score,deepscence_score,161579,100,8102,8104,633,406.36,1.558,407.36,19.174,1.554,11.77
7361_liver_sbr_Male_2-U1,SBR,tierA_score,cdkn1a_counts,161579,100,8102,3575,312,179.26,1.74,179.64,12.877,1.737,10.28
7361_liver_sbr_Male_2-U1,SBR,senepy_score,deepscence_score,136384,60,6824,6829,188,341.69,0.55,342.68,17.586,0.549,-8.8
7361_liver_sbr_Male_2-U1,SBR,senepy_score,cdkn1a_counts,136384,60,6824,3059,185,153.06,1.209,153.47,11.902,1.205,2.65
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,cdkn1a_counts,161579,100,8104,3575,274,179.3,1.528,179.66,12.878,1.525,7.33
7435_liver_sham_Male_10-U1,sham,tierA_score,senepy_score,119459,60,5986,5985,265,299.9,0.884,300.58,16.471,0.882,-2.16
7435_liver_sham_Male_10-U1,sham,tierA_score,deepscence_score,139768,100,7024,7024,391,352.99,1.108,353.76,17.868,1.105,2.08
7435_liver_sham_Male_10-U1,sham,tierA_score,cdkn1a_counts,139768,100,7024,2747,162,138.05,1.173,138.05,11.298,1.173,2.12
7435_liver_sham_Male_10-U1,sham,senepy_score,deepscence_score,119459,60,5985,5986,160,299.9,0.534,300.58,16.471,0.532,-8.53
7435_liver_sham_Male_10-U1,sham,senepy_score,cdkn1a_counts,119459,60,5985,2501,148,125.3,1.181,125.37,10.762,1.181,2.1
7435_liver_sham_Male_10-U1,sham,deepscence_score,cdkn1a_counts,139768,100,7024,2747,135,138.05,0.978,138.06,11.298,0.978,-0.27
7448_liver_sbr_Male_10-U1,SBR,tierA_score,senepy_score,87313,60,4368,4366,233,218.42,1.067,219.42,14.073,1.062,0.97
7448_liver_sbr_Male_10-U1,SBR,tierA_score,deepscence_score,162303,110,8133,8136,502,407.69,1.231,408.7,19.207,1.228,4.86
7448_liver_sbr_Male_10-U1,SBR,tierA_score,cdkn1a_counts,162303,110,8133,3739,332,187.36,1.772,187.61,13.146,1.77,10.98
7448_liver_sbr_Male_10-U1,SBR,senepy_score,deepscence_score,87313,60,4366,4371,73,218.57,0.334,219.57,14.078,0.332,-10.41
7448_liver_sbr_Male_10-U1,SBR,senepy_score,cdkn1a_counts,87313,60,4366,1947,117,97.36,1.202,97.59,9.49,1.199,2.05
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,cdkn1a_counts,162303,110,8136,3739,201,187.43,1.072,187.68,13.148,1.071,1.01
7450_liver_sbr_Male_10-U1,SBR,tierA_score,senepy_score,59284,50,2983,2983,177,150.1,1.179,150.14,11.641,1.179,2.31
7450_liver_sbr_Male_10-U1,SBR,tierA_score,deepscence_score,81428,90,4085,4084,275,204.88,1.342,205.82,13.631,1.336,5.08
7450_liver_sbr_Male_10-U1,SBR,tierA_score,cdkn1a_counts,81428,90,4085,1813,201,90.95,2.21,91.44,9.176,2.198,11.94
7450_liver_sbr_Male_10-U1,SBR,senepy_score,deepscence_score,59284,50,2983,2983,75,150.1,0.5,150.14,11.641,0.5,-6.45
7450_liver_sbr_Male_10-U1,SBR,senepy_score,cdkn1a_counts,59284,50,2983,1299,91,65.36,1.392,65.41,7.762,1.391,3.3
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,cdkn1a_counts,81428,90,4084,1813,123,90.93,1.353,91.41,9.175,1.346,3.44
