section,call,celltype,module,null,bin_lo,bin_hi,mean,lo,hi
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N1,70.0,75.0,0.009497643910306448,-0.007262708521739114,0.029718250117730344
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N1,75.0,80.0,0.008436456462755072,-0.013112500100396572,0.030985249252989882
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N1,80.0,85.0,0.009337925570288624,-0.015530000440776348,0.03994999825954437
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N1,85.0,90.0,0.00982293157391627,-0.009928000124637038,0.03994999825954437
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N1,90.0,95.0,0.00704150892753259,-0.017470000311732292,0.03994999825954437
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N1,95.0,100.0,0.01946664664511183,0.002294708286353853,0.039169998839497566
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,0.0,5.0,-0.009371489622463655,-0.010007521476617412,-0.008767762141786907
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,5.0,10.0,-0.00747682129713806,-0.008317460437257026,-0.006643133266508432
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,10.0,15.0,-0.009354513347146582,-0.009760080607485459,-0.008943458237361979
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,15.0,20.0,-0.009689384685252928,-0.010067038871828046,-0.009305583757261274
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,20.0,25.0,-0.009763917343309442,-0.01024100160516499,-0.009306426168687197
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,25.0,30.0,-0.009942838838236063,-0.010544747772045832,-0.009327123763229143
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,30.0,35.0,-0.009972293146070883,-0.010745700632379602,-0.00924405306214342
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,35.0,40.0,-0.010106842428879024,-0.011118088574162887,-0.009138799110589886
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,40.0,45.0,-0.010176663319385777,-0.011564335103197085,-0.008647179958816987
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,45.0,50.0,-0.010291746885301985,-0.012447110414535742,-0.008160862500396254
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,50.0,55.0,-0.010524400170977236,-0.013736148975711496,-0.007172546348819988
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,55.0,60.0,-0.010442932233443869,-0.01530716158714965,-0.005334146915242457
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,60.0,65.0,-0.010905840748788479,-0.01910362414129198,-0.002096120607774621
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,65.0,70.0,-0.011985442683908982,-0.02561887527699582,0.003122982234760582
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,70.0,75.0,-0.013021333897342847,-0.033513416652567685,0.008896167438069806
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,75.0,80.0,-0.014968831485173167,-0.04280441707621018,0.01774050025269383
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,80.0,85.0,-0.01722241443055003,-0.04621850047260523,0.02613349975435986
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,85.0,90.0,-0.019112718646705783,-0.04673000052571297,0.02966050044633432
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,90.0,95.0,-0.012349166606247911,-0.04673000052571297,0.02150999940931797
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,il6_jak_stat3,N1,95.0,100.0,-0.008222272594635222,-0.03168899945449084,-0.002300000749528408
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,0.0,5.0,0.006518283282913236,0.005959901924511149,0.007079885401501587
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,5.0,10.0,0.009063232725737438,0.008295430910055423,0.009854854376514361
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,10.0,15.0,0.006945406410728744,0.006558644598144518,0.007304301904854488
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,15.0,20.0,0.006208310034416946,0.005867005067951436,0.006551898935554735
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,20.0,25.0,0.005944531658445461,0.00551420575896243,0.0063852704353071455
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,25.0,30.0,0.005748604668668632,0.005218996814247814,0.006297021373848065
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,30.0,35.0,0.005526694619019799,0.004827354512702011,0.006221716425909642
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,35.0,40.0,0.0051945214009722195,0.0043783873668730286,0.006135306342709428
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,40.0,45.0,0.004985834622889062,0.003561624910408177,0.006366817484365507
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,45.0,50.0,0.004742458271253027,0.002853198157086764,0.006804141251285325
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,50.0,55.0,0.004531068186859789,0.0016528124940332234,0.0074932605179775
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,55.0,60.0,0.004089330522475688,-0.0004379101768731415,0.008877699681793036
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,60.0,65.0,0.003444112228493914,-0.003323024347826016,0.011249718048554248
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,65.0,70.0,0.0019501101650544416,-0.01005733342095655,0.014437095494386517
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,70.0,75.0,0.0025875631679420823,-0.014672250013973097,0.021174666890874504
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,75.0,80.0,-0.0012173315361076252,-0.030719999223947525,0.02730449987575411
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,80.0,85.0,-0.0011271111808353687,-0.030719999223947525,0.029712500236928445
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,85.0,90.0,-0.00549946361035693,-0.030719999223947525,0.03192125041969113
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,90.0,95.0,0.0006852715674986901,-0.030719999223947525,0.02858000062406063
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,interferon_response,N1,95.0,100.0,0.0027329586970000876,-0.02254849981206158,0.019579999148845673
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,0.0,5.0,0.100732000523218,0.09929470440478094,0.10216517978192291
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,5.0,10.0,0.09714939067401446,0.09534604017405468,0.09890073210413282
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,10.0,15.0,0.10108218594507123,0.10017679922897577,0.10204988969102996
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,15.0,20.0,0.10182510230308635,0.10098313461689042,0.10275092651674375
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,20.0,25.0,0.10173914229079085,0.10071328989682525,0.10280461106028527
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,25.0,30.0,0.10155145346173333,0.10024297842071188,0.1028012030177917
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,30.0,35.0,0.10151556580911861,0.09964904518892499,0.10328972739208812
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,35.0,40.0,0.10129875770302235,0.09900432150266592,0.10354009813950724
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,40.0,45.0,0.1012210803237248,0.09798632674218216,0.10455181705657511
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,45.0,50.0,0.10107465115754609,0.09629055942633566,0.10563943800463255
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,50.0,55.0,0.10080771126096115,0.09343223545954159,0.10793929157787242
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,55.0,60.0,0.1010298800391505,0.08927681531340685,0.11197643392571163
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,60.0,65.0,0.09915063803098245,0.07737936240737327,0.11825422246733473
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,65.0,70.0,0.09811442679017916,0.06589439552109172,0.12784600112587213
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,70.0,75.0,0.09553326915049419,0.03886349895969034,0.14460266946504513
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,75.0,80.0,0.09589513633667912,0.034649250167422,0.1682362474501132
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,80.0,85.0,0.09689146536395109,0.000859999970998615,0.17319599930196997
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,85.0,90.0,0.09538152306929641,0.01919074985974779,0.17440000176429749
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,90.0,95.0,0.07261294365135709,-0.02590000070631504,0.17440000176429749
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,oxidative_stress,N1,95.0,100.0,0.003946028303479587,-0.017525000497698784,0.11480350107885898
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,0.0,5.0,0.03291244802033625,0.032393088119860185,0.033455494038932665
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,5.0,10.0,0.03278626826956904,0.03207842396499582,0.03345115166766965
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,10.0,15.0,0.03318960017486017,0.032833608324281616,0.03356400373429996
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,15.0,20.0,0.03308645951499185,0.03274596894485792,0.03340984339536796
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,20.0,25.0,0.03291124304226813,0.03250798318178278,0.03329971231808734
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,25.0,30.0,0.03286560640079253,0.03234202529427174,0.0333727593992414
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,30.0,35.0,0.03278465297916441,0.03212178820371408,0.033437914999944
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,35.0,40.0,0.03263726456987703,0.03174190904670066,0.03352111128104276
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,40.0,45.0,0.03248060790106578,0.031222907562218807,0.03378562283155898
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,45.0,50.0,0.032287127874588616,0.03052640473832664,0.03410242398138887
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,50.0,55.0,0.03191969761363028,0.02902277520876512,0.034670754689019444
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,55.0,60.0,0.031577428546052076,0.027060025110349214,0.0358659218919153
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,60.0,65.0,0.03113506791570854,0.024426326733261634,0.03777630495715129
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,65.0,70.0,0.031122227684539743,0.020104458435283353,0.04257576227420941
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,70.0,75.0,0.03014778662447778,0.011947083418878417,0.04806775040924548
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,75.0,80.0,0.031453065935262765,0.009979999624192715,0.05419924929738041
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,secondary_senescence,N1,80.0,85.0,0.031590110586544984,0.0008682500105351212,0.05726600093767041
