section,module,module_n,module_on_panel,tierA_on_panel,overlap_tierA,corescence_on_panel,overlap_corescence,frac_corescence
7248_liver_sham_Male_26-U1,downstream_arrest,190,190,33,0,33,10,0.05263157894736842
7248_liver_sham_Male_26-U1,emt_ecm,125,125,33,0,33,9,0.072
7248_liver_sham_Male_26-U1,il6_jak_stat3,68,68,33,0,33,5,0.07352941176470588
7248_liver_sham_Male_26-U1,interferon_response,100,100,33,0,33,5,0.05
7248_liver_sham_Male_26-U1,oxidative_stress,31,31,33,0,33,0,0.0
7248_liver_sham_Male_26-U1,secondary_senescence,108,108,33,0,33,18,0.16666666666666666
7248_liver_sham_Male_26-U1,tnfa_nfkb_proximal,126,126,33,0,33,8,0.06349206349206349
