null,family,frac_retaining_a_neighbour,real_median_nbrs,null_median_nbrs,frac_in_occupancy,median_displacement_um,sf_median,sf_q25,sf_q75,sf_published,note
N3_orig,published bounding box,0.7716478586339715,140.0,119.6875,0.6447492152710222,2909.936871554154,1.001113717067906,0.991450960046792,1.0078828950946628,0.998870982287264,"PUBLISHED, leaves the tissue"
N3_tile,in tissue,1.0,143.0,139.225,0.9463926450415288,478.56443824347684,0.9705516885970162,0.9061030618183926,1.0088536229578724,,"in-tissue, clustering-preserving"
N3_occ,in tissue,0.9997699868861976,140.0,140.8,0.9646165465446056,28.30266952966369,0.302356431254201,3.8760027022932425e-15,0.7338425579645339,,degenerate: displacement below the fitting window
N3_occ15,in tissue,0.9694663497867988,140.0,133.075,0.8786265586679669,316.5739043952766,0.9398494974456004,0.7612770785582639,1.0107992828442909,,"in-tissue, clustering-preserving"
N3_swap,in tissue,1.0,140.0,142.39999999999998,1.0,3240.851871005143,0.6947681209409671,0.3920342256184254,0.8721459222698098,,"equals N1 (label permutation), not a torus shift"
N3_snap,in tissue,1.0,140.0,120.025,1.0,2977.4969737489964,0.9934052775657544,0.9499020344425744,1.0166372213848156,,"in-tissue, clustering-preserving"
N4_orig,published bounding box,0.9195264258950364,140.0,129.675,0.8006681474411435,3194.444463257835,0.9519971263126406,0.7964834022893463,1.0479798380530652,0.9471932849110392,"PUBLISHED, leaves the tissue"
N4_tile,in tissue,1.0,143.0,139.075,0.9460707572706739,589.4224908527729,0.9242656044390682,0.834645056302733,1.048902076020922,,"in-tissue, clustering-preserving"
N4_occ,in tissue,0.9997036921719726,140.0,140.825,0.9702422673098432,24.686665568870843,0.1832792895262877,4.842635413173834e-16,0.5586485552841167,,degenerate: displacement below the fitting window
N4_occ15,in tissue,0.968780185341134,140.0,133.45,0.8905427835846399,320.31025416043985,0.8831230952739932,0.6903821479972823,0.9894862151394884,,"in-tissue, clustering-preserving"
N4_swap,in tissue,1.0,140.0,129.4625,1.0,2980.1229622532583,0.945694063721839,0.7860641431280384,1.034549232343928,,"in-tissue, clustering-preserving"
reference_median_lambda_hat_um,,,,,,15.682109678112967,,,,,panel f line
reference_N1_sf,,,,,,,0.7073616928464024,,,,panel g line
A7_all_controls_base,M1 negative-control-probe kernel,,,,,,-0.0744,-0.1306,-0.0182,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.0145, 165 fits"
A7_all_controls_n6,M1 negative-control-probe kernel,,,,,,-0.0625,-0.1085,-0.0164,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.0128, 165 fits"
A7_all_controls_n5,M1 negative-control-probe kernel,,,,,,0.0038,-0.0186,0.0261,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.715, 165 fits"
A7_all_controls_n6n5,M1 negative-control-probe kernel,,,,,,0.0053,-0.0162,0.0268,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.595, 165 fits"
A7_all_controls_n2,M1 negative-control-probe kernel,,,,,,-0.0642,-0.1113,-0.0172,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.0124, 165 fits"
A7_BIOLOGICAL_base,M1 negative-control-probe kernel,,,,,,0.2767,0.2032,0.3502,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=7.77e-06, 1155 fits"
A7_BIOLOGICAL_n6,M1 negative-control-probe kernel,,,,,,0.1124,0.0795,0.1452,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=1.82e-05, 1155 fits"
