section,response,n_cells,mean_per_cell,sd_per_cell,frac_cells_nonzero,max_per_cell
7259_liver_sbr_Male_26-U1,neg_control_probe,127386,0.0028967076444821253,0.05504197980841968,0.0028260562385191467,2.0
7259_liver_sbr_Male_26-U1,neg_control_codeword,127386,0.0128428555728259,0.11609751318528976,0.012481748386792897,4.0
7259_liver_sbr_Male_26-U1,genomic_control,127386,0.01271725307333616,0.12016472876826619,0.011869436201780416,3.0
7259_liver_sbr_Male_26-U1,all_controls,127386,0.028456816290644185,0.176977114360359,0.026816133641059458,4.0
7259_liver_sbr_Male_26-U1,neg_probe_rate,127386,4.848521167724078e-06,0.0001828038431977744,0.0028260562385191467,0.045454545454545456
7260_liver_sbr_Male_26-U1,neg_control_probe,202016,0.005202558213210835,0.07323657224235969,0.005108506256930144,2.0
7260_liver_sbr_Male_26-U1,neg_control_codeword,202016,0.03361614921590369,0.1920463359665566,0.03159155710438777,4.0
7260_liver_sbr_Male_26-U1,genomic_control,202016,0.00841517503564074,0.09511716188671937,0.008083518137177254,3.0
7260_liver_sbr_Male_26-U1,all_controls,202016,0.04723388246475527,0.23052291010184164,0.0435262553461112,5.0
7260_liver_sbr_Male_26-U1,neg_probe_rate,202016,4.832870936660029e-06,9.858403637267977e-05,0.005108506256930144,0.00819672131147541
7001_liver_sham_Male_52-U1,neg_control_probe,165961,0.007616247190605022,0.08824516658727662,0.007501762462265231,2.0
7001_liver_sham_Male_52-U1,neg_control_codeword,165961,0.046697718138598826,0.22742812849917163,0.04340778857683432,5.0
7001_liver_sham_Male_52-U1,genomic_control,165961,0.010104783653990998,0.10518159114809286,0.00960466615650665,3.0
7001_liver_sham_Male_52-U1,all_controls,165961,0.06441874898319484,0.2701979018579551,0.05871861461427685,5.0
7001_liver_sham_Male_52-U1,neg_probe_rate,165961,6.324422050260599e-06,9.617708774889072e-05,0.007501762462265231,0.008849557522123894
7248_liver_sham_Male_26-U1,neg_control_probe,224921,0.005184042397108318,0.07255254808210529,0.005130690331271869,2.0
7248_liver_sham_Male_26-U1,neg_control_codeword,224921,0.03296713068143926,0.1963624180351247,0.03013057918113471,6.0
7248_liver_sham_Male_26-U1,genomic_control,224921,0.010225812618652772,0.10446355513534358,0.009861240168770368,4.0
7248_liver_sham_Male_26-U1,all_controls,224921,0.04837698569720035,0.23939866930601242,0.04365977387616096,6.0
7248_liver_sham_Male_26-U1,neg_probe_rate,224921,4.0546258245849234e-06,8.05888503328953e-05,0.005130690331271869,0.007407407407407408
7352_liver_sham_Male_2-U1,neg_control_probe,139378,0.0066007547819598505,0.08367806339002301,0.006399862245117594,4.0
7352_liver_sham_Male_2-U1,neg_control_codeword,139378,0.03844939660491613,0.2160353678028936,0.03509879607972564,14.0
7352_liver_sham_Male_2-U1,genomic_control,139378,0.009484997632337958,0.10281871784588363,0.008946892622939058,3.0
