subset,n,slope,intercept,r2,ratio_median
ALL sections x ALL sender definitions,77,-0.5242570638752048,-0.9196606441608539,0.9836629970150814,1.0343901626287062
cdkn1a_pos only (across sections),11,-0.4858354132297469,-0.604439991605037,0.9982357294667484,1.0343768193968366
tierA percentile calls,33,-0.514765691398619,-0.8979895150679236,0.9977214737022466,0.984760521582367
in-band sections only,42,-0.528036077091472,-0.9557464006602826,0.9829227734222278,1.0327619630253555
